lokasi,name,rating,status,keterangan,
https://www.google.com/maps/place/Desa+Wisata+Tajen/data=!4m7!3m6!1s0x2dd2255d111552ad:0x862cc415f52ae2ce!8m2!3d-8.4448922!4d115.1485815!16s%2Fg%2F11r7p3d9lz!19sChIJrVIVEV0l0i0RzuIq9RXELIY?authuser=0&hl=en&rclk=1,Desa Wisata Tajen,3.5,Open,⋅ Closes 6.00 pm,
https://www.google.com/maps/place/Pantai+Mesari/data=!4m7!3m6!1s0x2dd2471e06e03eaf:0x4068f36dee8583d2!8m2!3d-8.6940298!4d115.1594615!16s%2Fg%2F11cjj16svn!19sChIJrz7gBh5H0i0R0oOF7m3zaEA?authuser=0&hl=en&rclk=1,Pantai Mesari,4.7,,,
https://www.google.com/maps/place/Kawasan+Pariwisata+Nusa+Dua/data=!4m7!3m6!1s0x2dd243263a0bffe3:0xfdba1c4c1a12a3b3!8m2!3d-8.8034419!4d115.2282787!16s%2Fg%2F1v2f2t5r!19sChIJ4_8LOiZD0i0Rs6MSGkwcuv0?authuser=0&hl=en&rclk=1,Kawasan Pariwisata Nusa Dua,4.6,Open 24 hours,,
https://www.google.com/maps/place/Daya+Tarik+Wisata+Bedugul/data=!4m7!3m6!1s0x2dd189715a929dcb:0x80d8c409911b09c2!8m2!3d-8.2840649!4d115.1716726!16s%2Fg%2F11bytnb4s2!19sChIJy52SWnGJ0S0RwgkbkQnE2IA?authuser=0&hl=en&rclk=1,Daya Tarik Wisata Bedugul,4.7,Open,⋅ Closes 6.00 pm,
https://www.google.com/maps/place/Sangeh+Monkey+Forest/data=!4m7!3m6!1s0x2dd223492c21e6a3:0xb715386c995db0c2!8m2!3d-8.4817743!4d115.2067391!16s%2Fg%2F11b774ztbj!19sChIJo-YhLEkj0i0RwrBdmWw4Fbc?authuser=0&hl=en&rclk=1,Sangeh Monkey Forest,4.6,Open,⋅ Closes 5.00 pm,
https://www.google.com/maps/place/Wisata+Edukasi+Subak+Teba+Majalangu/data=!4m7!3m6!1s0x2dd23f6a7ca8b091:0xf1237a69016d7763!8m2!3d-8.6433169!4d115.2599448!16s%2Fg%2F11pb1srv55!19sChIJkbCofGo_0i0RY3dtAWl6I_E?authuser=0&hl=en&rclk=1,Wisata Edukasi Subak Teba Majalangu,4.7,Open,⋅ Closes 7.00 pm,
https://www.google.com/maps/place/Princess+Conservation+Forum+Menjangan/data=!4m7!3m6!1s0x2dd16bd4de33edf9:0xb9ba130a5c8e6a71!8m2!3d-8.1321195!4d114.5785034!16s%2Fg%2F11bw7d5c4t!19sChIJ-e0z3tRr0S0RcWqOXAoTurk?authuser=0&hl=en&rclk=1,Princess Conservation Forum Menjangan,4.4,Open,⋅ Closes 5.00 pm,
https://www.google.com/maps/place/Taman+Mumbul+Sangeh/data=!4m7!3m6!1s0x2dd2234a0ec16b41:0x6ca84c78904c852d!8m2!3d-8.483959!4d115.2122881!16s%2Fg%2F11b728qrhs!19sChIJQWvBDkoj0i0RLYVMkHhMqGw?authuser=0&hl=en&rclk=1,Taman Mumbul Sangeh,4.6,Open,⋅ Closes 6.00 pm,
https://www.google.com/maps/place/Daerah+tujuan+wisata+tukad+bindu/data=!4m7!3m6!1s0x2dd23f789bdb40bb:0xc8f454047cb4a78!8m2!3d-8.6437911!4d115.2358125!16s%2Fg%2F11c6r1t8p0!19sChIJu0Dbm3g_0i0ReErLR0BFjww?authuser=0&hl=en&rclk=1,Daerah tujuan wisata tukad bindu,4.5,Open 24 hours,,
https://www.google.com/maps/place/Objek+Wisata+Sangeh/data=!4m7!3m6!1s0x2dd223479e94fb0f:0x5274752bd0620946!8m2!3d-8.4815663!4d115.2065458!16s%2Fg%2F1pzpxsp3l!19sChIJD_uUnkcj0i0RRgli0Ct1dFI?authuser=0&hl=en&rclk=1,Objek Wisata Sangeh,4.6,Open,⋅ Closes 5.00 pm,
https://www.google.com/maps/place/Air+Terjun+Munduk/data=!4m7!3m6!1s0x2dd1860ab3946be1:0xd786b7d9107bf1d3!8m2!3d-8.2537779!4d115.0792068!16s%2Fg%2F11b6_prx07!19sChIJ4WuUswqG0S0R0_F7ENm3htc?authuser=0&hl=en&rclk=1,Air Terjun Munduk,4.5,Open,⋅ Closes 6.00 pm,
