lokasi,name,rating,status
https://www.google.com/maps/place/Yogyakarta+Tugu+Monument/data=!4m7!3m6!1s0x2e7a591a4d553bd5:0xc0f964003add568b!8m2!3d-7.7829218!4d110.3670757!16s%2Fg%2F122zk22q!19sChIJ1TtVTRpZei4Ri1bdOgBk-cA?authuser=0&hl=en&rclk=1,Yogyakarta Tugu Monument,4.8,Open 24 hours
https://www.google.com/maps/place/Taman+Sari/data=!4m7!3m6!1s0x2e7a5793d0c2cf2b:0x276a21f8a01cbe13!8m2!3d-7.8099788!4d110.3589907!16s%2Fm%2F0b6gg2m!19sChIJK8_C0JNXei4RE74coPghaic?authuser=0&hl=en&rclk=1,Taman Sari,4.6,Closes soon
https://www.google.com/maps/place/Tourism+Zone+Malioboro/data=!4m7!3m6!1s0x2e7a578819c338f1:0x72aa3ad97ecccfb6!8m2!3d-7.7982487!4d110.3652793!16s%2Fg%2F11dd_kfc0g!19sChIJ8TjDGYhXei4Rts_Mftk6qnI?authuser=0&hl=en&rclk=1,Tourism Zone Malioboro,4.7,Open 24 hours
https://www.google.com/maps/place/Embung+Langensari/data=!4m7!3m6!1s0x2e7a59d258bc6935:0xd72d8d2e7140104a!8m2!3d-7.7866148!4d110.3819311!16s%2Fg%2F11bwkhd4d1!19sChIJNWm8WNJZei4RShBAcS6NLdc?authuser=0&hl=en&rclk=1,Embung Langensari,4.3,Open now
https://www.google.com/maps/place/Dinas+Pariwisata+Kota+Yogyakarta/data=!4m7!3m6!1s0x2e7a583276eb8ccd:0x732af38c7fe6b63c!8m2!3d-7.7837758!4d110.3745422!16s%2Fg%2F1hc2bhwz9!19sChIJzYzrdjJYei4RPLbmf4zzKnM?authuser=0&hl=en&rclk=1,Dinas Pariwisata Kota Yogyakarta,4.4,Closed
https://www.google.com/maps/place/Titik+Nol+Kilometer+Yogyakarta/data=!4m7!3m6!1s0x2e7a57599a1f9397:0xebbf28ee280ce10f!8m2!3d-7.8013966!4d110.3647641!16s%2Fg%2F11h3cbh9_y!19sChIJl5MfmllXei4RD-EMKO4ov-s?authuser=0&hl=en&rclk=1,Titik Nol Kilometer Yogyakarta,4.8,Open 24 hours
https://www.google.com/maps/place/Kampung+Wisata+Sosromenduran/data=!4m7!3m6!1s0x2e7a5826be29978d:0xe41a56956d58b8c7!8m2!3d-7.79219!4d110.362151!16s%2Fg%2F1pzs29j25!19sChIJjZcpviZYei4Rx7hYbZVWGuQ?authuser=0&hl=en&rclk=1,Kampung Wisata Sosromenduran,4.1,
https://www.google.com/maps/place/Taman+Pintar+Yogyakarta/data=!4m7!3m6!1s0x2e7a57860f2fb9af:0xa9f6007074b62dd8!8m2!3d-7.8006715!4d110.3676551!16s%2Fm%2F0y6kq2z!19sChIJr7kvD4ZXei4R2C22dHAA9qk?authuser=0&hl=en&rclk=1,Taman Pintar Yogyakarta,4.5,Open
https://www.google.com/maps/place/KEBON+BINATANG/data=!4m7!3m6!1s0x2e7a57001e4d0cdb:0x90c47bdaf9aefbc7!8m2!3d-7.8039932!4d110.3981235!16s%2Fm%2F0k707j_!19sChIJ2wxNHgBXei4Rx_uu-dp7xJA?authuser=0&hl=en&rclk=1,KEBON BINATANG,4.5,
https://www.google.com/maps/place/Kraton+Jogja/data=!4m7!3m6!1s0x2e7a575c262d5709:0xf11a324efb8b84ec!8m2!3d-7.8069587!4d110.3639266!16s%2Fg%2F122zq88b!19sChIJCVctJlxXei4R7ISL-04yGvE?authuser=0&hl=en&rclk=1,Kraton Jogja,4.8,Closes soon
https://www.google.com/maps/place/Malioboro+Yogyakarta/data=!4m7!3m6!1s0x2e7a573d72fa9355:0x5c1c527ea0a09e7e!8m2!3d-7.7986861!4d110.3651953!16s%2Fg%2F11stgwgssb!19sChIJVZP6cj1Xei4Rfp6goH5SHFw?authuser=0&hl=en&rclk=1,Malioboro Yogyakarta,4.8,Open 24 hours
https://www.google.com/maps/place/Taman+Pelangi+Jogja/data=!4m7!3m6!1s0x2e7a58f975c66097:0x99331d342ee5862d!8m2!3d-7.7503027!4d110.3694988!16s%2Fg%2F11x7vl1rr!19sChIJl2DGdflYei4RLYblLjQdM5k?authuser=0&hl=en&rclk=1,Taman Pelangi Jogja,4.2,Closed
https://www.google.com/maps/place/Angkringan+Kampung+Wisata+Sayidan/data=!4m7!3m6!1s0x2e7a572efda9844b:0x42952d096fe2880f!8m2!3d-7.802506!4d110.3703076!16s%2Fg%2F11s9zr72px!19sChIJS4Sp_S5Xei4RD4jibwktlUI?authuser=0&hl=en&rclk=1,Angkringan Kampung Wisata Sayidan,4.7,Open
https://www.google.com/maps/place/Slasar+Malioboro/data=!4m7!3m6!1s0x2e7a590f6437f963:0x72231067144f8eec!8m2!3d-7.7898262!4d110.3648547!16s%2Fg%2F11p5r91k0v!19sChIJY_k3ZA9Zei4R7I5PFGcQI3I?authuser=0&hl=en&rclk=1,Slasar Malioboro,4.5,Open
https://www.google.com/maps/place/Wisata+Kali+Gajah+Wong+Mrican+Giwangan/data=!4m7!3m6!1s0x2e7a571c6efb47ad:0x9f88b30f2819abae!8m2!3d-7.8311337!4d110.3941846!16s%2Fg%2F11c5bhfs47!19sChIJrUf7bhxXei4RrqsZKA-ziJ8?authuser=0&hl=en&rclk=1,Wisata Kali Gajah Wong Mrican Giwangan,4.6,Open
