lokasi,name,rating,status
https://www.google.com/maps/place/Pantai+Botubarani/data=!4m7!3m6!1s0x327f2b7a2bc0c8d3:0x7414e70cf87e488d!8m2!3d0.4819132!4d123.0863159!16s%2Fg%2F11p5n896n2!19sChIJ08jAK3orfzIRjUh--AznFHQ?authuser=0&hl=en&rclk=1,Pantai Botubarani,4.8,Open 24 hours
https://www.google.com/maps/place/Lapangan+Taruna+Remaja/data=!4m7!3m6!1s0x32792addac9e1695:0x7c666215f412956c!8m2!3d0.5295849!4d123.0592655!16s%2Fg%2F11c5s85lt5!19sChIJlRaerN0qeTIRbJUS9BViZnw?authuser=0&hl=en&rclk=1,Lapangan Taruna Remaja,4.4,Open
https://www.google.com/maps/place/Tangga+2000+Park/data=!4m7!3m6!1s0x32792aa1c0f04d47:0x2624b9b0540aaede!8m2!3d0.5069393!4d123.0576773!16s%2Fg%2F11c2lb7kc2!19sChIJR03wwKEqeTIR3q4KVLC5JCY?authuser=0&hl=en&rclk=1,Tangga 2000 Park,4.2,Open 24 hours
https://www.google.com/maps/place/Benteng+Otanaha/data=!4m7!3m6!1s0x32792bc16bd20cf7:0x23cc0495aa68abd0!8m2!3d0.5482328!4d123.0084128!16s%2Fm%2F0nhj9dm!19sChIJ9wzSa8EreTIR0KtoqpUEzCM?authuser=0&hl=en&rclk=1,Benteng Otanaha,4.4,Open
https://www.google.com/maps/place/WISATA+TAMENDAO+BEACH/data=!4m7!3m6!1s0x3278d59d67032543:0xeab266e8f8a9699b!8m2!3d0.5002305!4d123.0674662!16s%2Fg%2F11pk9z37rg!19sChIJQyUDZ53VeDIRm2mp-Ohmsuo?authuser=0&hl=en&rclk=1,WISATA TAMENDAO BEACH,4.5,Opens soon
https://www.google.com/maps/place/Taman+Wisata+Religius+Bubohu/data=!4m7!3m6!1s0x3278d555142bce69:0xdc926acfc722b1fc!8m2!3d0.4989781!4d123.0331749!16s%2Fg%2F11h4s25f_l!19sChIJac4rFFXVeDIR_LEix89qktw?authuser=0&hl=en&rclk=1,Taman Wisata Religius Bubohu,4.6,Open
https://www.google.com/maps/place/Desa+Wisata+Religi+Bubohu+Bongo/data=!4m7!3m6!1s0x3278d5e417f21545:0x629978933fbb093f!8m2!3d0.499673!4d123.0329417!16s%2Fg%2F11p5zlqz1p!19sChIJRRXyF-TVeDIRPwm7P5N4mWI?authuser=0&hl=en&rclk=1,Desa Wisata Religi Bubohu Bongo,4.5,Open
https://www.google.com/maps/place/Wisata+Hiu+Paus+Botubarani/data=!4m7!3m6!1s0x327f2b1ebb06a7ad:0x6e207bf0624d792f!8m2!3d0.4746294!4d123.1011491!16s%2Fg%2F11cp7509qr!19sChIJracGux4rfzIRL3lNYvB7IG4?authuser=0&hl=en&rclk=1,Wisata Hiu Paus Botubarani,4.7,Open
https://www.google.com/maps/place/Patung+Nani+Wartabone/data=!4m7!3m6!1s0x32792adc528a0c7b:0x8324cfb3f6146a7a!8m2!3d0.5303939!4d123.059356!16s%2Fg%2F1q5bqmc7k!19sChIJewyKUtwqeTIRemoU9rPPJIM?authuser=0&hl=en&rclk=1,Patung Nani Wartabone,4.6,Open 24 hours
https://www.google.com/maps/place/Wisata+Sawah+Desa+Sejahtera/data=!4m7!3m6!1s0x32792dcc1eb59b63:0xd53f0b7353a05989!8m2!3d0.5910404!4d123.0734533!16s%2Fg%2F11smbmryrp!19sChIJY5u1HswteTIRiVmgU3MLP9U?authuser=0&hl=en&rclk=1,Wisata Sawah Desa Sejahtera,4.3,Open
