lokasi,name,rating,status
https://www.google.com/maps/place/healing+place/data=!4m7!3m6!1s0x2e2589fae5335ff9:0x6bae81501210d369!8m2!3d-1.5894894!4d103.6126912!16s%2Fg%2F11vd700mg4!19sChIJ-V8z5fqJJS4RadMQElCBrms?authuser=0&hl=en&rclk=1,healing place,5,Closed
https://www.google.com/maps/place/Patung+Angso+Duo+Seberang/data=!4m7!3m6!1s0x2e2589a6811fb4fd:0x64d087d15c15ecf1!8m2!3d-1.5854874!4d103.6148977!16s%2Fg%2F11h75j_bq5!19sChIJ_bQfgaaJJS4R8ewVXNGH0GQ?authuser=0&hl=en&rclk=1,Patung Angso Duo Seberang,4.5,Open now
https://www.google.com/maps/place/Jambi+Paradise/data=!4m7!3m6!1s0x2e25843396a160b3:0x8eacdff215797d2b!8m2!3d-1.6689459!4d103.6539111!16s%2Fg%2F11bw2j6bwk!19sChIJs2ChljOEJS4RK315FfLfrI4?authuser=0&hl=en&rclk=1,Jambi Paradise,4.2,Open
https://www.google.com/maps/place/Tugu+Juang+Jambi/data=!4m7!3m6!1s0x2e25888809541e19:0x2fcfdb750558a7cb!8m2!3d-1.61953!4d103.5910482!16s%2Fg%2F1pp2tljl6!19sChIJGR5UCYiIJS4Ry6dYBXXbzy8?authuser=0&hl=en&rclk=1,Tugu Juang Jambi,4.4,Open 24 hours
https://www.google.com/maps/place/Jembatan+Gentala+Arasy/data=!4m7!3m6!1s0x2e25892177b8b457:0xa72648d09e67b339!8m2!3d-1.586732!4d103.6156861!16s%2Fg%2F11bw3dk3vr!19sChIJV7S4dyGJJS4RObNnntBIJqc?authuser=0&hl=en&rclk=1,Jembatan Gentala Arasy,4.5,Open
https://www.google.com/maps/place/Monument+of+Keris+Siginjai+Jambi/data=!4m7!3m6!1s0x2e258620c925ab8d:0x8accc8e879b02a41!8m2!3d-1.6305338!4d103.6078669!16s%2Fg%2F11byvg__rk!19sChIJjaslySCGJS4RQSqweejIzIo?authuser=0&hl=en&rclk=1,Monument of Keris Siginjai Jambi,4.5,Open now
https://www.google.com/maps/place/Wisata+Kampoeng+Radja/data=!4m7!3m6!1s0x2e25887196d9ac25:0x391ca682a715da89!8m2!3d-1.6342753!4d103.5491872!16s%2Fg%2F1pzvnzhpv!19sChIJJazZlnGIJS4RidoVp4KmHDk?authuser=0&hl=en&rclk=1,Wisata Kampoeng Radja,4.1,Open
https://www.google.com/maps/place/Tugu+Pers/data=!4m7!3m6!1s0x2e2588e5ef4bef57:0x5e6ec4c9691967cc!8m2!3d-1.5995397!4d103.6066915!16s%2Fg%2F11b6_rlzmd!19sChIJV-9L7-WIJS4RzGcZacnEbl4?authuser=0&hl=en&rclk=1,Tugu Pers,4.3,Open 24 hours
https://www.google.com/maps/place/Taman+Jomblo+%7C+Kota+Jambi/data=!4m7!3m6!1s0x2e2586272d465d21:0x5e828779ada312c1!8m2!3d-1.6304855!4d103.6075253!16s%2Fg%2F11cjk3tyyp!19sChIJIV1GLSeGJS4RwRKjrXmHgl4?authuser=0&hl=en&rclk=1,Taman Jomblo | Kota Jambi,4.3,Open 24 hours
https://www.google.com/maps/place/Tanggo+Rajo+Park+Jambi/data=!4m7!3m6!1s0x2e258926ab99f4d1:0xb86cb2f11004de04!8m2!3d-1.5879189!4d103.6172342!16s%2Fg%2F11c1tldjrm!19sChIJ0fSZqyaJJS4RBN4EEPGybLg?authuser=0&hl=en&rclk=1,Tanggo Rajo Park Jambi,4.2,Open 24 hours
https://www.google.com/maps/place/Danau+Sipin+%28DANSIP%29/data=!4m7!3m6!1s0x2e25896cdb36df2f:0xe4adbfb6fa657728!8m2!3d-1.6011297!4d103.5864921!16s%2Fg%2F11td3pjb1b!19sChIJL98222yJJS4RKHdl-ra_reQ?authuser=0&hl=en&rclk=1,Danau Sipin (DANSIP),4.6,Open
https://www.google.com/maps/place/Lake+Sipin/data=!4m7!3m6!1s0x2e2588fa2f635dcb:0xafd48b021c6fbd0d!8m2!3d-1.5983409!4d103.594535!16s%2Fg%2F11gdz5_r0k!19sChIJy11jL_qIJS4RDb1vHAKL1K8?authuser=0&hl=en&rclk=1,Lake Sipin,4.2,Open 24 hours
https://www.google.com/maps/place/Wisata+Danau+Sipin+Island/data=!4m7!3m6!1s0x2e2589329e044eb9:0xbe56716b83bc4369!8m2!3d-1.5959322!4d103.5946755!16s%2Fg%2F11f6gj3rrh!19sChIJuU4EnjKJJS4RaUO8g2txVr4?authuser=0&hl=en&rclk=1,Wisata Danau Sipin Island,4.3,Open
https://www.google.com/maps/place/Gentala+Arasy+Tower/data=!4m7!3m6!1s0x2e2589223f96305b:0x679d1039e56eef15!8m2!3d-1.5849803!4d103.6142392!16s%2Fg%2F11jn_swb_l!19sChIJWzCWPyKJJS4RFe9u5TkQnWc?authuser=0&hl=en&rclk=1,Gentala Arasy Tower,4.5,Open
"https://www.google.com/maps/place/Pine+Forest+PAL+X,+Jambi/data=!4m7!3m6!1s0x2e2586fdbbd64107:0x519bb0ac55a7bc2e!8m2!3d-1.6732299!4d103.591953!16s%2Fg%2F11fyljz1f2!19sChIJB0HWu_2GJS4RLrynVaywm1E?authuser=0&hl=en&rclk=1","Pine Forest PAL X, Jambi",4.2,Open
