lokasi,name,rating,status
https://www.google.com/maps/place/Sikidang+Crater/data=!4m7!3m6!1s0x2e700d1e77ca2083:0x3dedabae91b3d34f!8m2!3d-7.2202222!4d109.9039516!16s%2Fg%2F1pzr9612x!19sChIJgyDKdx4NcC4RT9Ozka6r7T0?authuser=0&hl=en&rclk=1,Sikidang Crater,4.4,Open
https://www.google.com/maps/place/Umbul+Ponggok/data=!4m7!3m6!1s0x2e7a46b0a0e718b9:0xaef27a25e51e3bcf!8m2!3d-7.6138103!4d110.6358647!16s%2Fg%2F11b6b9c4nq!19sChIJuRjnoLBGei4Rzzse5SV68q4?authuser=0&hl=en&rclk=1,Umbul Ponggok,4.5,Open
https://www.google.com/maps/place/Posong+Natural+Park/data=!4m7!3m6!1s0x2e7075b620456b1f:0xe62a7093f3f53e2e!8m2!3d-7.3182767!4d110.0248652!16s%2Fg%2F11f3jyhxtb!19sChIJH2tFILZ1cC4RLj7185NwKuY?authuser=0&hl=en&rclk=1,Posong Natural Park,4.6,Open
https://www.google.com/maps/place/Wisata+Lereng+Kelir/data=!4m7!3m6!1s0x2e7a7f833cf20f11:0x174315cfb8ba4a9f!8m2!3d-7.3126613!4d110.3746785!16s%2Fg%2F11c5_clvj5!19sChIJEQ_yPIN_ei4Rn0q6uM8VQxc?authuser=0&hl=en&rclk=1,Wisata Lereng Kelir,4.4,Open 24 hours
https://www.google.com/maps/place/Ketep+Pass+Magelang/data=!4m7!3m6!1s0x2e7a631c52d78667:0xd6899eb201af0678!8m2!3d-7.4944699!4d110.3815682!16s%2Fg%2F1229cx9l!19sChIJZ4bXUhxjei4ReAavAbKeidY?authuser=0&hl=en&rclk=1,Ketep Pass Magelang,4.5,Open
https://www.google.com/maps/place/Srigunung+Hill/data=!4m7!3m6!1s0x2e703f75729bfa5f:0x71af571d03fd6136!8m2!3d-6.955211!4d109.9285994!16s%2Fg%2F11d_7cxsf8!19sChIJX_qbcnU_cC4RNmH9Ax1Xr3E?authuser=0&hl=en&rclk=1,Srigunung Hill,4.3,Open
https://www.google.com/maps/place/Air+Terjun+Grojogan+Sewu/data=!4m7!3m6!1s0x2e798a3aaef24383:0x3d3da6236af2202a!8m2!3d-7.6615335!4d111.1286395!16s%2Fm%2F056n6r1!19sChIJg0PyrjqKeS4RKiDyaiOmPT0?authuser=0&hl=en&rclk=1,Air Terjun Grojogan Sewu,4.5,Open
https://www.google.com/maps/place/Tourism+Village+Kandri/data=!4m7!3m6!1s0x2e708a1455555555:0x138698976cbc7ec6!8m2!3d-7.0560954!4d110.3565112!16s%2Fg%2F11bc7r5q38!19sChIJVVVVVRSKcC4Rxn68bJeYhhM?authuser=0&hl=en&rclk=1,Tourism Village Kandri,4.4,Open
https://www.google.com/maps/place/Nature+Selo+Arjuno+And+Bligo/data=!4m7!3m6!1s0x2e707b5e7c18d3cf:0xed98721c84d83235!8m2!3d-7.1642265!4d110.2275736!16s%2Fg%2F11c2k28_yq!19sChIJz9MYfF57cC4RNTLYhBxymO0?authuser=0&hl=en&rclk=1,Nature Selo Arjuno And Bligo,4.2,Open
https://www.google.com/maps/place/Merbabu+Park/data=!4m7!3m6!1s0x2e7a7d9c14a3e031:0xc9491798cac3915d!8m2!3d-7.4116928!4d110.4189699!16s%2Fg%2F11n7sfwhph!19sChIJMeCjFJx9ei4RXZHDypgXSck?authuser=0&hl=en&rclk=1,Merbabu Park,4.4,Open
