lokasi,name,rating,status
https://www.google.com/maps/place/Keraton+Kadriyah+Pontianak+Kalbar/data=!4m7!3m6!1s0x2e1d58492226606b:0x30190f6309dc377c!8m2!3d-0.0287892!4d109.3498511!16s%2Fg%2F11b7lnrbv3!19sChIJa2AmIklYHS4RfDfcCWMPGTA?authuser=0&hl=en&rclk=1,Keraton Kadriyah Pontianak Kalbar,4.6,Open
https://www.google.com/maps/place/Mempawah+Mangrove+Park/data=!4m7!3m6!1s0x31e2ef8555555555:0xc70796a8b2919c6d!8m2!3d0.3968263!4d108.9462068!16s%2Fg%2F11c5319srn!19sChIJVVVVVYXv4jERbZyRsqiWB8c?authuser=0&hl=en&rclk=1,Mempawah Mangrove Park,4.3,Open
https://www.google.com/maps/place/Bukit+jamur+bengkayang/data=!4m7!3m6!1s0x31e335d44160f9c3:0xfbf8e1f1f075c41f!8m2!3d0.7781171!4d109.4754982!16s%2Fg%2F11b6thg9rh!19sChIJw_lgQdQ14zERH8R18PHh-Ps?authuser=0&hl=en&rclk=1,Bukit jamur bengkayang,4.6,Open 24 hours
https://www.google.com/maps/place/Bukit+Kelam+Maria+Cave/data=!4m7!3m6!1s0x31fe25f3458075fb:0x31b4ae39f7d3476f!8m2!3d0.0862333!4d111.6591717!16s%2Fg%2F11c7v_7b1l!19sChIJ-3WARfMl_jERb0fT9zmutDE?authuser=0&hl=en&rclk=1,Bukit Kelam Maria Cave,4.4,Open now
https://www.google.com/maps/place/Riam+Jugan/data=!4m7!3m6!1s0x31fca9dc29e5edb3:0x4a438bd73df3669!8m2!3d1.1367372!4d109.691153!16s%2Fg%2F11b6p1_rg8!19sChIJs-3lKdyp_DERaTbfc704pAQ?authuser=0&hl=en&rclk=1,Riam Jugan,4.4,Open
https://www.google.com/maps/place/West+Kalimantan+Radakng+House/data=!4m7!3m6!1s0x2e1d590e266b7c1b:0x2a54516a1a09626b!8m2!3d-0.046917!4d109.320047!16s%2Fg%2F11c2qrrn5x!19sChIJG3xrJg5ZHS4Ra2IJGmpRVCo?authuser=0&hl=en&rclk=1,West Kalimantan Radakng House,4.5,Open
https://www.google.com/maps/place/Khatulistiwa+Park/data=!4m7!3m6!1s0x31e2a75b7f18d41d:0x959992e0a47ea028!8m2!3d0.0009995!4d109.3222052!16s%2Fm%2F05b623h!19sChIJHdQYf1un4jERKKB-pOCSmZU?authuser=0&hl=en&rclk=1,Khatulistiwa Park,4.4,Open 24 hours
https://www.google.com/maps/place/Keling+Kumang+Agrowisata/data=!4m7!3m6!1s0x31fe27617d5f380f:0x497ddbb16f968ecf!8m2!3d0.0692298!4d111.6319218!16s%2Fg%2F11k6r3_4j6!19sChIJDzhffWEn_jERz46Wb7HbfUk?authuser=0&hl=en&rclk=1,Keling Kumang Agrowisata,4.2,Open
https://www.google.com/maps/place/Air+Terjun+Riam+Merasap/data=!4m7!3m6!1s0x31fca90bceb463a1:0xd5ed4707c3298e88!8m2!3d1.1272674!4d109.744678!16s%2Fg%2F1q5gqq038!19sChIJoWO0zgup_DERiI4pwwdH7dU?authuser=0&hl=en&rclk=1,Air Terjun Riam Merasap,4.6,Open
https://www.google.com/maps/place/Taman+Alun+Kapuas/data=!4m7!3m6!1s0x2e1d585ac7425e0b:0x9dffe986cffedb63!8m2!3d-0.0215568!4d109.3393574!16s%2Fg%2F11b7p_0ywf!19sChIJC15Cx1pYHS4RY9v-z4bp_50?authuser=0&hl=en&rclk=1,Taman Alun Kapuas,4.5,Open now
https://www.google.com/maps/place/Wisata+Sipant+Lotup/data=!4m7!3m6!1s0x31fdc5c4e8e30f25:0x8c5539eb63d8b2af!8m2!3d0.39727!4d110.821262!16s%2Fg%2F11gbzbl7nk!19sChIJJQ_j6MTF_TERr7LYY-s5VYw?authuser=0&hl=en&rclk=1,Wisata Sipant Lotup,4.4,Open 24 hours
https://www.google.com/maps/place/WISATA+BATU+JATO/data=!4m7!3m6!1s0x2e023b919a600c9f:0x2fa8a8c3421704b0!8m2!3d-0.3608367!4d110.8383472!16s%2Fg%2F11c0pyb_m3!19sChIJnwxgmpE7Ai4RsAQXQsOoqC8?authuser=0&hl=en&rclk=1,WISATA BATU JATO,4.5,Open now
https://www.google.com/maps/place/Mangrove+Setapuk+Besar/data=!4m7!3m6!1s0x31e37039dd3e2f4d:0x6d81ad468fa21c0!8m2!3d0.9826428!4d108.9792822!16s%2Fg%2F11g6xx0s4q!19sChIJTS8-3Tlw4zERwCH6aNQa2AY?authuser=0&hl=en&rclk=1,Mangrove Setapuk Besar,4.3,Open
https://www.google.com/maps/place/Lepung+Kurnia/data=!4m7!3m6!1s0x2e01b18801919241:0xc6f96ecb06ec8890!8m2!3d-0.3716875!4d111.7133125!16s%2Fg%2F11ptrczq2x!19sChIJQZKRAYixAS4RkIjsBstu-cY?authuser=0&hl=en&rclk=1,Lepung Kurnia,4.3,Open
