lokasi,name,rating,status
https://www.google.com/maps/place/Taman+Hutan+Raya+Sultan+Adam/data=!4m7!3m6!1s0x2de67d1ae64e39f1:0x8ce56adf7126ab33!8m2!3d-3.5194142!4d114.9501443!16s%2Fg%2F11cp267jcc!19sChIJ8TlO5hp95i0RM6smcd9q5Yw?authuser=0&hl=en&rclk=1,Taman Hutan Raya Sultan Adam,4.6,Open 24 hours
https://www.google.com/maps/place/Goa+Batu+Hapu/data=!4m7!3m6!1s0x2de5c72791c59b31:0xa5423575ba6543da!8m2!3d-3.1271282!4d115.175391!16s%2Fg%2F120lwhwj!19sChIJMZvFkSfH5S0R2kNlunU1QqU?authuser=0&hl=en&rclk=1,Goa Batu Hapu,4.3,Open
https://www.google.com/maps/place/Pine+Forest+Mentaos+I/data=!4m7!3m6!1s0x2de681a005061eb9:0xc5cd877c1f76ea7c!8m2!3d-3.4344681!4d114.833598!16s%2Fg%2F11bvt0b_r8!19sChIJuR4GBaCB5i0RfOp2H3yHzcU?authuser=0&hl=en&rclk=1,Pine Forest Mentaos I,4.3,Open
https://www.google.com/maps/place/KIRAM+PARK/data=!4m7!3m6!1s0x2de6880356d883a3:0x1607ecc51fa6f031!8m2!3d-3.5524834!4d114.8981366!16s%2Fg%2F11f3dpv9xd!19sChIJo4PYVgOI5i0RMfCmH8XsBxY?authuser=0&hl=en&rclk=1,KIRAM PARK,4.3,Open 24 hours
https://www.google.com/maps/place/Menara+Pandang+Banjarmasin/data=!4m7!3m6!1s0x2de423c1879e1fb1:0xc531a6a5acab5a0!8m2!3d-3.3169893!4d114.5931235!16s%2Fg%2F11b7ccq_t3!19sChIJsR-eh8Ej5C0RoLXKWmoaUww?authuser=0&hl=en&rclk=1,Menara Pandang Banjarmasin,4.5,Open now
https://www.google.com/maps/place/Pantai+Asmara/data=!4m7!3m6!1s0x2de652b20bf86a6b:0x76bb7706f6db65b0!8m2!3d-3.9814243!4d115.0798673!16s%2Fg%2F11dfjy8gts!19sChIJa2r4C7JS5i0RsGXb9gZ3u3Y?authuser=0&hl=en&rclk=1,Pantai Asmara,4.2,Open 24 hours
https://www.google.com/maps/place/Siring+Laut+Park/data=!4m7!3m6!1s0x2def3020d363cdc1:0x5da35e0f0e0c994c!8m2!3d-3.2367538!4d116.2267171!16s%2Fg%2F1pztpz_bp!19sChIJwc1j0yAw7y0RTJkMDg9eo10?authuser=0&hl=en&rclk=1,Siring Laut Park,4.4,Open 24 hours
https://www.google.com/maps/place/Siring+Kota+Banjarmasin/data=!4m7!3m6!1s0x2de423c24b5596cd:0xd2facfc9ba5d8965!8m2!3d-3.3184996!4d114.5925817!16s%2Fg%2F11c42jg4wh!19sChIJzZZVS8Ij5C0RZYldusnP-tI?authuser=0&hl=en&rclk=1,Siring Kota Banjarmasin,4.6,Open 24 hours
https://www.google.com/maps/place/Bukit+Batu/data=!4m7!3m6!1s0x2de67be2e5e3055b:0x34581bc76377c46f!8m2!3d-3.5040228!4d115.0714546!16s%2Fg%2F11sjhytxcq!19sChIJWwXj5eJ75i0Rb8R3Y8cbWDQ?authuser=0&hl=en&rclk=1,Bukit Batu,4.7,Open now
https://www.google.com/maps/place/Air+Terjun+Bajuin/data=!4m7!3m6!1s0x2de6f64664d87467:0x2d7585efcd3c51ba!8m2!3d-3.7720708!4d114.8745512!16s%2Fg%2F11g8vwhlws!19sChIJZ3TYZEb25i0RulE8ze-FdS0?authuser=0&hl=en&rclk=1,Air Terjun Bajuin,4.3,Open
https://www.google.com/maps/place/Taman+Labirin+Pelaihari/data=!4m7!3m6!1s0x2de68d4968521899:0x59cb1cdd6d47bf54!8m2!3d-3.692556!4d114.7335!16s%2Fg%2F11b7hr149h!19sChIJmRhSaEmN5i0RVL9Hbd0cy1k?authuser=0&hl=en&rclk=1,Taman Labirin Pelaihari,4.3,Open
https://www.google.com/maps/place/Murung+Batu+Laba/data=!4m7!3m6!1s0x2de67bc069519ac1:0xba06304c2e5ee163!8m2!3d-3.5196875!4d115.0616875!16s%2Fg%2F11vb13w66x!19sChIJwZpRacB75i0RY-FeLkwwBro?authuser=0&hl=en&rclk=1,Murung Batu Laba,4.7,Open now
https://www.google.com/maps/place/Kampung+Ketupat+Banjarmasin+Sungai+Baru/data=!4m7!3m6!1s0x2de423f0cb0407bd:0xb33421ee21d64d05!8m2!3d-3.3226046!4d114.5959705!16s%2Fg%2F11tch0h9bq!19sChIJvQcEy_Aj5C0RBU3WIe4hNLM?authuser=0&hl=en&rclk=1,Kampung Ketupat Banjarmasin Sungai Baru,4.4,Open
https://www.google.com/maps/place/Alaska+Park+Banjarbaru/data=!4m7!3m6!1s0x2de6870941601553:0xc0d762eb2ec5ffbe!8m2!3d-3.5320031!4d114.8914628!16s%2Fg%2F11sr8t2s1x!19sChIJUxVgQQmH5i0Rvv_FLuti18A?authuser=0&hl=en&rclk=1,Alaska Park Banjarbaru,4.4,Open
https://www.google.com/maps/place/Rental+Atv+Pantai+Batakan+Baru/data=!4m7!3m6!1s0x2de71b612609abf1:0x9eab45a4f49d3bbd!8m2!3d-4.0852189!4d114.6286618!16s%2Fg%2F11qh5kb_1t!19sChIJ8asJJmEb5y0RvTud9KRFq54?authuser=0&hl=en&rclk=1,Rental Atv Pantai Batakan Baru,4.3,Open 24 hours
https://www.google.com/maps/place/Obyek+Wisata+Air+Panas+Tanuhi/data=!4m7!3m6!1s0x2de577e6e3b79831:0xb225e677b8b4b3c5!8m2!3d-2.7915194!4d115.4528503!16s%2Fg%2F11b7j3cvns!19sChIJMZi34-Z35S0RxbO0uHfmJbI?authuser=0&hl=en&rclk=1,Obyek Wisata Air Panas Tanuhi,4.2,Open
https://www.google.com/maps/place/Wisata+Gua+Liang+Bangkai/data=!4m7!3m6!1s0x2def5a66aaaaaaab:0xb2117f29f3e4a6d!8m2!3d-3.2025674!4d115.7972325!16s%2Fg%2F11b7vf7f6k!19sChIJq6qqqmZa7y0RbUo-n_IXIQs?authuser=0&hl=en&rclk=1,Wisata Gua Liang Bangkai,4.4,Open
https://www.google.com/maps/place/Borneo+Wonderland/data=!4m7!3m6!1s0x2de6797f5708c7cf:0xf73beb8e2f8bdf34!8m2!3d-3.4225382!4d115.0511337!16s%2Fg%2F11tf8qd45p!19sChIJz8cIV3955i0RNN-LL47rO_c?authuser=0&hl=en&rclk=1,Borneo Wonderland,4.3,Open
https://www.google.com/maps/place/BATAKAN+BEACH/data=!4m7!3m6!1s0x2de71d9c5595170b:0x6bc953d389b8bd89!8m2!3d-4.0842654!4d114.6287747!16s%2Fg%2F11kx67zhsr!19sChIJCxeVVZwd5y0Rib24idNTyWs?authuser=0&hl=en&rclk=1,BATAKAN BEACH,4.5,Open 24 hours
https://www.google.com/maps/place/PINE+ISLAND+ARANIO/data=!4m7!3m6!1s0x2de67ad3be5f0581:0xab5f0320fff99f8d!8m2!3d-3.5364435!4d115.0541896!16s%2Fg%2F11g6xfjs9p!19sChIJgQVfvtN65i0RjZ_5_yADX6s?authuser=0&hl=en&rclk=1,PINE ISLAND ARANIO,4.5,Open
https://www.google.com/maps/place/Objek+Wisata+Danau+Tamiyang/data=!4m7!3m6!1s0x2de67e837148071d:0xfeb15e02a4dbf930!8m2!3d-3.4644507!4d114.9596048!16s%2Fg%2F11hcyljg1l!19sChIJHQdIcYN-5i0RMPnbpAJesf4?authuser=0&hl=en&rclk=1,Objek Wisata Danau Tamiyang,4.2,Open
https://www.google.com/maps/place/Bukit+Mawar/data=!4m7!3m6!1s0x2de66302cfaef5c7:0x7e8a76777214c700!8m2!3d-3.5707903!4d114.9537606!16s%2Fg%2F11fy_g0z6f!19sChIJx_WuzwJj5i0RAMcUcnd2in4?authuser=0&hl=en&rclk=1,Bukit Mawar,4.4,Open
https://www.google.com/maps/place/Bukit+Matang+Kaladan/data=!4m7!3m6!1s0x2de67b5ce8731c07:0xeb8a67b84cbb0125!8m2!3d-3.5254244!4d115.0094272!16s%2Fg%2F11bzr_k4_f!19sChIJBxxz6Fx75i0RJQG7TLhnius?authuser=0&hl=en&rclk=1,Bukit Matang Kaladan,4.5,Open
https://www.google.com/maps/place/Riam+Bidadari/data=!4m7!3m6!1s0x2dfa9f4c584b95eb:0x12f6c68155d95d41!8m2!3d-1.8857372!4d115.6367533!16s%2Fg%2F11rr_z261s!19sChIJ65VLWEyf-i0RQV3ZVYHG9hI?authuser=0&hl=en&rclk=1,Riam Bidadari,4.4,Open 24 hours
https://www.google.com/maps/place/Objek+Wisata+Desa+Nateh/data=!4m7!3m6!1s0x2de567fe39efaf27:0xe882530cbc22d4db!8m2!3d-2.519863!4d115.5533687!16s%2Fg%2F11gj0tfk1v!19sChIJJ6_vOf5n5S0R29QivAxTgug?authuser=0&hl=en&rclk=1,Objek Wisata Desa Nateh,4.4,Open
https://www.google.com/maps/place/Wisata+Sungai+Biuku/data=!4m7!3m6!1s0x2de423839bb7421f:0x2e27f4b797dfe5!8m2!3d-3.2875198!4d114.6175238!16s%2Fg%2F11j5hrjn5t!19sChIJH0K3m4Mj5C0R5d-Xt_QnLgA?authuser=0&hl=en&rclk=1,Wisata Sungai Biuku,4.4,Open
https://www.google.com/maps/place/Gunung+Mayang/data=!4m7!3m6!1s0x2def4bf3cd5c3aad:0xe9bcd15ea97086f1!8m2!3d-3.3531241!4d115.9909138!16s%2Fg%2F11fjscjzq1!19sChIJrTpczfNL7y0R8YZwqV7RvOk?authuser=0&hl=en&rclk=1,Gunung Mayang,4.2,Open
https://www.google.com/maps/place/Pantai+Jo+Cemara/data=!4m7!3m6!1s0x2de8bdbccf3917f7:0xa17e959ee70d9575!8m2!3d-3.6233808!4d115.85904!16s%2Fg%2F11tdqbk_b7!19sChIJ9xc5z7y96C0RdZUN556VfqE?authuser=0&hl=en&rclk=1,Pantai Jo Cemara,4.3,Open 24 hours
https://www.google.com/maps/place/Taman+Siring+0+Kilometer+Banjarmasin/data=!4m7!3m6!1s0x2de423c056111e21:0x4ae811d975e09880!8m2!3d-3.315039!4d114.592524!16s%2Fg%2F11cs16_mfp!19sChIJIR4RVsAj5C0RgJjgddkR6Eo?authuser=0&hl=en&rclk=1,Taman Siring 0 Kilometer Banjarmasin,4.5,Open
https://www.google.com/maps/place/Pantai+THR+Takisung/data=!4m7!3m6!1s0x2de6e7c342b6236b:0x86b4ffab5dc95fe1!8m2!3d-3.8537154!4d114.6101109!16s%2Fg%2F11fmq9w822!19sChIJayO2QsPn5i0R4V_JXav_tIY?authuser=0&hl=en&rclk=1,Pantai THR Takisung,4.4,
