lokasi,name,rating,status
https://www.google.com/maps/place/Danum+Bahandang/data=!4m7!3m6!1s0x2dfcebd5f847bc85:0x1f169c22f11ce41b!8m2!3d-1.9311239!4d113.7309399!16s%2Fg%2F11q1wrfytj!19sChIJhbxH-NXr_C0RG-Qc8SKcFh8?authuser=0&hl=en&rclk=1,Danum Bahandang,4.5,Open
https://www.google.com/maps/place/Bukit+Batu+Kasongan/data=!4m7!3m6!1s0x2dfce3fd223cf5d5:0xcb4e6c653c6fae85!8m2!3d-1.8951303!4d113.4680533!16s%2Fg%2F11c2np7d7b!19sChIJ1fU8Iv3j_C0Rha5vPGVsTss?authuser=0&hl=en&rclk=1,Bukit Batu Kasongan,4.4,Open 24 hours
https://www.google.com/maps/place/Kubu+Beach/data=!4m7!3m6!1s0x2e08fd0dd7c616bf:0x99e9ac20df07075d!8m2!3d-2.8579946!4d111.7010427!16s%2Fg%2F11f2tgp5sh!19sChIJvxbG1w39CC4RXQcH3yCs6Zk?authuser=0&hl=en&rclk=1,Kubu Beach,4.2,Open now
https://www.google.com/maps/place/Wisata+Ikon+Jelawat/data=!4m7!3m6!1s0x2de2bfb7e47fa6df:0x23af9a7194e4887b!8m2!3d-2.5401508!4d112.9647799!16s%2Fg%2F11b6qg3zmf!19sChIJ36Z_5Le_4i0Re4jklHGaryM?authuser=0&hl=en&rclk=1,Wisata Ikon Jelawat,4.3,Open
https://www.google.com/maps/place/Dermaga+Kereng+Bangkirai/data=!4m7!3m6!1s0x2de34db2cc5d5053:0xfa5d1cf667281a1a!8m2!3d-2.2951961!4d113.906677!16s%2Fg%2F11cmtc6c2v!19sChIJU1BdzLJN4y0RGhooZ_YcXfo?authuser=0&hl=en&rclk=1,Dermaga Kereng Bangkirai,4.3,Open
https://www.google.com/maps/place/Taman+Nasional+Tanjung+Puting/data=!4m7!3m6!1s0x2e09a5fcc9bb3c5d:0xddb88e3644e9ea03!8m2!3d-3.0550149!4d111.9184136!16s%2Fm%2F06w61t2!19sChIJXTy7yfylCS4RA-rpRDaOuN0?authuser=0&hl=en&rclk=1,Taman Nasional Tanjung Puting,4.7,
https://www.google.com/maps/place/Air+Terjun+Batu+Mahasur/data=!4m7!3m6!1s0x2dfea0ca5b95aa3f:0x7287419dfd2b8e5f!8m2!3d-1.0897524!4d113.8549018!16s%2Fg%2F11c1n8fdh9!19sChIJP6qVW8qg_i0RX44r_Z1Bh3I?authuser=0&hl=en&rclk=1,Air Terjun Batu Mahasur,4.2,Open now
https://www.google.com/maps/place/Wisata+Alam+Jurung+Tiga/data=!4m7!3m6!1s0x2e08e54ef3461865:0x38bce3540f08b457!8m2!3d-2.7738726!4d111.657257!16s%2Fg%2F11fj7pmnlz!19sChIJZRhG807lCC4RV7QID1TjvDg?authuser=0&hl=en&rclk=1,Wisata Alam Jurung Tiga,4.2,Open
https://www.google.com/maps/place/Matan+Andau+Tangkiling/data=!4m7!3m6!1s0x2dfcc19cb77ef39d:0x7448e16e2ecb9c29!8m2!3d-1.9978901!4d113.7388188!16s%2Fg%2F11k3_lzvbk!19sChIJnfN-t5zB_C0RKZzLLm7hSHQ?authuser=0&hl=en&rclk=1,Matan Andau Tangkiling,4,Open 24 hours
https://www.google.com/maps/place/Sebangau+National+Park/data=!4m7!3m6!1s0x2dfcb2f9109ee879:0x40114385e9a1ba41!8m2!3d-2.5973765!4d113.6737776!16s%2Fm%2F04yfxmp!19sChIJeeieEPmy_C0RQbqh6YVDEUA?authuser=0&hl=en&rclk=1,Sebangau National Park,4.3,Open now
https://www.google.com/maps/place/Danau+Sanggu/data=!4m7!3m6!1s0x2dfb0005df937e9d:0xecfea6002c0bc92d!8m2!3d-1.6662108!4d114.8939396!16s%2Fg%2F11g8wyr52g!19sChIJnX6T3wUA-y0RLckLLACm_uw?authuser=0&hl=en&rclk=1,Danau Sanggu,4.2,Open
https://www.google.com/maps/place/Wisata+Air+Surung+Danum/data=!4m7!3m6!1s0x2dfcc16cf7815c3d:0xf7284aa879d708c9!8m2!3d-2.0233188!4d113.7438218!16s%2Fg%2F11v5b85bf5!19sChIJPVyB92zB_C0RyQjXeahKKPc?authuser=0&hl=en&rclk=1,Wisata Air Surung Danum,4.6,
https://www.google.com/maps/place/Lewu+Betang+Nansarunai+Sanggu/data=!4m7!3m6!1s0x2dfa5505bdac647f:0x1e4f2bdc5ac543e1!8m2!3d-1.6571984!4d114.9265925!16s%2Fg%2F11fmwskw8f!19sChIJf2SsvQVV-i0R4UPFWtwrTx4?authuser=0&hl=en&rclk=1,Lewu Betang Nansarunai Sanggu,4.4,Open 24 hours
https://www.google.com/maps/place/Manasa+Agrowisata/data=!4m7!3m6!1s0x2dfcc1050b385613:0x62c799390faccbd9!8m2!3d-2.0043582!4d113.7489855!16s%2Fg%2F11nmpnzcdm!19sChIJE1Y4CwXB_C0R2cusDzmZx2I?authuser=0&hl=en&rclk=1,Manasa Agrowisata,4.5,Open now
https://www.google.com/maps/place/Pesona+Alam+Lestari+%28PAL%29/data=!4m7!3m6!1s0x2de34c42aaf9566f:0xf1cd1e425dcd2098!8m2!3d-2.295615!4d113.8825728!16s%2Fg%2F11cjqlpfcy!19sChIJb1b5qkJM4y0RmCDNXUIezfE?authuser=0&hl=en&rclk=1,Pesona Alam Lestari (PAL),3.9,Open 24 hours
https://www.google.com/maps/place/Tebing+kalap+Beach/data=!4m7!3m6!1s0x2de217e516c3e2ef:0x5c714de7d17eac8e!8m2!3d-3.2288551!4d112.9305039!16s%2Fg%2F11rdb6nv96!19sChIJ7-LDFuUX4i0Rjqx-0edNcVw?authuser=0&hl=en&rclk=1,Tebing kalap Beach,4.5,Open 24 hours
https://www.google.com/maps/place/Tanjung+Keluang/data=!4m7!3m6!1s0x2e0902f09803f403:0x6d29775c2d129f14!8m2!3d-2.9054347!4d111.7064762!16s%2Fg%2F11cs3zfxrh!19sChIJA_QDmPACCS4RFJ8SLVx3KW0?authuser=0&hl=en&rclk=1,Tanjung Keluang,4.4,Closed
https://www.google.com/maps/place/Danau+Biru+Tewang+Rangkang/data=!4m7!3m6!1s0x2dfd0131093d1a0b:0xa12bf7e4a4a29d52!8m2!3d-1.717919!4d113.3171739!16s%2Fg%2F11qqgggwhk!19sChIJCxo9CTEB_S0RUp2ipOT3K6E?authuser=0&hl=en&rclk=1,Danau Biru Tewang Rangkang,4.1,
https://www.google.com/maps/place/Sandung+Ngabe+Sukah/data=!4m7!3m6!1s0x2dfcb265a763b5cd:0x1e5c031aaeb8b4de!8m2!3d-2.205315!4d113.9387642!16s%2Fg%2F11bzq3j69r!19sChIJzbVjp2Wy_C0R3rS4rhoDXB4?authuser=0&hl=en&rclk=1,Sandung Ngabe Sukah,4.5,
https://www.google.com/maps/place/Pemandian+Rawen./data=!4m7!3m6!1s0x2dfaffe257a181c5:0xa3bf8c5034675328!8m2!3d-1.672748!4d114.90655!16s%2Fg%2F11gcqc0h66!19sChIJxYGhV-L_-i0RKFNnNFCMv6M?authuser=0&hl=en&rclk=1,Pemandian Rawen.,4.2,Open
https://www.google.com/maps/place/Taman+Wisata+Alam+Bukit+Tangkiling/data=!4m7!3m6!1s0x2dfcc07d6e7bda0b:0x58827bd130bff911!8m2!3d-1.9986201!4d113.75346!16s%2Fg%2F11cp7p__gh!19sChIJC9p7bn3A_C0REfm_MNF7glg?authuser=0&hl=en&rclk=1,Taman Wisata Alam Bukit Tangkiling,4.2,Open now
https://www.google.com/maps/place/Bundaran+Gunung+Perak/data=!4m7!3m6!1s0x2dfacb09f40a2881:0x3383fa38c40b36dc!8m2!3d-2.170061!4d115.2232324!16s%2Fg%2F11sg8m_3k2!19sChIJgSgK9AnL-i0R3DYLxDj6gzM?authuser=0&hl=en&rclk=1,Bundaran Gunung Perak,4.6,Open now
https://www.google.com/maps/place/Air+Terjun+Tosah+puruk+cahu/data=!4m7!3m6!1s0x2df9146fb1eb46e9:0x958ef9e936c723c1!8m2!3d-0.778244!4d114.6052749!16s%2Fg%2F11c2qfy635!19sChIJ6UbrsW8U-S0RwSPHNun5jpU?authuser=0&hl=en&rclk=1,Air Terjun Tosah puruk cahu,4.5,Open
https://www.google.com/maps/place/Riam+Mangkikit/data=!4m7!3m6!1s0x2dfd958c41bdf21b:0xdd2881b2b5fe5aba!8m2!3d-1.4133077!4d112.9521306!16s%2Fg%2F11h7frsvv5!19sChIJG_K9QYyV_S0Rulr-tbKBKN0?authuser=0&hl=en&rclk=1,Riam Mangkikit,4.5,Open now
https://www.google.com/maps/place/Wisata+Matan+Andau/data=!4m7!3m6!1s0x2dfcc14bfcc4e0bb:0xca485ae91b639d31!8m2!3d-1.9988074!4d113.738515!16s%2Fg%2F11sczmwlzp!19sChIJu-DE_EvB_C0RMZ1jG-laSMo?authuser=0&hl=en&rclk=1,Wisata Matan Andau,3.2,
https://www.google.com/maps/place/Istana+Kuning/data=!4m7!3m6!1s0x2e08ee428f0a4f53:0x30b0af3390d590d!8m2!3d-2.6760502!4d111.6323128!16s%2Fg%2F11c3k6q1cz!19sChIJU08Kj0LuCC4RDVkNOfMKCwM?authuser=0&hl=en&rclk=1,Istana Kuning,4.4,Open
