lokasi,name,rating,status
https://www.google.com/maps/place/Bangkirai+Hills+Balikpapan/data=!4m7!3m6!1s0x2df6b43dd14fa82f:0x910d89815a4d33f3!8m2!3d-1.0252487!4d116.8649419!16s%2Fg%2F120knfvm!19sChIJL6hP0T209i0R8zNNWoGJDZE?authuser=0&hl=en&rclk=1,Bangkirai Hills Balikpapan,4.5,Open
https://www.google.com/maps/place/Wisata+Batu+Dinding/data=!4m7!3m6!1s0x2df6bac885b2012d:0x155aeb28a071c5db!8m2!3d-0.9239045!4d116.974042!16s%2Fg%2F11fzb0tb85!19sChIJLQGyhci69i0R28VxoCjrWhU?authuser=0&hl=en&rclk=1,Wisata Batu Dinding,4.7,Open
https://www.google.com/maps/place/Desa+Wisata+Pela/data=!4m7!3m6!1s0x2df6378abcd88c61:0xa8c1e1e38ecabffa!8m2!3d-0.2408157!4d116.5407646!16s%2Fg%2F11l99sw_2f!19sChIJYYzYvIo39i0R-r_KjuPhwag?authuser=0&hl=en&rclk=1,Desa Wisata Pela,4.7,Open
https://www.google.com/maps/place/Gunung+embun/data=!4m7!3m6!1s0x2df015ab499d6d71:0xf503f5231d5439e3!8m2!3d-1.9485388!4d116.0022468!16s%2Fg%2F11h51yr5fy!19sChIJcW2dSasV8C0R4zlUHSP1A_U?authuser=0&hl=en&rclk=1,Gunung embun,4.5,Open 24 hours
https://www.google.com/maps/place/Melawai+Beach/data=!4m7!3m6!1s0x2df1475b5204db5d:0xbd89f03e103910b3!8m2!3d-1.2787925!4d116.8100665!16s%2Fg%2F11b6hvcq94!19sChIJXdsEUltH8S0RsxA5ED7wib0?authuser=0&hl=en&rclk=1,Melawai Beach,4.5,Open now
https://www.google.com/maps/place/Ladaya+Tenggarong/data=!4m7!3m6!1s0x2df66fbce31b02a9:0xe190ca1803f4f133!8m2!3d-0.3912659!4d116.9780274!16s%2Fg%2F11jlkw1rd3!19sChIJqQIb47xv9i0RM_H0AxjKkOE?authuser=0&hl=en&rclk=1,Ladaya Tenggarong,4.4,Open
https://www.google.com/maps/place/Kampung+Warna+Warni/data=!4m7!3m6!1s0x2df0451ded669a5f:0x8be96506fc966447!8m2!3d-1.8257184!4d116.1492208!16s%2Fg%2F11ghn78jm7!19sChIJX5pm7R1F8C0RR2SW_AZl6Ys?authuser=0&hl=en&rclk=1,Kampung Warna Warni,4.1,Open
https://www.google.com/maps/place/Wisata+Mangrove+Lati+Tuo+Klempang+Sari/data=!4m7!3m6!1s0x2df043cf52ddcadf:0x5f9ccbac83582cb2!8m2!3d-1.8318471!4d116.0972906!16s%2Fg%2F11rfdr8f_1!19sChIJ38rdUs9D8C0RsixYg6zLnF8?authuser=0&hl=en&rclk=1,Wisata Mangrove Lati Tuo Klempang Sari,4.6,Open
https://www.google.com/maps/place/TAKA+GARDEN/data=!4m7!3m6!1s0x2df04748428eddab:0x805268faf155b110!8m2!3d-1.866035!4d116.20317!16s%2Fg%2F11rgn8v66j!19sChIJq92OQkhH8C0RELFV8fpoUoA?authuser=0&hl=en&rclk=1,TAKA GARDEN,4.7,Open
https://www.google.com/maps/place/Pulau+Gusung+Sanggalau/data=!4m7!3m6!1s0x3212994030b1c913:0x331a93944ebaaa09!8m2!3d2.2999486!4d118.2426658!16s%2Fg%2F11mvgyf0fz!19sChIJE8mxMECZEjIRCaq6TpSTGjM?authuser=0&hl=en&rclk=1,Pulau Gusung Sanggalau,4.7,Open 24 hours
https://www.google.com/maps/place/Gunung+Rambutan+Waterfall/data=!4m7!3m6!1s0x2df0685a75d2b7ab:0x181eaf6de00c5caa!8m2!3d-1.8134686!4d116.001534!16s%2Fg%2F11cms_s1_c!19sChIJq7fSdVpo8C0RqlwM4G2vHhg?authuser=0&hl=en&rclk=1,Gunung Rambutan Waterfall,4.4,Open 24 hours
https://www.google.com/maps/place/Pantai+Tanah+Merah+Tanjung+Harapan/data=!4m7!3m6!1s0x2df6ab735b908dff:0x774f7840679eb1aa!8m2!3d-1.0491887!4d117.1017607!16s%2Fg%2F11b7c8mp3p!19sChIJ_42QW3Or9i0RqrGeZ0B4T3c?authuser=0&hl=en&rclk=1,Pantai Tanah Merah Tanjung Harapan,4.4,Open now
https://www.google.com/maps/place/Mangrove+Margo+Mulyo/data=!4m7!3m6!1s0x2df147de1996d301:0x41417af05d142cb3!8m2!3d-1.2264812!4d116.8249524!16s%2Fg%2F11c59stnhq!19sChIJAdOWGd5H8S0RsywUXfB6QUE?authuser=0&hl=en&rclk=1,Mangrove Margo Mulyo,4.2,Open
https://www.google.com/maps/place/DANAU+SENDAMAI/data=!4m7!3m6!1s0x2df0114629fc0c3f:0xc1d261a4e326e8ac!8m2!3d-2.015704!4d115.9352291!16s%2Fg%2F11b_3g6m29!19sChIJPwz8KUYR8C0RrOgm46Rh0sE?authuser=0&hl=en&rclk=1,DANAU SENDAMAI,4.3,Open 24 hours
https://www.google.com/maps/place/Kemilau+Laut+Pondong/data=!4m7!3m6!1s0x2df04f96749e5455:0xbd727b95f86d9bff!8m2!3d-1.8049561!4d116.2526723!16s%2Fg%2F11cn6pkvkl!19sChIJVVSedJZP8C0R_5tt-JV7cr0?authuser=0&hl=en&rclk=1,Kemilau Laut Pondong,4.1,Open now
https://www.google.com/maps/place/Danau+Jempang+Tanjung+Isuy/data=!4m7!3m6!1s0x2df7a7266db6a7bb:0xf9c125c8432c42af!8m2!3d-0.5095253!4d116.1494942!16s%2Fg%2F11hbfk4dyz!19sChIJu6e2bSan9y0Rr0IsQ8glwfk?authuser=0&hl=en&rclk=1,Danau Jempang Tanjung Isuy,4.5,
https://www.google.com/maps/place/Dinas+Pariwisata+Provinsi+Kalimantan+Timur/data=!4m7!3m6!1s0x2df67f09ff2917bb:0x323ee87fce3f5b0a!8m2!3d-0.5013481!4d117.1433682!16s%2Fg%2F1hf9nfmrz!19sChIJuxcp_wl_9i0RCls_zn_oPjI?authuser=0&hl=en&rclk=1,Dinas Pariwisata Provinsi Kalimantan Timur,4,Closed
"https://www.google.com/maps/place/Pantai+Pasir+Putih,+Desa+Paser+Mayang,+Kalimantan+Timur/data=!4m7!3m6!1s0x2df05ab70c4fe7a7:0xc1f715aa0697dd68!8m2!3d-1.7763573!4d116.2103017!16s%2Fg%2F11hckqkq3r!19sChIJp-dPDLda8C0RaN2XBqoV98E?authuser=0&hl=en&rclk=1","Pantai Pasir Putih, Desa Paser Mayang, Kalimantan Timur",4.1,
https://www.google.com/maps/place/Mangrove+Center+Graha+Indah/data=!4m7!3m6!1s0x2df148f7f1221a2b:0xdfc02d03a677cec!8m2!3d-1.1939455!4d116.8451096!16s%2Fg%2F11c3pcrwpd!19sChIJKxoi8fdI8S0R7HxnOtAC_A0?authuser=0&hl=en&rclk=1,Mangrove Center Graha Indah,4.5,Open
https://www.google.com/maps/place/WISATA+AREMA+PASER+RESORT/data=!4m7!3m6!1s0x2df047113612ef8b:0xa86fb33b05db4cf!8m2!3d-1.8927276!4d116.2048555!16s%2Fg%2F11swcwnf92!19sChIJi-8SNhFH8C0Rz7RdsDP7hgo?authuser=0&hl=en&rclk=1,WISATA AREMA PASER RESORT,4.3,Open
https://www.google.com/maps/place/Bukit+Sembinai/data=!4m7!3m6!1s0x2df06f63402defd5:0x74c2e7a5e8690e30!8m2!3d-1.7971132!4d115.923016!16s%2Fg%2F11h4mtfs13!19sChIJ1e8tQGNv8C0RMA5p6KXnwnQ?authuser=0&hl=en&rclk=1,Bukit Sembinai,4.7,
https://www.google.com/maps/place/Pantai+Paser+Mayang/data=!4m7!3m6!1s0x2df05ab0cdee94b1:0x4dad57a9258c630b!8m2!3d-1.776419!4d116.2115808!16s%2Fg%2F11f3wrkzzl!19sChIJsZTuzbBa8C0RC2OMJalXrU0?authuser=0&hl=en&rclk=1,Pantai Paser Mayang,4.1,Open now
https://www.google.com/maps/place/Waduk+SESULU/data=!4m7!3m6!1s0x2df1186d3eccd6a3:0xacf2a5e4068ca428!8m2!3d-1.3700688!4d116.5834694!16s%2Fg%2F11c70j29bw!19sChIJo9bMPm0Y8S0RKKSMBuSl8qw?authuser=0&hl=en&rclk=1,Waduk SESULU,4.2,
https://www.google.com/maps/place/Wisata+Goa+Losan+Muara+Komam/data=!4m7!3m6!1s0x2df07df0e788a1cd:0x8677ad14b1af30a6!8m2!3d-1.694064!4d115.8167167!16s%2Fg%2F11g1mdq25m!19sChIJzaGI5_B98C0RpjCvsRStd4Y?authuser=0&hl=en&rclk=1,Wisata Goa Losan Muara Komam,4.1,
https://www.google.com/maps/place/PANTAI+SENIPAH/data=!4m7!3m6!1s0x2dee31df0714f587:0x80fcdb65f672467a!8m2!3d-2.3489407!4d116.0107816!16s%2Fg%2F11jzwh6rq9!19sChIJh_UUB98x7i0RekZy9mXb_IA?authuser=0&hl=en&rclk=1,PANTAI SENIPAH,5,Open 24 hours
https://www.google.com/maps/place/Pantai+Corong/data=!4m7!3m6!1s0x2df1171d3e2e73dd:0xacfb9ca648821e51!8m2!3d-1.4036667!4d116.6536521!16s%2Fg%2F11c3183nr8!19sChIJ3XMuPh0X8S0RUR6CSKac-6w?authuser=0&hl=en&rclk=1,Pantai Corong,4.1,
https://www.google.com/maps/place/Air+Terjun+Doyam+Seriam/data=!4m7!3m6!1s0x2df05e3ff18bde75:0x5e95bd668b9a7b7d!8m2!3d-1.697446!4d116.064406!16s%2Fg%2F11c1xfpxcb!19sChIJdd6L8T9e8C0RfXuai2a9lV4?authuser=0&hl=en&rclk=1,Air Terjun Doyam Seriam,4.6,Open
https://www.google.com/maps/place/Bukit+Batu+Dinding/data=!4m7!3m6!1s0x2df6b3a8da8ef347:0x85f5d5efe19ec5f4!8m2!3d-0.9245102!4d116.9736536!16s%2Fg%2F11ckqr7dm2!19sChIJR_OO2qiz9i0R9MWe4e_V9YU?authuser=0&hl=en&rclk=1,Bukit Batu Dinding,4.5,Open 24 hours
https://www.google.com/maps/place/Danau+Sigending/data=!4m7!3m6!1s0x3273531b3c546d07:0xc1a516908d95ebe2!8m2!3d1.132898!4d118.764074!16s%2Fg%2F11q2gf9tbn!19sChIJB21UPBtTczIR4uuVjZAWpcE?authuser=0&hl=en&rclk=1,Danau Sigending,4.9,Open 24 hours
https://www.google.com/maps/place/Manggar+Beach/data=!4m7!3m6!1s0x2df14f816ad571b5:0xacb7c2e8d6cfbd97!8m2!3d-1.2137856!4d116.9804566!16s%2Fg%2F11ny4gtqx1!19sChIJtXHVaoFP8S0Rl73P1ujCt6w?authuser=0&hl=en&rclk=1,Manggar Beach,4.4,Open
https://www.google.com/maps/place/Wisata+Sawah+Babulu/data=!4m7!3m6!1s0x2df1035bf73ab931:0x42ab0958039a43d!8m2!3d-1.5339333!4d116.4214791!16s%2Fg%2F11q36l2rtp!19sChIJMbk691sD8S0RPaQ5gJWwKgQ?authuser=0&hl=en&rclk=1,Wisata Sawah Babulu,4.6,
https://www.google.com/maps/place/Labuan+Cermin/data=!4m7!3m6!1s0x32734cb76f07da33:0x5e898623450bccae!8m2!3d1.2522193!4d118.6839439!16s%2Fg%2F11c2l40_5v!19sChIJM9oHb7dMczIRrswLRSOGiV4?authuser=0&hl=en&rclk=1,Labuan Cermin,4.7,Open
https://www.google.com/maps/place/Danau+Kakaban/data=!4m7!3m6!1s0x320d57834353e2ed:0x83dba10668bef0ae!8m2!3d2.1489612!4d118.5272661!16s%2Fg%2F11n_v60g_6!19sChIJ7eJTQ4NXDTIRrvC-aAah24M?authuser=0&hl=en&rclk=1,Danau Kakaban,4.8,
https://www.google.com/maps/place/Air+Terjun+Doyam+Sae/data=!4m7!3m6!1s0x2df06754b8582a29:0x38a256836504a117!8m2!3d-1.7559336!4d116.0151871!16s%2Fg%2F11fjxd_6w4!19sChIJKSpYuFRn8C0RF6EEZYNWojg?authuser=0&hl=en&rclk=1,Air Terjun Doyam Sae,4.6,Open
https://www.google.com/maps/place/Air+Terjun+Tembinus/data=!4m7!3m6!1s0x2df6c5b96067f37b:0xda417fa81f558c53!8m2!3d-0.8862011!4d116.6595942!16s%2Fg%2F11l1p93_7h!19sChIJe_NnYLnF9i0RU4xVH6h_Qdo?authuser=0&hl=en&rclk=1,Air Terjun Tembinus,4.1,
https://www.google.com/maps/place/Wisata+Doyam+Turu/data=!4m7!3m6!1s0x2df01572b67dcedf:0x88fa20bfa0dfee55!8m2!3d-1.9511146!4d116.0317571!16s%2Fg%2F11hh8_cf29!19sChIJ3859tnIV8C0RVe7foL8g-og?authuser=0&hl=en&rclk=1,Wisata Doyam Turu,4.8,
https://www.google.com/maps/place/Lembah+sunyi/data=!4m7!3m6!1s0x2df04712c38dedd5:0x5ead291f2b837e8e!8m2!3d-1.8967826!4d116.193613!16s%2Fg%2F11szdh5v61!19sChIJ1e2NwxJH8C0Rjn6DKx8prV4?authuser=0&hl=en&rclk=1,Lembah sunyi,4.3,
https://www.google.com/maps/place/Tahura+Lati+Petangis/data=!4m7!3m6!1s0x2df03d60d7b23d23:0x5a68b2b496c9d996!8m2!3d-2.0623751!4d116.0960681!16s%2Fg%2F11j0_4w7h0!19sChIJIz2y12A98C0RltnJlrSyaFo?authuser=0&hl=en&rclk=1,Tahura Lati Petangis,4.3,
"https://www.google.com/maps/place/Air+Terjun+Doyam+GERIGU,/data=!4m7!3m6!1s0x2df0f56969b13741:0x5fc3194461ddc07f!8m2!3d-1.6056964!4d116.0811267!16s%2Fg%2F11gj5vsy7r!19sChIJQTexaWn18C0Rf8DdYUQZw18?authuser=0&hl=en&rclk=1","Air Terjun Doyam GERIGU,",4.6,Open
https://www.google.com/maps/place/Exotic+Kaltim/data=!4m7!3m6!1s0x2df67f2382bf9939:0xb3ed99bf652c3906!8m2!3d-0.4871875!4d117.1325625!16s%2Fg%2F11b7vgzf4h!19sChIJOZm_giN_9i0RBjksZb-Z7bM?authuser=0&hl=en&rclk=1,Exotic Kaltim,4.6,Closed
