lokasi,name,rating,status
https://www.google.com/maps/place/Desa+Wisata+Setulang/data=!4m7!3m6!1s0x3216d6d967788b4d:0xb7e371139443db59!8m2!3d3.4563759!4d116.4976062!16s%2Fg%2F11hbvsn305!19sChIJTYt4Z9nWFjIRWdtDlBNx47c?authuser=0&hl=en&rclk=1,Desa Wisata Setulang,4.6,Open
https://www.google.com/maps/place/White+Mountain+Tourism/data=!4m7!3m6!1s0x3213d1f6b21db5f7:0x670056c0535066d9!8m2!3d2.8276566!4d117.3448168!16s%2Fg%2F11c7s294yg!19sChIJ97UdsvbREzIR2WZQU8BWAGc?authuser=0&hl=en&rclk=1,White Mountain Tourism,3.9,Open 24 hours
https://www.google.com/maps/place/Balai+Adat+Tidung+dan+Budaya+Kota+Tarakan/data=!4m7!3m6!1s0x32138a6e2b143b63:0x1a7058f321818ba9!8m2!3d3.308989!4d117.6113218!16s%2Fg%2F11c2p_gs3x!19sChIJYzsUK26KEzIRqYuBIfNYcBo?authuser=0&hl=en&rclk=1,Balai Adat Tidung dan Budaya Kota Tarakan,4.5,Open
https://www.google.com/maps/place/Rian+Mountain+Waterfall/data=!4m7!3m6!1s0x3216b84132ed16e9:0xe209d1f9b7e74d0b!8m2!3d3.5081035!4d116.8261118!16s%2Fg%2F11fxzq6g8q!19sChIJ6RbtMkG4FjIRC03nt_nRCeI?authuser=0&hl=en&rclk=1,Rian Mountain Waterfall,4.4,Open
https://www.google.com/maps/place/Kawasan+Konservasi+Mangrove+Dan+Bekantan/data=!4m7!3m6!1s0x32138a9448a0a9ed:0xbaf2f265d3abbe0!8m2!3d3.305523!4d117.5771055!16s%2Fg%2F1pv0251wb!19sChIJ7amgSJSKEzIR4Ls6XSYvrws?authuser=0&hl=en&rclk=1,Kawasan Konservasi Mangrove Dan Bekantan,4.3,Open
https://www.google.com/maps/place/Semolon+Waterfall/data=!4m7!3m6!1s0x321728528e75e7dd:0xe682e32f75850e34!8m2!3d3.4657502!4d116.3828751!16s%2Fg%2F11by_dqqx_!19sChIJ3ed1jlIoFzIRNA6FdS_jguY?authuser=0&hl=en&rclk=1,Semolon Waterfall,4.5,Open 24 hours
https://www.google.com/maps/place/Taman+Berlabuh/data=!4m7!3m6!1s0x32138afebf223fa9:0x87fb7f6f40e19413!8m2!3d3.2863568!4d117.5920675!16s%2Fg%2F11c6sn069x!19sChIJqT8iv_6KEzIRE5ThQG9_-4c?authuser=0&hl=en&rclk=1,Taman Berlabuh,4.3,Open
https://www.google.com/maps/place/Selimau+Park/data=!4m7!3m6!1s0x3213ced660fa49ff:0x7ff7290138189334!8m2!3d2.854436!4d117.448445!16s%2Fg%2F11g7klbtbt!19sChIJ_0n6YNbOEzIRNJMYOAEp938?authuser=0&hl=en&rclk=1,Selimau Park,3.3,Open 24 hours
https://www.google.com/maps/place/Tanah+Kuning+2+Beach/data=!4m7!3m6!1s0x32125b6232e8c3f5:0x51750e1639308794!8m2!3d2.5975664!4d117.8267766!16s%2Fg%2F11h313q5nr!19sChIJ9cPoMmJbEjIRlIcwORYOdVE?authuser=0&hl=en&rclk=1,Tanah Kuning 2 Beach,4.4,Open
https://www.google.com/maps/place/Kawasan+Wisata+Ratu+Intan+Pantai+Amal/data=!4m7!3m6!1s0x321389b71019342b:0xc3b9771d4a152721!8m2!3d3.3040713!4d117.6570085!16s%2Fg%2F11vb73g643!19sChIJKzQZELeJEzIRIScVSh13ucM?authuser=0&hl=en&rclk=1,Kawasan Wisata Ratu Intan Pantai Amal,4.8,
https://www.google.com/maps/place/Wisata+Air+Terjun+Karungan/data=!4m7!3m6!1s0x32138bd289ae9eab:0xa2a4c0e54ed4001d!8m2!3d3.2793942!4d117.6326906!16s%2Fg%2F11c36f5rn0!19sChIJq56uidKLEzIRHQDUTuXApKI?authuser=0&hl=en&rclk=1,Wisata Air Terjun Karungan,3.9,
https://www.google.com/maps/place/Sungai+Sentaban/data=!4m7!3m6!1s0x3216d73c90bae7f1:0x78a6d6be32344206!8m2!3d3.4944832!4d116.4864955!16s%2Fg%2F11s7k_05m2!19sChIJ8ee6kDzXFjIRBkI0Mr7Wpng?authuser=0&hl=en&rclk=1,Sungai Sentaban,4.5,Open 24 hours
https://www.google.com/maps/place/Dinas+Pariwisata+Provinsi+Kalimantan+Utara/data=!4m7!3m6!1s0x3213ce2fdc6b4d17:0x23cbc510368a50d2!8m2!3d2.8429231!4d117.3738977!16s%2Fg%2F11fx9brg43!19sChIJF01r3C_OEzIR0lCKNhDFyyM?authuser=0&hl=en&rclk=1,Dinas Pariwisata Provinsi Kalimantan Utara,4.6,Closed
https://www.google.com/maps/place/Square+-+Village+Square+Cow+Island+Tourism/data=!4m7!3m6!1s0x3216da28fc248dd3:0xc92fbce8912e905d!8m2!3d3.5258283!4d116.5171256!16s%2Fg%2F11dxqdhd1v!19sChIJ040k_CjaFjIRXZAukei8L8k?authuser=0&hl=en&rclk=1,Square - Village Square Cow Island Tourism,4.9,Open 24 hours
https://www.google.com/maps/place/Museum+Kesultanan+Bulungan/data=!4m7!3m6!1s0x3213d1fccb45bc41:0xe17af808b6b65870!8m2!3d2.8319334!4d117.3571729!16s%2Fg%2F11c1p8mlqs!19sChIJQbxFy_zREzIRcFi2tgj4euE?authuser=0&hl=en&rclk=1,Museum Kesultanan Bulungan,4.2,Closes soon
https://www.google.com/maps/place/Oval+Park/data=!4m7!3m6!1s0x32138a7c656dc74f:0xa340cd2a37b9ba21!8m2!3d3.3124837!4d117.6016142!16s%2Fg%2F11c1mznk48!19sChIJT8dtZXyKEzIRIbq5NyrNQKM?authuser=0&hl=en&rclk=1,Oval Park,4.2,Closed
https://www.google.com/maps/place/Taman+Tepian+Sungai+Kayan/data=!4m7!3m6!1s0x3213cf59bb6e22ed:0x4d1ac0a2ab43e4da!8m2!3d2.8386128!4d117.3616835!16s%2Fg%2F11gxmtsb07!19sChIJ7SJuu1nPEzIR2uRDq6LAGk0?authuser=0&hl=en&rclk=1,Taman Tepian Sungai Kayan,4.4,
https://www.google.com/maps/place/Danau+Biru+Tabur+Kelua/data=!4m7!3m6!1s0x2de548451b500317:0xa9af4fea011d2b69!8m2!3d-2.3423786!4d115.3167447!16s%2Fg%2F11gb405lyh!19sChIJFwNQG0VI5S0RaSsdAepPr6k?authuser=0&hl=en&rclk=1,Danau Biru Tabur Kelua,3.8,Open
https://www.google.com/maps/place/Siring+Laut+Park/data=!4m7!3m6!1s0x2def3020d363cdc1:0x5da35e0f0e0c994c!8m2!3d-3.2367538!4d116.2267171!16s%2Fg%2F1pztpz_bp!19sChIJwc1j0yAw7y0RTJkMDg9eo10?authuser=0&hl=en&rclk=1,Siring Laut Park,4.4,Open 24 hours
https://www.google.com/maps/place/Tanjung+Pasir/data=!4m7!3m6!1s0x321477b9b968dded:0x4515e507574dadc3!8m2!3d3.2443556!4d117.630284!16s%2Fg%2F11lgpl6m9y!19sChIJ7d1oubl3FDIRw61NVwflFUU?authuser=0&hl=en&rclk=1,Tanjung Pasir,4.2,Open 24 hours
https://www.google.com/maps/place/Pantai+Swarangan/data=!4m7!3m6!1s0x2de7aa3a4e4a3a25:0x989580bc0115fd70!8m2!3d-4.0514243!4d114.9373917!16s%2Fg%2F1232pjh4!19sChIJJTpKTjqq5y0RcP0VAbyAlZg?authuser=0&hl=en&rclk=1,Pantai Swarangan,3.9,Open
https://www.google.com/maps/place/Pine+Forest+Mentaos+I/data=!4m7!3m6!1s0x2de681a005061eb9:0xc5cd877c1f76ea7c!8m2!3d-3.4344681!4d114.833598!16s%2Fg%2F11bvt0b_r8!19sChIJuR4GBaCB5i0RfOp2H3yHzcU?authuser=0&hl=en&rclk=1,Pine Forest Mentaos I,4.3,Open
https://www.google.com/maps/place/Pulau+Sambujur/data=!4m7!3m6!1s0x2de52f208576042f:0xb2ef34b29b97fbad!8m2!3d-2.3614078!4d115.0635404!16s%2Fg%2F11s2pmxw5b!19sChIJLwR2hSAv5S0RrfuXm7I077I?authuser=0&hl=en&rclk=1,Pulau Sambujur,4.2,Open now
https://www.google.com/maps/place/Kalimantan+utara/data=!4m7!3m6!1s0x3216c35946a53f1d:0x1c772785871c80ba!8m2!3d3.584221!4d116.647797!16s%2Fg%2F11v3jqjrhv!19sChIJHT-lRlnDFjIRuoAch4Undxw?authuser=0&hl=en&rclk=1,Kalimantan utara,1,
https://www.google.com/maps/place/The+Bais+Hills/data=!4m7!3m6!1s0x32138a19b09d8e69:0x7d25ede3db535277!8m2!3d3.3046614!4d117.6526268!16s%2Fg%2F1pzpkqcfh!19sChIJaY6dsBmKEzIRd1JT2-PtJX0?authuser=0&hl=en&rclk=1,The Bais Hills,3.8,Open
https://www.google.com/maps/place/Pantai+Sarang+Tiung+KAB.+KOTABARU/data=!4m7!3m6!1s0x2def2dd0092d1ed7:0x103f3a9517cfc7a1!8m2!3d-3.2934168!4d116.2662593!16s%2Fg%2F11csp_j6sk!19sChIJ1x4tCdAt7y0RocfPF5U6PxA?authuser=0&hl=en&rclk=1,Pantai Sarang Tiung KAB. KOTABARU,4.5,Open
https://www.google.com/maps/place/Wisata+Sungai+Biuku/data=!4m7!3m6!1s0x2de423839bb7421f:0x2e27f4b797dfe5!8m2!3d-3.2875198!4d114.6175238!16s%2Fg%2F11j5hrjn5t!19sChIJH0K3m4Mj5C0R5d-Xt_QnLgA?authuser=0&hl=en&rclk=1,Wisata Sungai Biuku,4.4,Open
https://www.google.com/maps/place/Taman+Putri+Junjung+Buih/data=!4m7!3m6!1s0x2de539e76c8c1ab1:0x830e363aecfb717a!8m2!3d-2.4188747!4d115.2564948!16s%2Fg%2F11h7b9tj4n!19sChIJsRqMbOc55S0RenH77Do2DoM?authuser=0&hl=en&rclk=1,Taman Putri Junjung Buih,4.3,Open now
https://www.google.com/maps/place/Pantai+Gedambaan/data=!4m7!3m6!1s0x2def2dd0173fa069:0xe93fa05675123c0f!8m2!3d-3.2934874!4d116.2670851!16s%2Fg%2F11b6lmwphm!19sChIJaaA_F9At7y0RDzwSdVagP-k?authuser=0&hl=en&rclk=1,Pantai Gedambaan,4.4,
https://www.google.com/maps/place/Objek+Wisata+Danau+Tamiyang/data=!4m7!3m6!1s0x2de67e837148071d:0xfeb15e02a4dbf930!8m2!3d-3.4644507!4d114.9596048!16s%2Fg%2F11hcyljg1l!19sChIJHQdIcYN-5i0RMPnbpAJesf4?authuser=0&hl=en&rclk=1,Objek Wisata Danau Tamiyang,4.2,Open
https://www.google.com/maps/place/Goa+Batu+Hapu/data=!4m7!3m6!1s0x2de5c72791c59b31:0xa5423575ba6543da!8m2!3d-3.1271282!4d115.175391!16s%2Fg%2F120lwhwj!19sChIJMZvFkSfH5S0R2kNlunU1QqU?authuser=0&hl=en&rclk=1,Goa Batu Hapu,4.3,Open
https://www.google.com/maps/place/PT.+Nur+Ramadhan+Wisata+Kaltara/data=!4m7!3m6!1s0x6b5816f33b6b610f:0x385256d018280c2f!8m2!3d3.355158!4d117.5777098!16s%2Fg%2F11l30pw5r3!19sChIJD2FrO_MWWGsRLwwoGNBWUjg?authuser=0&hl=en&rclk=1,PT. Nur Ramadhan Wisata Kaltara,,Open
