lokasi,name,rating,status
https://www.google.com/maps/place/Gurun+Pasir+Bintan/data=!4m7!3m6!1s0x31d97785b76cdf9f:0xb88f489d3414be22!8m2!3d1.0135512!4d104.3221673!16s%2Fg%2F11c1mz8v1f!19sChIJn99st4V32TERIr4UNJ1Ij7g?authuser=0&hl=en&rclk=1,Gurun Pasir Bintan,4.3,Open
https://www.google.com/maps/place/Wisata+Batu+Lepe/data=!4m7!3m6!1s0x31c26b9bd68e743b:0x7514f12ac3f9a32f!8m2!3d3.2286134!4d106.225127!16s%2Fg%2F11rjtq6qkk!19sChIJO3SO1ptrwjERL6P5wyrxFHU?authuser=0&hl=en&rclk=1,Wisata Batu Lepe,4.5,Open 24 hours
https://www.google.com/maps/place/Mega+Wisata+Ocarina+Batam/data=!4m7!3m6!1s0x31d989b3171d42eb:0xe12de96a78d48c4a!8m2!3d1.1525536!4d104.0568338!16s%2Fg%2F11h1sy5l0!19sChIJ60IdF7OJ2TERSozUeGrpLeE?authuser=0&hl=en&rclk=1,Mega Wisata Ocarina Batam,4.2,Open
https://www.google.com/maps/place/Patung+Seribu/data=!4m7!3m6!1s0x31d96d07fa95dc27:0xb29afa7f1b194ad7!8m2!3d0.9045904!4d104.5400858!16s%2Fg%2F11fsh_ydcv!19sChIJJ9yV-gdt2TER10oZG3_6mrI?authuser=0&hl=en&rclk=1,Patung Seribu,4.7,Open
https://www.google.com/maps/place/Puncak+Beliung/data=!4m7!3m6!1s0x31d98d5759a5d213:0xeb18b979bb0028d7!8m2!3d1.0992131!4d103.9419649!16s%2Fg%2F11hzhr88mg!19sChIJE9KlWVeN2TER1ygAu3m5GOs?authuser=0&hl=en&rclk=1,Puncak Beliung,4.4,Open
https://www.google.com/maps/place/Wisata+Alam+Mangrove+Pandang+Tak+Jemu/data=!4m7!3m6!1s0x31d989f50e7ce455:0xad4299324777d760!8m2!3d1.1733297!4d104.0709907!16s%2Fg%2F11fhvt9yk4!19sChIJVeR8DvWJ2TERYNd3RzKZQq0?authuser=0&hl=en&rclk=1,Wisata Alam Mangrove Pandang Tak Jemu,4.6,Open
https://www.google.com/maps/place/Kampong+Teripang/data=!4m7!3m6!1s0x31d967c1ddf00ca1:0x78de40ff38bcceb4!8m2!3d1.0280974!4d104.6451588!16s%2Fg%2F11h75nhf_4!19sChIJoQzw3cFn2TERtM68OP9A3ng?authuser=0&hl=en&rclk=1,Kampong Teripang,4.8,Open
https://www.google.com/maps/place/Benan+beach/data=!4m7!3m6!1s0x31d8fb22068786df:0x24b7e4f4cc595855!8m2!3d0.4709614!4d104.4548485!16s%2Fg%2F11gcmy25x9!19sChIJ34aHBiL72DERVVhZzPTktyQ?authuser=0&hl=en&rclk=1,Benan beach,4.5,Open now
https://www.google.com/maps/place/Pantai+Tanjung+Siambang/data=!4m7!3m6!1s0x31d90d29c4a675b7:0xcf0657965e147ede!8m2!3d0.8713219!4d104.4265757!16s%2Fg%2F11c65k6cvt!19sChIJt3WmxCkN2TER3n4UXpZXBs8?authuser=0&hl=en&rclk=1,Pantai Tanjung Siambang,4.2,Open 24 hours
https://www.google.com/maps/place/Pantai+Tanjung+Setumu/data=!4m7!3m6!1s0x31d973fd2859927f:0x93204550f631cdfd!8m2!3d0.8763977!4d104.4171212!16s%2Fg%2F11hmy7g5m_!19sChIJf5JZKP1z2TER_c0x9lBFIJM?authuser=0&hl=en&rclk=1,Pantai Tanjung Setumu,4.2,Open now
