lokasi,name,rating,status
https://www.google.com/maps/place/Puncak+Mas/data=!4m7!3m6!1s0x2e40da70fc7cc05b:0x45c75571222bbd0a!8m2!3d-5.4204737!4d105.2284425!16s%2Fg%2F11csrkl1px!19sChIJW8B8_HDaQC4RCr0rInFVx0U?authuser=0&hl=en&rclk=1,Puncak Mas,4.4,Open
https://www.google.com/maps/place/Air+Terjun+Way+Kalam/data=!4m7!3m6!1s0x2e410dbdb97d85bd:0x4d4a89444dee19a5!8m2!3d-5.7762584!4d105.6644354!16s%2Fg%2F11q3l4bj8h!19sChIJvYV9ub0NQS4RpRnuTUSJSk0?authuser=0&hl=en&rclk=1,Air Terjun Way Kalam,4.7,Open 24 hours
https://www.google.com/maps/place/Tabek+Indah+Resort/data=!4m7!3m6!1s0x2e40c560307aa2c7:0x98820e83f246f57e!8m2!3d-5.3456683!4d105.220648!16s%2Fg%2F11btxnj0mk!19sChIJx6J6MGDFQC4RfvVG8oMOgpg?authuser=0&hl=en&rclk=1,Tabek Indah Resort,4.2,Open
https://www.google.com/maps/place/Teropong+Kota+Bukit+Sindy/data=!4m7!3m6!1s0x2e40daf773b74a0b:0x2380196c89aff0ae!8m2!3d-5.404551!4d105.2533784!16s%2Fg%2F11fy4prth1!19sChIJC0q3c_faQC4RrvCviWwZgCM?authuser=0&hl=en&rclk=1,Teropong Kota Bukit Sindy,4.2,Open 24 hours
https://www.google.com/maps/place/WISATA+VILLA+GARDENIA+LAMPUNG/data=!4m7!3m6!1s0x2e40d9b39779ba43:0x730d8f8b361a860a!8m2!3d-5.4858337!4d105.2498891!16s%2Fg%2F11dxs9gwl0!19sChIJQ7p5l7PZQC4RCoYaNouPDXM?authuser=0&hl=en&rclk=1,WISATA VILLA GARDENIA LAMPUNG,4.3,Open 24 hours
https://www.google.com/maps/place/Lengkung+Langit+2/data=!4m7!3m6!1s0x2e40d1b7afbf448f:0xbf73a51cceb1a05e!8m2!3d-5.4178495!4d105.1866787!16s%2Fg%2F11p00pcw8l!19sChIJj0S_r7fRQC4RXqCxzhylc78?authuser=0&hl=en&rclk=1,Lengkung Langit 2,4.5,Open
https://www.google.com/maps/place/Batu+Putu+Waterfall/data=!4m7!3m6!1s0x2e40da0accb33aad:0x7446a5f36e66317f!8m2!3d-5.4272834!4d105.2182887!16s%2Fg%2F11c5_5mh_2!19sChIJrTqzzAraQC4RfzFmbvOlRnQ?authuser=0&hl=en&rclk=1,Batu Putu Waterfall,4.1,Open 24 hours
https://www.google.com/maps/place/Monkey+Forest+Tourism+Park/data=!4m7!3m6!1s0x2e40da34a5024c39:0x45cc1c7913132f5f!8m2!3d-5.4322903!4d105.269483!16s%2Fg%2F11b6hypptz!19sChIJOUwCpTTaQC4RXy8TE3kczEU?authuser=0&hl=en&rclk=1,Monkey Forest Tourism Park,4.4,Open 24 hours
https://www.google.com/maps/place/pinang+jaya+sky+view/data=!4m7!3m6!1s0x2e40d11d6050dbb5:0xb14f4254336c7334!8m2!3d-5.3997051!4d105.1912101!16s%2Fg%2F11m28vbb8g!19sChIJtdtQYB3RQC4RNHNsM1RCT7E?authuser=0&hl=en&rclk=1,pinang jaya sky view,4.3,Open
https://www.google.com/maps/place/Lake+Tirta+Gangga/data=!4m7!3m6!1s0x2e3f63e970d5961b:0x85f0d073858b1e89!8m2!3d-4.8075133!4d105.521209!16s%2Fg%2F1hm29khr4!19sChIJG5bVcOljPy4RiR6LhXPQ8IU?authuser=0&hl=en&rclk=1,Lake Tirta Gangga,4.3,
https://www.google.com/maps/place/Tirtayasa+Summit/data=!4m7!3m6!1s0x2e40d9b5530237eb:0x652fad703dbcdd18!8m2!3d-5.4881391!4d105.2440154!16s%2Fg%2F11c450nx24!19sChIJ6zcCU7XZQC4RGN28PXCtL2U?authuser=0&hl=en&rclk=1,Tirtayasa Summit,4.4,Open
https://www.google.com/maps/place/Water+Park+Lembah+Hijau/data=!4m7!3m6!1s0x2e40da64c0c06563:0x12ef060305857943!8m2!3d-5.414489!4d105.2323626!16s%2Fg%2F11cjh_tsly!19sChIJY2XAwGTaQC4RQ3mFBQMG7xI?authuser=0&hl=en&rclk=1,Water Park Lembah Hijau,4.2,Open
https://www.google.com/maps/place/Pahawang+Lampung+attractions/data=!4m7!3m6!1s0x2e41254066994339:0x50e764509f602269!8m2!3d-5.6742298!4d105.2417888!16s%2Fg%2F11c614p48m!19sChIJOUOZZkAlQS4RaSJgn1Bk51A?authuser=0&hl=en&rclk=1,Pahawang Lampung attractions,4.6,Open 24 hours
https://www.google.com/maps/place/Lembah+Hijau/data=!4m7!3m6!1s0x2e40db6d4df733a9:0xeaef0ced763a7763!8m2!3d-5.4157651!4d105.2307269!16s%2Fg%2F11bwn44wyr!19sChIJqTP3TW3bQC4RY3c6du0M7-o?authuser=0&hl=en&rclk=1,Lembah Hijau,4.3,Open
https://www.google.com/maps/place/Tebing+Vietnam/data=!4m7!3m6!1s0x2e40d192e7fa4f5f:0xfb7515beb07e5bfe!8m2!3d-5.4157712!4d105.1931744!16s%2Fg%2F11lm4580k0!19sChIJX0_655LRQC4R_lt-sL4Vdfs?authuser=0&hl=en&rclk=1,Tebing Vietnam,4.5,Open
https://www.google.com/maps/place/Taman+Wisata+Alam+%26+Cottage+Wira+Garden/data=!4m7!3m6!1s0x2e40da0fb5ac41e3:0xdb5903ed6541a18f!8m2!3d-5.436229!4d105.229553!16s%2Fg%2F11bv35cpbc!19sChIJ40GstQ_aQC4Rj6FBZe0DWds?authuser=0&hl=en&rclk=1,Taman Wisata Alam & Cottage Wira Garden,4.5,
