lokasi,name,rating,status
https://www.google.com/maps/place/Natsepa+Beach/data=!4m7!3m6!1s0x2d6cece6e8bfa427:0x4f23bfbc3a9673f2!8m2!3d-3.6215465!4d128.2921198!16s%2Fg%2F11cjj0hyrf!19sChIJJ6S_6ObsbC0R8nOWOry_I08?authuser=0&hl=en&rclk=1,Natsepa Beach,4.4,
https://www.google.com/maps/place/Ngurbloat+Beach/data=!4m7!3m6!1s0x2d30042fc9123f8f:0xd3a4a88054e326f!8m2!3d-5.6624981!4d132.6362396!16s%2Fg%2F11b86hyzjt!19sChIJjz8SyS8EMC0RbzJOBYhKOg0?authuser=0&hl=en&rclk=1,Ngurbloat Beach,4.7,Open 24 hours
https://www.google.com/maps/place/Pantai+Ora/data=!4m7!3m6!1s0x2d6a3aaaaaaaaaab:0xf8e9bb942190466b!8m2!3d-2.9598946!4d129.1392275!16s%2Fg%2F11bwymkb38!19sChIJq6qqqqo6ai0Ra0aQIZS76fg?authuser=0&hl=en&rclk=1,Pantai Ora,4.7,
https://www.google.com/maps/place/Pantai+Liang/data=!4m7!3m6!1s0x2d6c8b4d049b04b7:0x34b7df42fb67f814!8m2!3d-3.5049264!4d128.3428253!16s%2Fg%2F11hb2pqnn9!19sChIJtwSbBE2LbC0RFPhn-0LftzQ?authuser=0&hl=en&rclk=1,Pantai Liang,4.5,
https://www.google.com/maps/place/Cagar+Budaya+van+VOC+Fort+Benteng+Amsterdam/data=!4m7!3m6!1s0x2d6cfad4c6874ac7:0xb2ee545928ea5c55!8m2!3d-3.5828682!4d128.0831395!16s%2Fm%2F0wyjt8d!19sChIJx0qHxtT6bC0RVVzqKFlU7rI?authuser=0&hl=en&rclk=1,Cagar Budaya van VOC Fort Benteng Amsterdam,4.5,Open
https://www.google.com/maps/place/Lubang+Buaya+Morella/data=!4m7!3m6!1s0x2d6cf6ae7693ae9f:0x201c7423df81cfcc!8m2!3d-3.5183437!4d128.2236557!16s%2Fg%2F11c45sxdpv!19sChIJn66Tdq72bC0RzM-B3yN0HCA?authuser=0&hl=en&rclk=1,Lubang Buaya Morella,4.6,Open 24 hours
https://www.google.com/maps/place/Air+Panas+Tulehu/data=!4m7!3m6!1s0x2d6ced51d3a82f9d:0x5f4e01bca0cc1e18!8m2!3d-3.5930289!4d128.3086536!16s%2Fg%2F11cnbtyj6f!19sChIJnS-o01HtbC0RGB7MoLwBTl8?authuser=0&hl=en&rclk=1,Air Panas Tulehu,4.3,Closes soon
https://www.google.com/maps/place/Lawena+Beach/data=!4m7!3m6!1s0x2d6ceadc8f9ed777:0x95f8e32984c6409d!8m2!3d-3.6875444!4d128.299919!16s%2Fg%2F11c1tln1tb!19sChIJd9eej9zqbC0RnUDGhCnj-JU?authuser=0&hl=en&rclk=1,Lawena Beach,4.4,Open now
https://www.google.com/maps/place/Pantai+Ngursarnadan/data=!4m7!3m6!1s0x2d3005caffffffff:0x49a73bc02874ec18!8m2!3d-5.6482841!4d132.638182!16s%2Fg%2F11dfj2w244!19sChIJ_____8oFMC0RGOx0KMA7p0k?authuser=0&hl=en&rclk=1,Pantai Ngursarnadan,4.5,Open 24 hours
https://www.google.com/maps/place/Wisata+Coral+Beach+Liang+Payer/data=!4m7!3m6!1s0x2d6ceb5df5da52e5:0xd0129a73488fb824!8m2!3d-3.6669692!4d128.2956736!16s%2Fg%2F11mvs2rpjt!19sChIJ5VLa9V3rbC0RJLiPSHOaEtA?authuser=0&hl=en&rclk=1,Wisata Coral Beach Liang Payer,4.6,Open
