lokasi,name,rating,status
https://www.google.com/maps/place/Taman+Nukila/data=!4m7!3m6!1s0x329cb1509a9130a5:0x9c4145e50723efa8!8m2!3d0.7874627!4d127.3899611!16s%2Fg%2F11bc70_lhn!19sChIJpTCRmlCxnDIRqO8jB-VFQZw?authuser=0&hl=en&rclk=1,Taman Nukila,4.4,Open 24 hours
https://www.google.com/maps/place/Pantai+Kastela/data=!4m7!3m6!1s0x329cb4c4c0c81df9:0xe7da7a8da3018a23!8m2!3d0.7601097!4d127.3110314!16s%2Fg%2F11cn57dr8y!19sChIJ-R3IwMS0nDIRI4oBo4162uc?authuser=0&hl=en&rclk=1,Pantai Kastela,4.2,Open 24 hours
"https://www.google.com/maps/place/Pantai+Jikomalamo+-+Kota+Ternate,+Maluku+Utara/data=!4m7!3m6!1s0x329cad17688b1b01:0x3ab3165d5be4f865!8m2!3d0.8630399!4d127.319987!16s%2Fg%2F11bzy77bw3!19sChIJARuLaBetnDIRZfjkW10Wszo?authuser=0&hl=en&rclk=1","Pantai Jikomalamo - Kota Ternate, Maluku Utara",4.6,Open 24 hours
https://www.google.com/maps/place/Benteng+Portugis+Tolukko/data=!4m7!3m6!1s0x329cb183e224aec5:0x6f64a496870d0188!8m2!3d0.813836!4d127.3881708!16s%2Fm%2F0g9ymwh!19sChIJxa4k4oOxnDIRiAENh5akZG8?authuser=0&hl=en&rclk=1,Benteng Portugis Tolukko,4.5,Closes soon
https://www.google.com/maps/place/Batu+Angus/data=!4m7!3m6!1s0x329cad99b9ba04cb:0xc07086c0152a202f!8m2!3d0.8464784!4d127.3654112!16s%2Fg%2F11b_0297r8!19sChIJywS6uZmtnDIRLyAqFcCGcMA?authuser=0&hl=en&rclk=1,Batu Angus,4.5,Open 24 hours
https://www.google.com/maps/place/Wisata+Air+Panas+Mamuya/data=!4m7!3m6!1s0x329a88d17c6c0b2f:0xa15b55cc3aec3470!8m2!3d1.7923298!4d127.8993703!16s%2Fg%2F11g8w9p1f1!19sChIJLwtsfNGImjIRcDTsOsxVW6E?authuser=0&hl=en&rclk=1,Wisata Air Panas Mamuya,4.4,Open 24 hours
https://www.google.com/maps/place/Pantai+Pulau+Kakara/data=!4m7!3m6!1s0x329a616f5f3328b5:0x9dea8fa069cdf2d5!8m2!3d1.7439186!4d128.0356976!16s%2Fg%2F11f04ddhzs!19sChIJtSgzX29hmjIR1fLNaaCP6p0?authuser=0&hl=en&rclk=1,Pantai Pulau Kakara,4.3,
https://www.google.com/maps/place/Pantai+Tobololo/data=!4m7!3m6!1s0x329cadd435dd8fa9:0xfc3175aa15e8cb10!8m2!3d0.8541953!4d127.3525276!16s%2Fg%2F11g0khw0fy!19sChIJqY_dNdStnDIREMvoFap1Mfw?authuser=0&hl=en&rclk=1,Pantai Tobololo,4.5,Open 24 hours
https://www.google.com/maps/place/Geowisata+Batu+Angus/data=!4m7!3m6!1s0x329cad38dcf7f1c9:0xda8876a42c67af63!8m2!3d0.845291!4d127.3645834!16s%2Fg%2F11r109_w6v!19sChIJyfH33DitnDIRY69nLKR2iNo?authuser=0&hl=en&rclk=1,Geowisata Batu Angus,4.8,
https://www.google.com/maps/place/Danau+Tolire+Besar/data=!4m7!3m6!1s0x329cb2af83ecdded:0x7278faafda7c4a33!8m2!3d0.8361829!4d127.3075231!16s%2Fg%2F120jqvkx!19sChIJ7d3sg6-ynDIRM0p82q_6eHI?authuser=0&hl=en&rclk=1,Danau Tolire Besar,4.7,
https://www.google.com/maps/place/Pantai+Falajawa/data=!4m7!3m6!1s0x329cb1f848fdaff1:0x3827a866405f08bb!8m2!3d0.7839296!4d127.3886636!16s%2Fg%2F11jdwq_mhj!19sChIJ8a_9SPixnDIRuwhfQGaoJzg?authuser=0&hl=en&rclk=1,Pantai Falajawa,4.6,Open 24 hours
https://www.google.com/maps/place/Kalamata+Fortress/data=!4m7!3m6!1s0x329cb423414e100f:0x4541debcea1259b!8m2!3d0.7622315!4d127.3730646!16s%2Fm%2F0g9zm9p!19sChIJDxBOQSO0nDIRmyWhzusdVAQ?authuser=0&hl=en&rclk=1,Kalamata Fortress,4.5,Open
https://www.google.com/maps/place/Wisata+Pantai+Lapasi/data=!4m7!3m6!1s0x329b4ff4a7002ee1:0xcbc7a4b3b0f7a1b0!8m2!3d1.1426036!4d127.4318864!16s%2Fg%2F11f5_jbx9f!19sChIJ4S4Ap_RPmzIRsKH3sLOkx8s?authuser=0&hl=en&rclk=1,Wisata Pantai Lapasi,4.5,Open 24 hours
https://www.google.com/maps/place/Ternate+Landmark/data=!4m7!3m6!1s0x329cb15125214d1d:0xa0ea4c9f6edffae0!8m2!3d0.7855803!4d127.3890727!16s%2Fg%2F11csrdyklr!19sChIJHU0hJVGxnDIR4Prfbp9M6qA?authuser=0&hl=en&rclk=1,Ternate Landmark,4.6,Open 24 hours
https://www.google.com/maps/place/Pulau+Guraici/data=!4m7!3m6!1s0x2d7d55b48baf4d15:0x84af62e177b7de2!8m2!3d-0.027815!4d127.2372097!16s%2Fg%2F11css7kkg1!19sChIJFU2vi7RVfS0R4n17Fy72Sgg?authuser=0&hl=en&rclk=1,Pulau Guraici,4.6,Open 24 hours
https://www.google.com/maps/place/Pantai+Tabanga/data=!4m7!3m6!1s0x329cada7a1ab3185:0x20768b3db75fc280!8m2!3d0.8579972!4d127.3467739!16s%2Fg%2F11c1q9jq54!19sChIJhTGroaetnDIRgMJftz2LdiA?authuser=0&hl=en&rclk=1,Pantai Tabanga,4.3,Open 24 hours
https://www.google.com/maps/place/Tanjung+Rappa+Pelangi/data=!4m7!3m6!1s0x329b50f381d37b3f:0xf03624d261c81e4!8m2!3d1.0501947!4d127.4441042!16s%2Fg%2F11f345c46g!19sChIJP3vTgfNQmzIR5IEcJk1iAw8?authuser=0&hl=en&rclk=1,Tanjung Rappa Pelangi,4.6,Open 24 hours
https://www.google.com/maps/place/Pantai+Bobane+Ici/data=!4m7!3m6!1s0x32834cb452d4d479:0x99593d4f1e033475!8m2!3d0.7946105!4d127.2940172!16s%2Fg%2F11c60gdh7w!19sChIJedTUUrRMgzIRdTQDHk89WZk?authuser=0&hl=en&rclk=1,Pantai Bobane Ici,4.2,Open 24 hours
https://www.google.com/maps/place/BEACH+LUARI+Tobelo+%28Luari+Beach%29/data=!4m7!3m6!1s0x328f98762319cfc5:0xb89bc4963e558ab!8m2!3d1.8068854!4d127.9304953!16s%2Fg%2F12hqnk_gl!19sChIJxc8ZI3aYjzIRq1jlY0m8iQs?authuser=0&hl=en&rclk=1,BEACH LUARI Tobelo (Luari Beach),4.4,Open 24 hours
https://www.google.com/maps/place/Danau+Ngade/data=!4m7!3m6!1s0x329cb45c5e3089af:0x86f3a5594c5cbd4d!8m2!3d0.7632249!4d127.3478967!16s%2Fg%2F1pty2pncb!19sChIJr4kwXly0nDIRTb1cTFml84Y?authuser=0&hl=en&rclk=1,Danau Ngade,4.5,
https://www.google.com/maps/place/Pantai+Tugulufa/data=!4m7!3m6!1s0x329cc897ed3fcedd:0x820b09cb74b2cc35!8m2!3d0.6703023!4d127.4548649!16s%2Fg%2F11cn3pq0xm!19sChIJ3c4_7ZfInDIRNcyydMsJC4I?authuser=0&hl=en&rclk=1,Pantai Tugulufa,4.4,Open 24 hours
https://www.google.com/maps/place/Batu+Balubang+Gurabala/data=!4m7!3m6!1s0x329cad285db1aa75:0x800004e73c4a268a!8m2!3d0.9027419!4d127.3053898!16s%2Fg%2F11g047xytj!19sChIJdaqxXSitnDIRiiZKPOcEAIA?authuser=0&hl=en&rclk=1,Batu Balubang Gurabala,4.8,
https://www.google.com/maps/place/Museum+Kedaton+Kesultanan+Ternate/data=!4m7!3m6!1s0x329cb16240da5b65:0xbea54bb008057830!8m2!3d0.8005436!4d127.3840452!16s%2Fg%2F1pty9w48v!19sChIJZVvaQGKxnDIRMHgFCLBLpb4?authuser=0&hl=en&rclk=1,Museum Kedaton Kesultanan Ternate,4.5,Closed
https://www.google.com/maps/place/Pulau+Babua/data=!4m7!3m6!1s0x329b5726afa9ffe7:0x85d8ef3325feca6e!8m2!3d1.0127494!4d127.4662261!16s%2Fg%2F11sbrrn2lw!19sChIJ5_-pryZXmzIRbsr-JTPv2IU?authuser=0&hl=en&rclk=1,Pulau Babua,5,
https://www.google.com/maps/place/Danau+Laguna+Tangga+Seribu/data=!4m7!3m6!1s0x329cb46136b66c6f:0xef5fe7b3339b8471!8m2!3d0.7645964!4d127.3467124!16s%2Fg%2F11dxc0704s!19sChIJb2y2NmG0nDIRcYSbM7PnX-8?authuser=0&hl=en&rclk=1,Danau Laguna Tangga Seribu,4.6,
https://www.google.com/maps/place/pantai+doe+masure/data=!4m7!3m6!1s0x329cbfe688b9733f:0x5902aaaca73dfe93!8m2!3d0.7450286!4d127.56521!16s%2Fg%2F11js9tb660!19sChIJP3O5iOa_nDIRk_49p6yqAlk?authuser=0&hl=en&rclk=1,pantai doe masure,4.5,Open 24 hours
https://www.google.com/maps/place/Pasir+timbul+dekat+meti+area+Pariwisata/data=!4m7!3m6!1s0x329a596b5ec29747:0xa67ead321d593162!8m2!3d1.5930711!4d128.0586211!16s%2Fg%2F11lkgbr_zt!19sChIJR5fCXmtZmjIRYjFZHTKtfqY?authuser=0&hl=en&rclk=1,Pasir timbul dekat meti area Pariwisata,4.7,Open 24 hours
https://www.google.com/maps/place/Pantai+Air+Panas+Tawa/data=!4m7!3m6!1s0x2d631567c2e7fa4d:0x1cb85ac6adebb9b7!8m2!3d-0.6727117!4d127.6509216!16s%2Fg%2F11jnz961tl!19sChIJTfrnwmcVYy0Rt7nrrcZauBw?authuser=0&hl=en&rclk=1,Pantai Air Panas Tawa,4.6,
https://www.google.com/maps/place/Pantai+Nunuhu/data=!4m7!3m6!1s0x3290cd55fe365d47:0xf4308fef9afe0805!8m2!3d2.2948867!4d128.6478149!16s%2Fg%2F11fxw6ybmg!19sChIJR102_lXNkDIRBQj-mu-PMPQ?authuser=0&hl=en&rclk=1,Pantai Nunuhu,4.6,Open
https://www.google.com/maps/place/Air+Kaca/data=!4m7!3m6!1s0x3290a2be46b0f8bd:0x773782b116e0512d!8m2!3d2.0405274!4d128.334034!16s%2Fg%2F11fylw07j3!19sChIJvfiwRr6ikDIRLVHgFrGCN3c?authuser=0&hl=en&rclk=1,Air Kaca,4.3,Open 24 hours
