lokasi,name,rating,status
https://www.google.com/maps/place/Ulee+Lheue+Beach/data=!4m7!3m6!1s0x304030eb48882ffb:0x3ab153b2c7c6f86e!8m2!3d5.5597522!4d95.2852583!16s%2Fg%2F11b6gldcxr!19sChIJ-y-ISOswQDARbvjGx7JTsTo?authuser=0&hl=en&rclk=1,Ulee Lheue Beach,4.4,Open
https://www.google.com/maps/place/Wisata+Gua+Sarang/data=!4m7!3m6!1s0x3041ce5223385f5d:0xb2110ca87a050b85!8m2!3d5.82735!4d95.2595413!16s%2Fg%2F11cnddnd4y!19sChIJXV84I1LOQTARhQsFeqgMEbI?authuser=0&hl=en&rclk=1,Wisata Gua Sarang,4.6,Open
https://www.google.com/maps/place/Dermaga+pantai+menye/data=!4m7!3m6!1s0x3038f15d45d15693:0xed73c38f26c36337!8m2!3d4.587175!4d96.9933387!16s%2Fg%2F11n696hjst!19sChIJk1bRRV3xODARN2PDJo_Dc-0?authuser=0&hl=en&rclk=1,Dermaga pantai menye,4.7,Open now
https://www.google.com/maps/place/Wisata+Aceh+Office/data=!4m7!3m6!1s0x3040374705ae815b:0x107da8c083f347fa!8m2!3d5.5720137!4d95.3287933!16s%2Fg%2F11c48h48bm!19sChIJW4GuBUc3QDAR-kfzg8CofRA?authuser=0&hl=en&rclk=1,Wisata Aceh Office,4.6,Open 24 hours
https://www.google.com/maps/place/Pantai+Ujung+Karang/data=!4m7!3m6!1s0x303ec1610e3b2cfb:0x42d911917522f947!8m2!3d4.124597!4d96.1279608!16s%2Fg%2F11bw2fx6l_!19sChIJ-yw7DmHBPjARR_kidZER2UI?authuser=0&hl=en&rclk=1,Pantai Ujung Karang,4.3,Open 24 hours
https://www.google.com/maps/place/Pucok+Krueng/data=!4m7!3m6!1s0x30403b30262e1d2b:0xec0c5bd841324aa1!8m2!3d5.4605987!4d95.2615318!16s%2Fg%2F11fl0sr0ng!19sChIJKx0uJjA7QDARoUoyQdhbDOw?authuser=0&hl=en&rclk=1,Pucok Krueng,4.5,Open
https://www.google.com/maps/place/Pantan+Terong/data=!4m7!3m6!1s0x3038eba40c3b1603:0x94bbaa3d897d5ba!8m2!3d4.64734!4d96.80786!16s%2Fg%2F12215rgx!19sChIJAxY7DKTrODARutWX2KO6Swk?authuser=0&hl=en&rclk=1,Pantan Terong,4.5,Open
https://www.google.com/maps/place/Air+Terjun+Tansaran+Bidin/data=!4m7!3m6!1s0x30388d1a79454761:0xa5079730d9f7ef77!8m2!3d4.7199113!4d96.9537479!16s%2Fg%2F11bzs401tc!19sChIJYUdFeRqNODARd-_32TCXB6U?authuser=0&hl=en&rclk=1,Air Terjun Tansaran Bidin,4.5,
https://www.google.com/maps/place/Wisata+Air+terjun+suhom/data=!4m7!3m6!1s0x304011e9ddf26095:0x3fcda621f6258b8f!8m2!3d5.2856426!4d95.2602065!16s%2Fg%2F11ftcnrzy7!19sChIJlWDy3ekRQDARj4sl9iGmzT8?authuser=0&hl=en&rclk=1,Wisata Air terjun suhom,4.1,Open
https://www.google.com/maps/place/Rumoh+Cut+Nyak+Dhien/data=!4m7!3m6!1s0x30403a5e2ffc6cdf:0x7826049ddb165f1!8m2!3d5.5168026!4d95.271683!16s%2Fg%2F11fctqvt1g!19sChIJ32z8L146QDAR8WWx3Ulgggc?authuser=0&hl=en&rclk=1,Rumoh Cut Nyak Dhien,4.6,Open
https://www.google.com/maps/place/Air+Terjun+Kuta+Malaka/data=!4m7!3m6!1s0x30403f6400000001:0x7ca531f148987160!8m2!3d5.3910936!4d95.3665239!16s%2Fg%2F11bw3cc9z2!19sChIJAQAAAGQ_QDARYHGYSPExpXw?authuser=0&hl=en&rclk=1,Air Terjun Kuta Malaka,4.4,Open
https://www.google.com/maps/place/Museum+Tsunami+Aceh/data=!4m7!3m6!1s0x30403752049cfb9d:0x5e2203a9f54643f9!8m2!3d5.5477129!4d95.3151901!16s%2Fm%2F09v0wnn!19sChIJnfucBFI3QDAR-UNG9akDIl4?authuser=0&hl=en&rclk=1,Museum Tsunami Aceh,4.6,Closes soon
https://www.google.com/maps/place/Pantai+Ujong+Batee/data=!4m7!3m6!1s0x30404a437a440af3:0x5829939eedd35c8f!8m2!3d5.6499521!4d95.4195857!16s%2Fg%2F11f2lgksly!19sChIJ8wpEekNKQDARj1zT7Z6TKVg?authuser=0&hl=en&rclk=1,Pantai Ujong Batee,4.1,Open 24 hours
