lokasi,name,rating,status
https://www.google.com/maps/place/Bukit+Merese/data=!4m7!3m6!1s0x2dcdb3a83b5a599f:0xf8cf6a8d2d088cc!8m2!3d-8.9139299!4d116.3190063!16s%2Fg%2F11c1p92mc8!19sChIJn1laO6izzS0RzIjQ0qj2jA8?authuser=0&hl=en&rclk=1,Bukit Merese,4.7,Open
https://www.google.com/maps/place/Wisata+Desa+sedau/data=!4m7!3m6!1s0x2dcdc82698f2d357:0xf324b9d2f3c30319!8m2!3d-8.5744707!4d116.2636575!16s%2Fg%2F11dxb30hff!19sChIJV9PymCbIzS0RGQPD89K5JPM?authuser=0&hl=en&rclk=1,Wisata Desa sedau,4.4,
https://www.google.com/maps/place/Bunut+Ngengkang+Attraction/data=!4m7!3m6!1s0x2dcdb9a1974ecbc3:0x6ffde1e479f14570!8m2!3d-8.5336071!4d116.2449695!16s%2Fg%2F11qrvw5thp!19sChIJw8tOl6G5zS0RcEXxeeTh_W8?authuser=0&hl=en&rclk=1,Bunut Ngengkang Attraction,4.4,Open
https://www.google.com/maps/place/Wisata+Alam+Aiknyet/data=!4m7!3m6!1s0x2dcdc98613350d7b:0xb34948c6e7dd2f72!8m2!3d-8.5336096!4d116.2391481!16s%2Fg%2F11c2n9znh3!19sChIJew01E4bJzS0Rci_d58ZISbM?authuser=0&hl=en&rclk=1,Wisata Alam Aiknyet,4.4,Open
https://www.google.com/maps/place/Wisata+gunung+Aur/data=!4m7!3m6!1s0x2dcdc90f4665f15d:0x6572f0f66be850d5!8m2!3d-8.5738171!4d116.2639666!16s%2Fg%2F11pzf33vhm!19sChIJXfFlRg_JzS0R1VDoa_bwcmU?authuser=0&hl=en&rclk=1,Wisata gunung Aur,4.4,
https://www.google.com/maps/place/Objek+Wisata+Batu+Bolong/data=!4m7!3m6!1s0x2dcdc369cfc2901f:0x4a775c0972b91485!8m2!3d-8.5090819!4d116.0569327!16s%2Fg%2F11r9nxdpx7!19sChIJH5DCz2nDzS0RhRS5cglcd0o?authuser=0&hl=en&rclk=1,Objek Wisata Batu Bolong,4.6,Open 24 hours
https://www.google.com/maps/place/Wisata+Alam+Goa+Lawah+Lebah+Sempage/data=!4m7!3m6!1s0x2dcdc9fa7aff728f:0x41cb40005bf4bcd6!8m2!3d-8.5397503!4d116.2766619!16s%2Fg%2F11tspndhhj!19sChIJj3L_evrJzS0R1rz0WwBAy0E?authuser=0&hl=en&rclk=1,Wisata Alam Goa Lawah Lebah Sempage,4.8,Open 24 hours
https://www.google.com/maps/place/Wisata+Bawak+Are+Sesaot/data=!4m7!3m6!1s0x2dcdc9527ccaf4b5:0xf86410455f95c3da!8m2!3d-8.5422602!4d116.2424007!16s%2Fg%2F11tdb4qzdk!19sChIJtfTKfFLJzS0R2sOVX0UQZPg?authuser=0&hl=en&rclk=1,Wisata Bawak Are Sesaot,4.9,Open
https://www.google.com/maps/place/Wisata+Alam+Desa+Sesaot/data=!4m7!3m6!1s0x2dcdc9095a0afa7b:0x64efe122246b27b9!8m2!3d-8.5400401!4d116.2441693!16s%2Fg%2F11pf80256f!19sChIJe_oKWgnJzS0RuSdrJCLh72Q?authuser=0&hl=en&rclk=1,Wisata Alam Desa Sesaot,4.4,Open
https://www.google.com/maps/place/Desa+Wisata+Nostalgia+Bonjeruk/data=!4m7!3m6!1s0x2dcdb9c9c6b2ea45:0xeb7d6d39aee1ffe2!8m2!3d-8.6473054!4d116.219784!16s%2Fg%2F11h6d5bntg!19sChIJReqyxsm5zS0R4v_hrjltfes?authuser=0&hl=en&rclk=1,Desa Wisata Nostalgia Bonjeruk,4.5,Open
https://www.google.com/maps/place/Tibu+Atas+Waterfall/data=!4m7!3m6!1s0x2dcdc7d59b151fe5:0x2333b16276d7696c!8m2!3d-8.5404619!4d116.2296197!16s%2Fg%2F11f1kj5t7h!19sChIJ5R8Vm9XHzS0RbGnXdmKxMyM?authuser=0&hl=en&rclk=1,Tibu Atas Waterfall,4.3,Open now
https://www.google.com/maps/place/West+Nusa+Tenggara/data=!4m7!3m6!1s0x2db80d941a12ed21:0x6967c2ccd0f775c5!8m2!3d-8.6529334!4d117.3616476!16zL20vMDJiZG42!19sChIJIe0SGpQNuC0RxXX30MzCZ2k?authuser=0&hl=en&rclk=1,West Nusa Tenggara,,
https://www.google.com/maps/place/DWH+%28Tourism+Village+Green%29+BILEBANTE/data=!4m7!3m6!1s0x2dcdb853542c874f:0x66b9f7a3d176f784!8m2!3d-8.6202923!4d116.1866819!16s%2Fg%2F11c2pdnp29!19sChIJT4csVFO4zS0RhPd20aP3uWY?authuser=0&hl=en&rclk=1,DWH (Tourism Village Green) BILEBANTE,4.8,Open
https://www.google.com/maps/place/Pantai+Kuranji/data=!4m7!3m6!1s0x2dcdbe4ea19f387d:0xe3954da95565fd32!8m2!3d-8.6338112!4d116.0723832!16s%2Fg%2F11bwncnw9y!19sChIJfTifoU6-zS0RMv1lValNleM?authuser=0&hl=en&rclk=1,Pantai Kuranji,4.2,Open 24 hours
https://www.google.com/maps/place/Taman+Mekarsari+Narmada/data=!4m7!3m6!1s0x2dcdb9cd5a471e81:0x5c6bef736bbcd849!8m2!3d-8.6042387!4d116.1714874!16s%2Fg%2F11p4__2kyd!19sChIJgR5HWs25zS0RSdi8a3Pva1w?authuser=0&hl=en&rclk=1,Taman Mekarsari Narmada,4.4,Open
