lokasi,name,rating,status
https://www.google.com/maps/place/Batu+Termanu/data=!4m7!3m6!1s0x2c56d33b505839d7:0x6f48315944dabb10!8m2!3d-10.6741859!4d123.0952443!16s%2Fg%2F11c1sjglxl!19sChIJ1zlYUDvTViwRELvaRFkxSG8?authuser=0&hl=en&rclk=1,Batu Termanu,4.7,
https://www.google.com/maps/place/Nemberala+Beach/data=!4m7!3m6!1s0x2c50d958ff439ebb:0xfd64cfbb565d9f6c!8m2!3d-10.889968!4d122.8226098!16s%2Fg%2F11dxkz54pf!19sChIJu55D_1jZUCwRbJ9dVrvPZP0?authuser=0&hl=en&rclk=1,Nemberala Beach,4.7,Open 24 hours
https://www.google.com/maps/place/Waerebo+Village/data=!4m7!3m6!1s0x2db36459b2e80e9d:0xce74c6b87dcb8a88!8m2!3d-8.7691132!4d120.2841863!16s%2Fg%2F11b6bn90h1!19sChIJnQ7osllksy0RiIrLfbjGdM4?authuser=0&hl=en&rclk=1,Waerebo Village,4.7,Open 24 hours
https://www.google.com/maps/place/Pantai+Batu+Biru+%28Blue+Stone+Beach%29/data=!4m7!3m6!1s0x2db2a259ef5b10bd:0x47c8c9d9858579fb!8m2!3d-8.8007326!4d121.493543!16s%2Fg%2F11cjj7m6jb!19sChIJvRBb71misi0R-3mFhdnJyEc?authuser=0&hl=en&rclk=1,Pantai Batu Biru (Blue Stone Beach),4.2,Open 24 hours
https://www.google.com/maps/place/Pariwisata+Wolobobo/data=!4m7!3m6!1s0x2db2df1762124651:0xf574a81fdb019a70!8m2!3d-8.8335079!4d120.9817015!16s%2Fg%2F11qg38yg41!19sChIJUUYSYhffsi0RcJoB2x-odPU?authuser=0&hl=en&rclk=1,Pariwisata Wolobobo,4.6,Open 24 hours
https://www.google.com/maps/place/17+Islands+National+Park/data=!4m7!3m6!1s0x2db250ee0c983711:0xd14b952d02a202b4!8m2!3d-8.4039191!4d121.0336602!16s%2Fg%2F11ddzc99s1!19sChIJETeYDO5Qsi0RtAKiAi2VS9E?authuser=0&hl=en&rclk=1,17 Islands National Park,4.5,Open 24 hours
https://www.google.com/maps/place/Mulut+Seribu+Beach/data=!4m7!3m6!1s0x2c56c3b2f25a88ab:0xc86bde0fcdea7690!8m2!3d-10.5616941!4d123.3725646!16s%2Fg%2F11hzxy_vv5!19sChIJq4ha8rLDViwRkHbqzQ_ea8g?authuser=0&hl=en&rclk=1,Mulut Seribu Beach,4.7,Open 24 hours
https://www.google.com/maps/place/Pero+Beach/data=!4m7!3m6!1s0x2c4abe45d1c3292d:0xa44174accca7ddfa!8m2!3d-9.6073407!4d118.9853512!16s%2Fg%2F11bz_03g4k!19sChIJLSnD0UW-SiwR-t2nzKx0QaQ?authuser=0&hl=en&rclk=1,Pero Beach,4.4,Open 24 hours
https://www.google.com/maps/place/Air+Terjun+Ogi/data=!4m7!3m6!1s0x2db2e6d1ccba3633:0x2453888f8658185d!8m2!3d-8.7737668!4d121.0097148!16s%2Fg%2F11c1p62l8_!19sChIJMza6zNHmsi0RXRhYho-IUyQ?authuser=0&hl=en&rclk=1,Air Terjun Ogi,4.3,Open now
https://www.google.com/maps/place/Pantai+Marosi/data=!4m7!3m6!1s0x2c4afb52b3c26383:0xb6ae3800272803d!8m2!3d-9.7621423!4d119.3144131!16s%2Fg%2F11cmd3195d!19sChIJg2PCs1L7SiwRPYByAoDjags?authuser=0&hl=en&rclk=1,Pantai Marosi,4.6,Open 24 hours
