lokasi,name,rating,status
https://www.google.com/maps/place/Base-G+Beach/data=!4m7!3m6!1s0x686c5767b0a792af:0x9c239c300165aea7!8m2!3d-2.5174272!4d140.7397204!16s%2Fg%2F11c529m7h5!19sChIJr5KnsGdXbGgRp65lATCcI5w?authuser=0&hl=en&rclk=1,Base-G Beach,4.3,
https://www.google.com/maps/place/Bukit+Jokowi/data=!4m7!3m6!1s0x686c5f521fe15d1f:0xe01ceb7efca2b87f!8m2!3d-2.5884097!4d140.6885197!16s%2Fg%2F11fylkf9rw!19sChIJH13hH1JfbGgRf7ii_H7rHOA?authuser=0&hl=en&rclk=1,Bukit Jokowi,4.4,Open
https://www.google.com/maps/place/Tungku+Wiri+Hill/data=!4m7!3m6!1s0x686cee9e92a0327d:0x1367a9910c865b39!8m2!3d-2.5724761!4d140.4557526!16s%2Fg%2F11c30x6vww!19sChIJfTKgkp7ubGgROVuGDJGpZxM?authuser=0&hl=en&rclk=1,Tungku Wiri Hill,4.5,Open 24 hours
https://www.google.com/maps/place/Karmon+Waterfall/data=!4m7!3m6!1s0x68015ebc87d48d73:0x7c2d07e2965fe475!8m2!3d-0.817699!4d135.9776286!16s%2Fg%2F11g87f16jk!19sChIJc43Uh7xeAWgRdeRfluIHLXw?authuser=0&hl=en&rclk=1,Karmon Waterfall,4.5,Open 24 hours
https://www.google.com/maps/place/Pasir+Putih+Wamena/data=!4m7!3m6!1s0x683e1384f35935b9:0xb7451fcd39daf555!8m2!3d-4.0371623!4d138.9511044!16s%2Fg%2F11qst9qyvs!19sChIJuTVZ84QTPmgRVfXaOc0fRbc?authuser=0&hl=en&rclk=1,Pasir Putih Wamena,4.6,Open 24 hours
https://www.google.com/maps/place/Wafsarak+Waterfall/data=!4m7!3m6!1s0x68015d9f553fd03b:0xc15d641efe3666a8!8m2!3d-0.7914851!4d135.9229049!16s%2Fg%2F11f0_dhg60!19sChIJO9A_VZ9dAWgRqGY2_h5kXcE?authuser=0&hl=en&rclk=1,Wafsarak Waterfall,4.5,Open 24 hours
https://www.google.com/maps/place/Niagara+Bihewa/data=!4m7!3m6!1s0x681f1125ec971443:0x5e777625a5d78ab9!8m2!3d-3.3094726!4d135.8176352!16s%2Fg%2F11c2p2cx7q!19sChIJQxSX7CURH2gRuYrXpSV2d14?authuser=0&hl=en&rclk=1,Niagara Bihewa,4.5,Open
https://www.google.com/maps/place/Danau+Emfote/data=!4m7!3m6!1s0x686c8d16ab4bbdb5:0x82f9bba1f39708a6!8m2!3d-2.6608739!4d140.5396897!16s%2Fg%2F11bw7v5sgz!19sChIJtb1LqxaNbGgRpgiX86G7-YI?authuser=0&hl=en&rclk=1,Danau Emfote,4.3,Open 24 hours
https://www.google.com/maps/place/Bukit+Bhulem+Mokho/data=!4m7!3m6!1s0x686cf365f17a59a5:0xa3edddcb65415bd3!8m2!3d-2.6071277!4d140.5321392!16s%2Fg%2F11s926mqx0!19sChIJpVl68WXzbGgR01tBZcvd7aM?authuser=0&hl=en&rclk=1,Bukit Bhulem Mokho,4.7,Open now
https://www.google.com/maps/place/Tanjung+Cinta+Doyo+Lama/data=!4m7!3m6!1s0x686cef7431fe0955:0xef8e8d7a010f6e07!8m2!3d-2.5697973!4d140.4430611!16s%2Fg%2F11p46w1gdn!19sChIJVQn-MXTvbGgRB24PAXqNju8?authuser=0&hl=en&rclk=1,Tanjung Cinta Doyo Lama,4.5,Closed
https://www.google.com/maps/place/Bukit+Yotoro/data=!4m7!3m6!1s0x686ced3015370649:0xd241cc92b951289!8m2!3d-2.5949067!4d140.4408184!16s%2Fg%2F11n0rfvpsc!19sChIJSQY3FTDtbGgRiRKVK8kcJA0?authuser=0&hl=en&rclk=1,Bukit Yotoro,4.5,Closed
https://www.google.com/maps/place/Wisata+Snudi+Paradise/data=!4m7!3m6!1s0x6803932222874ced:0x15e3a9f68c198be2!8m2!3d-1.1416076!4d136.0001559!16s%2Fg%2F11j1hgmz4x!19sChIJ7UyHIiKTA2gR4osZjPap4xU?authuser=0&hl=en&rclk=1,Wisata Snudi Paradise,4.6,Open now
https://www.google.com/maps/place/Wasur+National+Park/data=!4m7!3m6!1s0x69b4e631290c67f1:0xb755331f65faa39!8m2!3d-8.6006357!4d140.8336815!16s%2Fm%2F09gjc00!19sChIJ8WcMKTHmtGkROapf9jFTdQs?authuser=0&hl=en&rclk=1,Wasur National Park,4.2,
https://www.google.com/maps/place/Kali+Biru+1/data=!4m7!3m6!1s0x686ccf0c1e14889b:0x2ca28c2f4f59a2fb!8m2!3d-2.5142545!4d140.1455112!16s%2Fg%2F11tfndzb4k!19sChIJm4gUHgzPbGgR-6JZTy-Moiw?authuser=0&hl=en&rclk=1,Kali Biru 1,4.4,Open now
https://www.google.com/maps/place/Pantai+kekwa/data=!4m7!3m6!1s0x68240d94a1eb149f:0xdd8dfaa82a772fd!8m2!3d-4.7476139!4d136.4996073!16s%2Fg%2F11lgygnfv3!19sChIJnxTroZQNJGgR_XKngqrf2A0?authuser=0&hl=en&rclk=1,Pantai kekwa,4.6,Open 24 hours
https://www.google.com/maps/place/Bhanjibey/data=!4m7!3m6!1s0x686cf28bab79223d:0x7bb224b77a5f8821!8m2!3d-2.6115544!4d140.5316122!16s%2Fg%2F11f04cdw77!19sChIJPSJ5q4vybGgRIYhfercksns?authuser=0&hl=en&rclk=1,Bhanjibey,4.7,Open 24 hours
https://www.google.com/maps/place/Wisata+Baliem+Waga+Waga/data=!4m7!3m6!1s0x6823757e854def09:0x370ce9b5092ea364!8m2!3d-4.4503312!4d136.8363792!16s%2Fg%2F11nnvk913n!19sChIJCe9NhX51I2gRZKMuCbXpDDc?authuser=0&hl=en&rclk=1,Wisata Baliem Waga Waga,4.5,Open
https://www.google.com/maps/place/Lorentz+National+Park/data=!4m7!3m6!1s0x683ada72cad8bf5b:0xe5acb2b81cad387f!8m2!3d-4.6297633!4d137.9726829!16zL20vMDJ4MW14!19sChIJW7_YynLaOmgRfzitHLiyrOU?authuser=0&hl=en&rclk=1,Lorentz National Park,4.4,
https://www.google.com/maps/place/Pantai+Adoki/data=!4m7!3m6!1s0x6803939000000001:0x53e9991338f6134f!8m2!3d-1.1434772!4d135.9840307!16s%2Fg%2F11hbtfbp8y!19sChIJAQAAAJCTA2gRTxP2OBOZ6VM?authuser=0&hl=en&rclk=1,Pantai Adoki,4.6,Open 24 hours
https://www.google.com/maps/place/Destinasi+Wisata+Bukit+Hoboy/data=!4m7!3m6!1s0x686cf36479639acf:0x52e4e1d81821be4b!8m2!3d-2.6084111!4d140.5335055!16s%2Fg%2F11y1g22492!19sChIJz5pjeWTzbGgRS74hGNjh5FI?authuser=0&hl=en&rclk=1,Destinasi Wisata Bukit Hoboy,4.8,Open
https://www.google.com/maps/place/Pantai+Sarawandori/data=!4m7!3m6!1s0x681ca838cd2c4389:0x19b525c726fb1bc3!8m2!3d-1.8726789!4d136.1916924!16s%2Fg%2F11c51vxx72!19sChIJiUMszTioHGgRwxv7JscltRk?authuser=0&hl=en&rclk=1,Pantai Sarawandori,4.5,Closes soon
https://www.google.com/maps/place/Little+Lake+Habema/data=!4m7!3m6!1s0x683dd92fcb4c92e1:0xecaa917ad0c274d1!8m2!3d-4.1388286!4d138.7100761!16s%2Fg%2F11j8_wrctd!19sChIJ4ZJMyy_ZPWgR0XTC0HqRquw?authuser=0&hl=en&rclk=1,Little Lake Habema,4.5,
https://www.google.com/maps/place/MANABAY/data=!4m7!3m6!1s0x681ca92770368f79:0x173d2834eed8c259!8m2!3d-1.8636922!4d136.2058454!16s%2Fg%2F11m0typrhd!19sChIJeY82cCepHGgRWcLY7jQoPRc?authuser=0&hl=en&rclk=1,MANABAY,4.6,Open 24 hours
https://www.google.com/maps/place/Pantai+Rowor+Teluk+Wondama/data=!4m7!3m6!1s0x2d4c8e9ec190a01d:0xb3e7c2b6354bb951!8m2!3d-2.5623315!4d134.4633735!16s%2Fg%2F11dfgwxs0g!19sChIJHaCQwZ6OTC0RUblLNbbC57M?authuser=0&hl=en&rclk=1,Pantai Rowor Teluk Wondama,4.5,Open 24 hours
https://www.google.com/maps/place/Wisata+kampung+bukisi/data=!4m7!3m6!1s0x686cd900774bfe79:0xc107a2fde562ecf3!8m2!3d-2.4127802!4d140.2251192!16s%2Fg%2F11wnf56fvb!19sChIJef5LdwDZbGgR8-xi5f2iB8E?authuser=0&hl=en&rclk=1,Wisata kampung bukisi,5,
https://www.google.com/maps/place/Taman+Nasional+Teluk+Cenderawasih/data=!4m7!3m6!1s0x2d4b62bec61af6ef:0x758ba1aa8c8a474a!8m2!3d-2.548225!4d134.4783821!16s%2Fm%2F0b762x5!19sChIJ7_Yaxr5iSy0RSkeKjKqhi3U?authuser=0&hl=en&rclk=1,Taman Nasional Teluk Cenderawasih,4.3,Closes soon
https://www.google.com/maps/place/Idenberg+Lake/data=!4m7!3m6!1s0x6822e93afca5d979:0x903454231e041547!8m2!3d-4.0380971!4d137.0701836!16s%2Fg%2F11d_z5s_mp!19sChIJedml_DrpImgRRxUEHiNUNJA?authuser=0&hl=en&rclk=1,Idenberg Lake,4.8,Closed
https://www.google.com/maps/place/Negeri+Dongeng+Biak/data=!4m7!3m6!1s0x68039747c26cb739:0xba8a5cdca395545e!8m2!3d-1.0858106!4d135.9204416!16s%2Fg%2F11t6x8gm84!19sChIJObdswkeXA2gRXlSVo9xciro?authuser=0&hl=en&rclk=1,Negeri Dongeng Biak,4.4,
https://www.google.com/maps/place/Kali+Biru+2/data=!4m7!3m6!1s0x686ccf98ac3dd593:0xd76b1c855088cfdc!8m2!3d-2.5097845!4d140.1647353!16s%2Fg%2F11r_90pl_f!19sChIJk9U9rJjPbGgR3M-IUIUca9c?authuser=0&hl=en&rclk=1,Kali Biru 2,4.4,Closes soon
https://www.google.com/maps/place/Pantai+Wisata+Onggaya/data=!4m7!3m6!1s0x69b505a4168cde17:0x292079965455bbdb!8m2!3d-8.7025248!4d140.5405419!16s%2Fg%2F11fylsq37p!19sChIJF96MFqQFtWkR27tVVJZ5ICk?authuser=0&hl=en&rclk=1,Pantai Wisata Onggaya,4.1,Open 24 hours
https://www.google.com/maps/place/Pantai+Dok+2+Jayapura/data=!4m7!3m6!1s0x686c5901d120679d:0x14ace2e11944713f!8m2!3d-2.5380875!4d140.7137905!16s%2Fg%2F11q8t7yprx!19sChIJnWcg0QFZbGgRP3FEGeHirBQ?authuser=0&hl=en&rclk=1,Pantai Dok 2 Jayapura,4.6,Open 24 hours
https://www.google.com/maps/place/Pantai+Amai/data=!4m7!3m6!1s0x686ce1bbec2181d5:0x38cec4ad2e78f605!8m2!3d-2.4348424!4d140.3735734!16s%2Fg%2F11fszdlxnr!19sChIJ1YEh7LvhbGgRBfZ4Lq3Ezjg?authuser=0&hl=en&rclk=1,Pantai Amai,4.7,
https://www.google.com/maps/place/Wardo+Water+Falls/data=!4m7!3m6!1s0x6803c3b23fd1cc2d:0xce9b201844660ffa!8m2!3d-1.0233612!4d135.8583055!16s%2Fg%2F11rr8qdwtm!19sChIJLczRP7LDA2gR-g9mRBggm84?authuser=0&hl=en&rclk=1,Wardo Water Falls,4.6,
https://www.google.com/maps/place/Telaga+Biru/data=!4m7!3m6!1s0x6803f5d294ad0671:0x7d025de65aac56a!8m2!3d-1.047572!4d136.172365!16s%2Fg%2F11g6xsbjtl!19sChIJcQatlNL1A2gRasWqZd4l0Ac?authuser=0&hl=en&rclk=1,Telaga Biru,4.7,Open 24 hours
https://www.google.com/maps/place/Kyura+River/data=!4m7!3m6!1s0x6823b1bd1b7b6731:0x573eabaee7829124!8m2!3d-4.2514588!4d136.6432631!16s%2Fg%2F11c2ptvrd3!19sChIJMWd7G72xI2gRJJGC566rPlc?authuser=0&hl=en&rclk=1,Kyura River,4.4,
https://www.google.com/maps/place/Pantai+Sorendiweri/data=!4m7!3m6!1s0x6801714b90168055:0xdfee2df2ed281a83!8m2!3d-0.7366843!4d135.7438796!16s%2Fg%2F11hzv0jf5_!19sChIJVYAWkEtxAWgRgxoo7fIt7t8?authuser=0&hl=en&rclk=1,Pantai Sorendiweri,4.5,Open 24 hours
https://www.google.com/maps/place/Bukit+Tungku+Wiri/data=!4m7!3m6!1s0x686cedac90971113:0x80f15023fd6742d5!8m2!3d-2.579683!4d140.4517638!16s%2Fg%2F11fszdqpjc!19sChIJExGXkKztbGgR1UJn_SNQ8YA?authuser=0&hl=en&rclk=1,Bukit Tungku Wiri,4.6,Open now
https://www.google.com/maps/place/new/data=!4m7!3m6!1s0x686cfdcf783469dd:0x916b996eae027d4f!8m2!3d-2.4541179!4d140.5864634!16s%2Fg%2F11p0wr3n00!19sChIJ3Wk0eM_9bGgRT30Crm6Za5E?authuser=0&hl=en&rclk=1,new,5,Open 24 hours
https://www.google.com/maps/place/White+sand+beach/data=!4m7!3m6!1s0x2d538aa7f3348717:0xe77fe53f27490180!8m2!3d-0.8707101!4d134.1067164!16s%2Fg%2F11f0_bq7k3!19sChIJF4c086eKUy0RgAFJJz_lf-c?authuser=0&hl=en&rclk=1,White sand beach,4.3,Open 24 hours
https://www.google.com/maps/place/Pantai+Pasir+6+Jayapura/data=!4m7!3m6!1s0x686c573ed77a98c5:0xdb7af0c761099dff!8m2!3d-2.4877879!4d140.7117044!16s%2Fg%2F11h4c9w1yp!19sChIJxZh61z5XbGgR_50JYcfwets?authuser=0&hl=en&rclk=1,Pantai Pasir 6 Jayapura,4.4,Open 24 hours
https://www.google.com/maps/place/Pantai+Monalisa/data=!4m7!3m6!1s0x681fa85bad8dce6b:0x42c01b3b443ea72c!8m2!3d-3.24126!4d135.5694583!16s%2Fg%2F11fs_8s0rd!19sChIJa86NrVuoH2gRLKc-RDsbwEI?authuser=0&hl=en&rclk=1,Pantai Monalisa,4.1,Open 24 hours
https://www.google.com/maps/place/Adoki+Tanjung+Sarweri/data=!4m7!3m6!1s0x680395bbebbfd1b7:0x6742cb883e5f2af3!8m2!3d-1.1469674!4d135.9778429!16s%2Fg%2F11pxmbk2s5!19sChIJt9G_67uVA2gR8ypfPojLQmc?authuser=0&hl=en&rclk=1,Adoki Tanjung Sarweri,4.5,Closes soon
https://www.google.com/maps/place/Pulau+HABE/data=!4m7!3m6!1s0x69cad7007ba3e3d7:0x8e4f1d022aa75a80!8m2!3d-8.2416729!4d139.4407082!16s%2Fg%2F11t9kz2q3r!19sChIJ1-OjewDXymkRgFqnKgIdT44?authuser=0&hl=en&rclk=1,Pulau HABE,5,
https://www.google.com/maps/place/Padaido+Divers+Biak/data=!4m7!3m6!1s0x6804655baa42228b:0x8b3d7d229db8801d!8m2!3d-1.249458!4d136.3757171!16s%2Fg%2F11t2c1fq24!19sChIJiyJCqltlBGgRHYC4nSJ9PYs?authuser=0&hl=en&rclk=1,Padaido Divers Biak,5,Open 24 hours
https://www.google.com/maps/place/Monumen+Kapsul+Waktu/data=!4m7!3m6!1s0x69b515f49a991fa7:0x63ca51db6d66ee84!8m2!3d-8.5080639!4d140.4118485!16s%2Fg%2F11cn9fv_97!19sChIJpx-ZmvQVtWkRhO5mbdtRymM?authuser=0&hl=en&rclk=1,Monumen Kapsul Waktu,4.4,Open
https://www.google.com/maps/place/Borobudur+%28Telaga+Pamoi%29/data=!4m7!3m6!1s0x681ca910563242db:0x3ea5da3da6ef4e02!8m2!3d-1.8570288!4d136.2013071!16s%2Fg%2F11qvh1jsd3!19sChIJ20IyVhCpHGgRAk7vpj3apT4?authuser=0&hl=en&rclk=1,Borobudur (Telaga Pamoi),5,
https://www.google.com/maps/place/Wisata+kalpos+kali+brimob/data=!4m7!3m6!1s0x68239f888af2027d:0x4145cebdd9925f74!8m2!3d-4.4383471!4d136.8234552!16s%2Fg%2F11rv979vrk!19sChIJfQLyioifI2gRdF-S2b3ORUE?authuser=0&hl=en&rclk=1,Wisata kalpos kali brimob,4.1,Closes soon
https://www.google.com/maps/place/Pulau+Wandi/data=!4m7!3m6!1s0x681cb5001e42751d:0x46720e87a724de28!8m2!3d-1.7867703!4d135.920101!16s%2Fg%2F11vr9wcpqj!19sChIJHXVCHgC1HGgRKN4kp4cOckY?authuser=0&hl=en&rclk=1,Pulau Wandi,5,
https://www.google.com/maps/place/KLAISU/data=!4m7!3m6!1s0x686cb782601c4eab:0xfb0914c86541bff7!8m2!3d-2.64198!4d140.182635!16s%2Fg%2F11pky075_t!19sChIJq04cYIK3bGgR979BZcgUCfs?authuser=0&hl=en&rclk=1,KLAISU,4.6,
https://www.google.com/maps/place/Air+Terjun+Wodu+%28Wodu+Waterfall%29.+Go+to+INSTALGRAM:ayabiakpapuasiskarumbarar/data=!4m7!3m6!1s0x68015e26f6f963cd:0xe87fc6887480c854!8m2!3d-0.8342797!4d135.907113!16s%2Fg%2F11g7_bzshh!19sChIJzWP59iZeAWgRVMiAdIjGf-g?authuser=0&hl=en&rclk=1,Air Terjun Wodu (Wodu Waterfall). Go to INSTALGRAM:ayabiakpapuasiskarumbarar,3.7,
https://www.google.com/maps/place/Sauwandarek+Village/data=!4m7!3m6!1s0x2d5e584f2fd8732d:0xf11684dad6130be3!8m2!3d-0.5903592!4d130.6023098!16s%2Fg%2F11cs4y3cdn!19sChIJLXPYL09YXi0R4wsT1tqEFvE?authuser=0&hl=en&rclk=1,Sauwandarek Village,4.7,Open 24 hours
https://www.google.com/maps/place/Base%27G+Kiri/data=!4m7!3m6!1s0x686c57db5f611511:0x71427f4089fb745e!8m2!3d-2.5104467!4d140.7338005!16s%2Fg%2F11t0wbh0_j!19sChIJERVhX9tXbGgRXnT7iUB_QnE?authuser=0&hl=en&rclk=1,Base'G Kiri,4,Open now
https://www.google.com/maps/place/Trip+Wisata+Danau+Sentani/data=!4m7!3m6!1s0x686cf395e8e2bad1:0xaed76635e44b54ec!8m2!3d-2.5998619!4d140.5769392!16s%2Fg%2F11f_srntgn!19sChIJ0bri6JXzbGgR7FRL5DVm164?authuser=0&hl=en&rclk=1,Trip Wisata Danau Sentani,4.4,Closed
https://www.google.com/maps/place/Wisata+Manggrove/data=!4m7!3m6!1s0x68247d2a468572f7:0xe6b9d569da82e213!8m2!3d-4.7966885!4d136.7687472!16s%2Fg%2F11j91_6_43!19sChIJ93KFRip9JGgRE-KC2mnVueY?authuser=0&hl=en&rclk=1,Wisata Manggrove,3.6,
https://www.google.com/maps/place/Samber+Beach/data=!4m7!3m6!1s0x680397fe69b5e521:0xe7baef23f7fea10c!8m2!3d-1.171834!4d135.908121!16s%2Fg%2F11h5v8_llk!19sChIJIeW1af6XA2gRDKH-9yPvuuc?authuser=0&hl=en&rclk=1,Samber Beach,4.5,
