lokasi,name,rating,status
https://www.google.com/maps/place/Pantai+Pasir+Putih/data=!4m7!3m6!1s0x2d538aa78861910d:0xded60afd648c41de!8m2!3d-0.8704698!4d134.1073893!16s%2Fg%2F11fszdlmnh!19sChIJDZFhiKeKUy0R3kGMZP0K1t4?authuser=0&hl=en&rclk=1,Pantai Pasir Putih,4.3,
https://www.google.com/maps/place/Pantai+Saleo/data=!4m7!3m6!1s0x2d5f02b7e2e27a55:0x848c26d0dfb12814!8m2!3d-0.4411768!4d130.7875287!16s%2Fg%2F11hbgb87rf!19sChIJVXri4rcCXy0RFCix39AmjIQ?authuser=0&hl=en&rclk=1,Pantai Saleo,4.6,
https://www.google.com/maps/place/Traditional+Papuan+Houses+and+Museum/data=!4m7!3m6!1s0x2d5bf93ba8f0b3f7:0xe82ed12b8348bf7f!8m2!3d-0.9713386!4d131.340271!16s%2Fg%2F11pd3tg2vz!19sChIJ97PwqDv5Wy0Rf79IgyvRLug?authuser=0&hl=en&rclk=1,Traditional Papuan Houses and Museum,4.7,Open
https://www.google.com/maps/place/Telaga+Bintang+-+Raja+Ampat/data=!4m7!3m6!1s0x2d5e378304e3ffef:0xd8183d736d58a779!8m2!3d-0.5689417!4d130.2710209!16s%2Fg%2F11hd56btv7!19sChIJ7__jBIM3Xi0ReadYbXM9GNg?authuser=0&hl=en&rclk=1,Telaga Bintang - Raja Ampat,4.8,
https://www.google.com/maps/place/White+sand+beach/data=!4m7!3m6!1s0x2d538aa7f3348717:0xe77fe53f27490180!8m2!3d-0.8707101!4d134.1067164!16s%2Fg%2F11f0_bq7k3!19sChIJF4c086eKUy0RgAFJJz_lf-c?authuser=0&hl=en&rclk=1,White sand beach,4.3,Open 24 hours
https://www.google.com/maps/place/Pulau+Matan+Sorong+Papua+Barat/data=!4m7!3m6!1s0x2d5c03128929337b:0x6bd52f321f33010d!8m2!3d-0.9553029!4d131.1486422!16s%2Fg%2F11gb3r4kfm!19sChIJezMpiRIDXC0RDQEzHzIv1Ws?authuser=0&hl=en&rclk=1,Pulau Matan Sorong Papua Barat,4.5,Open 24 hours
https://www.google.com/maps/place/Sauwandarek+Village/data=!4m7!3m6!1s0x2d5e584f2fd8732d:0xf11684dad6130be3!8m2!3d-0.5903592!4d130.6023098!16s%2Fg%2F11cs4y3cdn!19sChIJLXPYL09YXi0R4wsT1tqEFvE?authuser=0&hl=en&rclk=1,Sauwandarek Village,4.7,Open 24 hours
https://www.google.com/maps/place/Pantai+Werur/data=!4m7!3m6!1s0x2d584ba90dcc38c7:0x1532d5edeb6a0d99!8m2!3d-0.4155024!4d132.1903445!16s%2Fg%2F11cr_vs_x0!19sChIJxzjMDalLWC0RmQ1q6-3VMhU?authuser=0&hl=en&rclk=1,Pantai Werur,4.9,Open 24 hours
https://www.google.com/maps/place/Teluk+Triton+Kaimana/data=!4m7!3m6!1s0x2d35eecda6b6cd1f:0x368cdd751211be7d!8m2!3d-3.8235359!4d133.9928543!16s%2Fg%2F11j8_w8_gg!19sChIJH822ps3uNS0Rfb4REnXdjDY?authuser=0&hl=en&rclk=1,Teluk Triton Kaimana,4.8,
https://www.google.com/maps/place/Taman+Wisata+Mangrove+Klawalu+Sorong/data=!4m7!3m6!1s0x2d5bff9abb40ca75:0x5342bb3a6bdad1d1!8m2!3d-0.9130053!4d131.3075691!16s%2Fg%2F11gvzkd3d6!19sChIJdcpAu5r_Wy0R0dHaazq7QlM?authuser=0&hl=en&rclk=1,Taman Wisata Mangrove Klawalu Sorong,4.2,Open
https://www.google.com/maps/place/Air+terjun+malawor/data=!4m7!3m6!1s0x2d5945bf11549bff:0x5e94df80956f9b!8m2!3d-0.7733948!4d131.4736123!16s%2Fg%2F11s3v90zn4!19sChIJ_5tUEb9FWS0Rm2-VgN-UXgA?authuser=0&hl=en&rclk=1,Air terjun malawor,4.6,Open now
https://www.google.com/maps/place/Pantai+Amban/data=!4m7!3m6!1s0x2d540c843693e3dd:0xc0bdc353211c9cc5!8m2!3d-0.8109268!4d134.0637334!16s%2Fg%2F11hbh7_3xs!19sChIJ3eOTNoQMVC0RxZwcIVPDvcA?authuser=0&hl=en&rclk=1,Pantai Amban,4.4,Open now
https://www.google.com/maps/place/Gunung+Petik+Bintang+Maybrat/data=!4m7!3m6!1s0x2d5a07fb101dedc1:0x31d03961e3d7132!8m2!3d-1.009385!4d132.546794!16s%2Fg%2F11gfpbmlrx!19sChIJwe0dEPsHWi0RMnE9HpYDHQM?authuser=0&hl=en&rclk=1,Gunung Petik Bintang Maybrat,4.5,Open 24 hours
https://www.google.com/maps/place/SAHARA+JETTY/data=!4m7!3m6!1s0x2d5eab3c8aee2135:0x1d550f9c137f0479!8m2!3d-0.8889158!4d131.239038!16s%2Fg%2F11ryldpss1!19sChIJNSHuijyrXi0ReQR_E5wPVR0?authuser=0&hl=en&rclk=1,SAHARA JETTY,4.3,Open now
https://www.google.com/maps/place/PANTAI+SYARI/data=!4m7!3m6!1s0x2d526d42b209130d:0xb9727e3f821540cc!8m2!3d-1.6379079!4d134.1104967!16s%2Fg%2F11jy1gmvmf!19sChIJDRMJskJtUi0RzEAVgj9-crk?authuser=0&hl=en&rclk=1,PANTAI SYARI,4.5,
https://www.google.com/maps/place/Taman+Nasional+Teluk+Cenderawasih/data=!4m7!3m6!1s0x2d4b62bec61af6ef:0x758ba1aa8c8a474a!8m2!3d-2.548225!4d134.4783821!16s%2Fm%2F0b762x5!19sChIJ7_Yaxr5iSy0RSkeKjKqhi3U?authuser=0&hl=en&rclk=1,Taman Nasional Teluk Cenderawasih,4.3,Closes soon
https://www.google.com/maps/place/Pantai+Rowor+Teluk+Wondama/data=!4m7!3m6!1s0x2d4c8e9ec190a01d:0xb3e7c2b6354bb951!8m2!3d-2.5623315!4d134.4633735!16s%2Fg%2F11dfgwxs0g!19sChIJHaCQwZ6OTC0RUblLNbbC57M?authuser=0&hl=en&rclk=1,Pantai Rowor Teluk Wondama,4.5,Open 24 hours
https://www.google.com/maps/place/Cape+Kri/data=!4m7!3m6!1s0x2d5ef9b8ad55a1bd:0x4a2598db75b36835!8m2!3d-0.5563238!4d130.6904922!16s%2Fg%2F11b7t87_tb!19sChIJvaFVrbj5Xi0RNWizdduYJUo?authuser=0&hl=en&rclk=1,Cape Kri,4.7,
