lokasi,name,rating,status
https://www.google.com/maps/place/Kais+darat+Papua+Barat+daya/data=!4m7!3m6!1s0x2d50ff6c7f6b616f:0xce1ed461b4351285!8m2!3d-1.3361154!4d133.1747162!16s%2Fg%2F11vkrmx8_x!19sChIJb2Frf2z_UC0RhRI1tGHUHs4?authuser=0&hl=en&rclk=1,Kais darat Papua Barat daya,5,
https://www.google.com/maps/place/Pulau+Matan+Sorong+Papua+Barat/data=!4m7!3m6!1s0x2d5c03128929337b:0x6bd52f321f33010d!8m2!3d-0.9553029!4d131.1486422!16s%2Fg%2F11gb3r4kfm!19sChIJezMpiRIDXC0RDQEzHzIv1Ws?authuser=0&hl=en&rclk=1,Pulau Matan Sorong Papua Barat,4.5,Open 24 hours
https://www.google.com/maps/place/Pantai+Rowor+Teluk+Wondama/data=!4m7!3m6!1s0x2d4c8e9ec190a01d:0xb3e7c2b6354bb951!8m2!3d-2.5623315!4d134.4633735!16s%2Fg%2F11dfgwxs0g!19sChIJHaCQwZ6OTC0RUblLNbbC57M?authuser=0&hl=en&rclk=1,Pantai Rowor Teluk Wondama,4.5,Open 24 hours
https://www.google.com/maps/place/Sauwandarek+Village/data=!4m7!3m6!1s0x2d5e584f2fd8732d:0xf11684dad6130be3!8m2!3d-0.5903592!4d130.6023098!16s%2Fg%2F11cs4y3cdn!19sChIJLXPYL09YXi0R4wsT1tqEFvE?authuser=0&hl=en&rclk=1,Sauwandarek Village,4.7,Open 24 hours
https://www.google.com/maps/place/Wafsarak+Waterfall/data=!4m7!3m6!1s0x68015d9f553fd03b:0xc15d641efe3666a8!8m2!3d-0.7914851!4d135.9229049!16s%2Fg%2F11f0_dhg60!19sChIJO9A_VZ9dAWgRqGY2_h5kXcE?authuser=0&hl=en&rclk=1,Wafsarak Waterfall,4.5,Open 24 hours
https://www.google.com/maps/place/SAHARA+JETTY/data=!4m7!3m6!1s0x2d5eab3c8aee2135:0x1d550f9c137f0479!8m2!3d-0.8889158!4d131.239038!16s%2Fg%2F11ryldpss1!19sChIJNSHuijyrXi0ReQR_E5wPVR0?authuser=0&hl=en&rclk=1,SAHARA JETTY,4.3,Open now
https://www.google.com/maps/place/Anenderat+Waterfall/data=!4m7!3m6!1s0x2d574ddd5e4e6bbb:0x66df9b66305ac58a!8m2!3d-0.8704898!4d132.7354253!16s%2Fg%2F11fj32b3zz!19sChIJu2tOXt1NVy0RisVaMGab32Y?authuser=0&hl=en&rclk=1,Anenderat Waterfall,4.9,Open 24 hours
https://www.google.com/maps/place/Pulau+Um/data=!4m7!3m6!1s0x2d5943004d53d2b9:0x85235ea7d7c6841e!8m2!3d-0.73675!4d131.583621!16s%2Fg%2F11j92vdklg!19sChIJudJTTQBDWS0RHoTG16deI4U?authuser=0&hl=en&rclk=1,Pulau Um,4.3,
https://www.google.com/maps/place/Gunung+Petik+Bintang+Maybrat/data=!4m7!3m6!1s0x2d5a07fb101dedc1:0x31d03961e3d7132!8m2!3d-1.009385!4d132.546794!16s%2Fg%2F11gfpbmlrx!19sChIJwe0dEPsHWi0RMnE9HpYDHQM?authuser=0&hl=en&rclk=1,Gunung Petik Bintang Maybrat,4.5,Open 24 hours
https://www.google.com/maps/place/Pantai+Saleo/data=!4m7!3m6!1s0x2d5f02b7e2e27a55:0x848c26d0dfb12814!8m2!3d-0.4411768!4d130.7875287!16s%2Fg%2F11hbgb87rf!19sChIJVXri4rcCXy0RFCix39AmjIQ?authuser=0&hl=en&rclk=1,Pantai Saleo,4.6,
https://www.google.com/maps/place/Danau+Framu+Ayamaru/data=!4m7!3m6!1s0x2d5a432ecf633b11:0xfd869042ff992cf1!8m2!3d-1.2371632!4d132.1912309!16s%2Fg%2F11f26413sf!19sChIJETtjzy5DWi0R8SyZ_0KQhv0?authuser=0&hl=en&rclk=1,Danau Framu Ayamaru,4.1,Open 24 hours
https://www.google.com/maps/place/Pantai+Pasir+Putih/data=!4m7!3m6!1s0x2d538aa78861910d:0xded60afd648c41de!8m2!3d-0.8704698!4d134.1073893!16s%2Fg%2F11fszdlmnh!19sChIJDZFhiKeKUy0R3kGMZP0K1t4?authuser=0&hl=en&rclk=1,Pantai Pasir Putih,4.3,
https://www.google.com/maps/place/Pelabuhan+rakyat/data=!4m7!3m6!1s0x2d5eab6f6baa0caf:0x15c5c592f6cf6ea!8m2!3d-0.8873365!4d131.26923!16s%2Fg%2F11t0n2_rgr!19sChIJrwyqa2-rXi0R6vZsL1lcXAE?authuser=0&hl=en&rclk=1,Pelabuhan rakyat,4.1,Open now
https://www.google.com/maps/place/Papua+Barat+Daya/data=!4m7!3m6!1s0x2d5eabcfb020e657:0xde5d6340e5a288df!8m2!3d-0.8757298!4d131.2576123!16s%2Fg%2F11jz_s9mfw!19sChIJV-YgsM-rXi0R34ii5UBjXd4?authuser=0&hl=en&rclk=1,Papua Barat Daya,4.7,Open now
