lokasi,name,rating,
https://www.google.com/maps/place/Tungku+Wiri+Hill/data=!4m7!3m6!1s0x686cee9e92a0327d:0x1367a9910c865b39!8m2!3d-2.5724761!4d140.4557526!16s%2Fg%2F11c30x6vww!19sChIJfTKgkp7ubGgROVuGDJGpZxM?authuser=0&hl=en&rclk=1,Tungku Wiri Hill,4.5,
https://www.google.com/maps/place/Bukit+Jokowi/data=!4m7!3m6!1s0x686c5f521fe15d1f:0xe01ceb7efca2b87f!8m2!3d-2.5884097!4d140.6885197!16s%2Fg%2F11fylkf9rw!19sChIJH13hH1JfbGgRf7ii_H7rHOA?authuser=0&hl=en&rclk=1,Bukit Jokowi,4.4,
https://www.google.com/maps/place/Lorentz+National+Park/data=!4m7!3m6!1s0x683ada72cad8bf5b:0xe5acb2b81cad387f!8m2!3d-4.6297633!4d137.9726829!16zL20vMDJ4MW14!19sChIJW7_YynLaOmgRfzitHLiyrOU?authuser=0&hl=en&rclk=1,Lorentz National Park,4.4,
https://www.google.com/maps/place/Little+Lake+Habema/data=!4m7!3m6!1s0x683dd92fcb4c92e1:0xecaa917ad0c274d1!8m2!3d-4.1388286!4d138.7100761!16s%2Fg%2F11j8_wrctd!19sChIJ4ZJMyy_ZPWgR0XTC0HqRquw?authuser=0&hl=en&rclk=1,Little Lake Habema,4.5,
https://www.google.com/maps/place/Pasir+Putih+Wamena/data=!4m7!3m6!1s0x683e1384f35935b9:0xb7451fcd39daf555!8m2!3d-4.0371623!4d138.9511044!16s%2Fg%2F11qst9qyvs!19sChIJuTVZ84QTPmgRVfXaOc0fRbc?authuser=0&hl=en&rclk=1,Pasir Putih Wamena,4.6,
https://www.google.com/maps/place/Monumen+Kapsul+Waktu/data=!4m7!3m6!1s0x69b515f49a991fa7:0x63ca51db6d66ee84!8m2!3d-8.5080639!4d140.4118485!16s%2Fg%2F11cn9fv_97!19sChIJpx-ZmvQVtWkRhO5mbdtRymM?authuser=0&hl=en&rclk=1,Monumen Kapsul Waktu,4.4,
https://www.google.com/maps/place/Wasur+National+Park/data=!4m7!3m6!1s0x69b4e631290c67f1:0xb755331f65faa39!8m2!3d-8.6006357!4d140.8336815!16s%2Fm%2F09gjc00!19sChIJ8WcMKTHmtGkROapf9jFTdQs?authuser=0&hl=en&rclk=1,Wasur National Park,4.2,
https://www.google.com/maps/place/Idenberg+Lake/data=!4m7!3m6!1s0x6822e93afca5d979:0x903454231e041547!8m2!3d-4.0380971!4d137.0701836!16s%2Fg%2F11d_z5s_mp!19sChIJedml_DrpImgRRxUEHiNUNJA?authuser=0&hl=en&rclk=1,Idenberg Lake,4.8,
https://www.google.com/maps/place/Papua+pegunungan/data=!4m7!3m6!1s0x683e87a68f765f8f:0x3dc2f105ee43588a!8m2!3d-4.3470893!4d138.8328656!16s%2Fg%2F11ty5mqycz!19sChIJj192j6aHPmgRilhD7gXxwj0?authuser=0&hl=en&rclk=1,Papua pegunungan,4,
https://www.google.com/maps/place/Jayawijaya+Mountains/data=!4m7!3m6!1s0x683faa7003406a75:0x350c517cab46fb07!8m2!3d-4.35!4d139.416667!16zL20vMDducjV5!19sChIJdWpAA3CqP2gRB_tGq3xRDDU?authuser=0&hl=en&rclk=1,Jayawijaya Mountains,4.5,
