lokasi,name,rating
https://www.google.com/maps/place/Wasur+National+Park/data=!4m7!3m6!1s0x69b4e631290c67f1:0xb755331f65faa39!8m2!3d-8.6006357!4d140.8336815!16s%2Fm%2F09gjc00!19sChIJ8WcMKTHmtGkROapf9jFTdQs?authuser=0&hl=en&rclk=1,Wasur National Park,4.2
https://www.google.com/maps/place/Bukit+Jokowi/data=!4m7!3m6!1s0x686c5f521fe15d1f:0xe01ceb7efca2b87f!8m2!3d-2.5884097!4d140.6885197!16s%2Fg%2F11fylkf9rw!19sChIJH13hH1JfbGgRf7ii_H7rHOA?authuser=0&hl=en&rclk=1,Bukit Jokowi,4.4
https://www.google.com/maps/place/The+Lamp+One+Beach/data=!4m7!3m6!1s0x69b5156fb5cafd57:0x95e2d63b0f7f8492!8m2!3d-8.5110648!4d140.3777131!16s%2Fg%2F11gbnknkkk!19sChIJV_3KtW8VtWkRkoR_DzvW4pU?authuser=0&hl=en&rclk=1,The Lamp One Beach,4.3
https://www.google.com/maps/place/Monumen+Kapsul+Waktu/data=!4m7!3m6!1s0x69b515f49a991fa7:0x63ca51db6d66ee84!8m2!3d-8.5080639!4d140.4118485!16s%2Fg%2F11cn9fv_97!19sChIJpx-ZmvQVtWkRhO5mbdtRymM?authuser=0&hl=en&rclk=1,Monumen Kapsul Waktu,4.4
https://www.google.com/maps/place/Lorentz+National+Park/data=!4m7!3m6!1s0x683ada72cad8bf5b:0xe5acb2b81cad387f!8m2!3d-4.6297633!4d137.9726829!16zL20vMDJ4MW14!19sChIJW7_YynLaOmgRfzitHLiyrOU?authuser=0&hl=en&rclk=1,Lorentz National Park,4.4
https://www.google.com/maps/place/Pantai+Onggaya/data=!4m7!3m6!1s0x69b5107c2f08b761:0x273c1537065b0533!8m2!3d-8.6249763!4d140.5079169!16s%2Fg%2F11gf95v95h!19sChIJYbcIL3wQtWkRMwVbBjcVPCc?authuser=0&hl=en&rclk=1,Pantai Onggaya,3.9
https://www.google.com/maps/place/Pulau+HABE/data=!4m7!3m6!1s0x69cad7007ba3e3d7:0x8e4f1d022aa75a80!8m2!3d-8.2416729!4d139.4407082!16s%2Fg%2F11t9kz2q3r!19sChIJ1-OjewDXymkRgFqnKgIdT44?authuser=0&hl=en&rclk=1,Pulau HABE,5
https://www.google.com/maps/place/Bukit+Bhulem+Mokho/data=!4m7!3m6!1s0x686cf365f17a59a5:0xa3edddcb65415bd3!8m2!3d-2.6071277!4d140.5321392!16s%2Fg%2F11s926mqx0!19sChIJpVl68WXzbGgR01tBZcvd7aM?authuser=0&hl=en&rclk=1,Bukit Bhulem Mokho,4.7
https://www.google.com/maps/place/Tugu+0+KM+Merauke+-+Sabang/data=!4m7!3m6!1s0x69b4b7fb80c03a8f:0xa6a48bfbe1ff4bdd!8m2!3d-8.4278252!4d141.0159802!16s%2Fg%2F11gbzc7qm_!19sChIJjzrAgPu3tGkR3Uv_4fuLpKY?authuser=0&hl=en&rclk=1,Tugu 0 KM Merauke - Sabang,4.7
https://www.google.com/maps/place/Niagara+Bihewa/data=!4m7!3m6!1s0x681f1125ec971443:0x5e777625a5d78ab9!8m2!3d-3.3094726!4d135.8176352!16s%2Fg%2F11c2p2cx7q!19sChIJQxSX7CURH2gRuYrXpSV2d14?authuser=0&hl=en&rclk=1,Niagara Bihewa,4.5
