lokasi,name,rating
https://www.google.com/maps/place/Bukit+Jokowi/data=!4m7!3m6!1s0x686c5f521fe15d1f:0xe01ceb7efca2b87f!8m2!3d-2.5884097!4d140.6885197!16s%2Fg%2F11fylkf9rw!19sChIJH13hH1JfbGgRf7ii_H7rHOA?authuser=0&hl=en&rclk=1,Bukit Jokowi,4.4
https://www.google.com/maps/place/Wisata+Pantai+Gedo/data=!4m7!3m6!1s0x681fa6c6e2494ef9:0x4ffd8040ce323431!8m2!3d-3.3094124!4d135.54655!16s%2Fg%2F11cscc3k0p!19sChIJ-U5J4samH2gRMTQyzkCA_U8?authuser=0&hl=en&rclk=1,Wisata Pantai Gedo,3.9
https://www.google.com/maps/place/Pantai+kekwa/data=!4m7!3m6!1s0x68240d94a1eb149f:0xdd8dfaa82a772fd!8m2!3d-4.7476139!4d136.4996073!16s%2Fg%2F11lgygnfv3!19sChIJnxTroZQNJGgR_XKngqrf2A0?authuser=0&hl=en&rclk=1,Pantai kekwa,4.6
https://www.google.com/maps/place/Niagara+Bihewa/data=!4m7!3m6!1s0x681f1125ec971443:0x5e777625a5d78ab9!8m2!3d-3.3094726!4d135.8176352!16s%2Fg%2F11c2p2cx7q!19sChIJQxSX7CURH2gRuYrXpSV2d14?authuser=0&hl=en&rclk=1,Niagara Bihewa,4.5
https://www.google.com/maps/place/Karmon+Waterfall/data=!4m7!3m6!1s0x68015ebc87d48d73:0x7c2d07e2965fe475!8m2!3d-0.817699!4d135.9776286!16s%2Fg%2F11g87f16jk!19sChIJc43Uh7xeAWgRdeRfluIHLXw?authuser=0&hl=en&rclk=1,Karmon Waterfall,4.5
https://www.google.com/maps/place/Tungku+Wiri+Hill/data=!4m7!3m6!1s0x686cee9e92a0327d:0x1367a9910c865b39!8m2!3d-2.5724761!4d140.4557526!16s%2Fg%2F11c30x6vww!19sChIJfTKgkp7ubGgROVuGDJGpZxM?authuser=0&hl=en&rclk=1,Tungku Wiri Hill,4.5
https://www.google.com/maps/place/Bukit+Yotoro/data=!4m7!3m6!1s0x686ced3015370649:0xd241cc92b951289!8m2!3d-2.5949067!4d140.4408184!16s%2Fg%2F11n0rfvpsc!19sChIJSQY3FTDtbGgRiRKVK8kcJA0?authuser=0&hl=en&rclk=1,Bukit Yotoro,4.5
https://www.google.com/maps/place/Little+Lake+Habema/data=!4m7!3m6!1s0x683dd92fcb4c92e1:0xecaa917ad0c274d1!8m2!3d-4.1388286!4d138.7100761!16s%2Fg%2F11j8_wrctd!19sChIJ4ZJMyy_ZPWgR0XTC0HqRquw?authuser=0&hl=en&rclk=1,Little Lake Habema,4.5
https://www.google.com/maps/place/Danau+Emfote/data=!4m7!3m6!1s0x686c8d16ab4bbdb5:0x82f9bba1f39708a6!8m2!3d-2.6608739!4d140.5396897!16s%2Fg%2F11bw7v5sgz!19sChIJtb1LqxaNbGgRpgiX86G7-YI?authuser=0&hl=en&rclk=1,Danau Emfote,4.3
https://www.google.com/maps/place/Pantai+Monalisa/data=!4m7!3m6!1s0x681fa85bad8dce6b:0x42c01b3b443ea72c!8m2!3d-3.24126!4d135.5694583!16s%2Fg%2F11fs_8s0rd!19sChIJa86NrVuoH2gRLKc-RDsbwEI?authuser=0&hl=en&rclk=1,Pantai Monalisa,4.1
https://www.google.com/maps/place/Beach+Budi/data=!4m7!3m6!1s0x681fa6c43b151af7:0xd057835229264f20!8m2!3d-3.3018893!4d135.5570606!16s%2Fg%2F11g9nrhdvd!19sChIJ9xoVO8SmH2gRIE8mKVKDV9A?authuser=0&hl=en&rclk=1,Beach Budi,4.2
https://www.google.com/maps/place/Pantai+Rowor+Teluk+Wondama/data=!4m7!3m6!1s0x2d4c8e9ec190a01d:0xb3e7c2b6354bb951!8m2!3d-2.5623315!4d134.4633735!16s%2Fg%2F11dfgwxs0g!19sChIJHaCQwZ6OTC0RUblLNbbC57M?authuser=0&hl=en&rclk=1,Pantai Rowor Teluk Wondama,4.5
https://www.google.com/maps/place/Trip+Wisata+Danau+Sentani/data=!4m7!3m6!1s0x686cf395e8e2bad1:0xaed76635e44b54ec!8m2!3d-2.5998619!4d140.5769392!16s%2Fg%2F11f_srntgn!19sChIJ0bri6JXzbGgR7FRL5DVm164?authuser=0&hl=en&rclk=1,Trip Wisata Danau Sentani,4.4
https://www.google.com/maps/place/Idenberg+Lake/data=!4m7!3m6!1s0x6822e93afca5d979:0x903454231e041547!8m2!3d-4.0380971!4d137.0701836!16s%2Fg%2F11d_z5s_mp!19sChIJedml_DrpImgRRxUEHiNUNJA?authuser=0&hl=en&rclk=1,Idenberg Lake,4.8
https://www.google.com/maps/place/Lorentz+National+Park/data=!4m7!3m6!1s0x683ada72cad8bf5b:0xe5acb2b81cad387f!8m2!3d-4.6297633!4d137.9726829!16zL20vMDJ4MW14!19sChIJW7_YynLaOmgRfzitHLiyrOU?authuser=0&hl=en&rclk=1,Lorentz National Park,4.4
https://www.google.com/maps/place/Pantai+Amai/data=!4m7!3m6!1s0x686ce1bbec2181d5:0x38cec4ad2e78f605!8m2!3d-2.4348424!4d140.3735734!16s%2Fg%2F11fszdlxnr!19sChIJ1YEh7LvhbGgRBfZ4Lq3Ezjg?authuser=0&hl=en&rclk=1,Pantai Amai,4.7
https://www.google.com/maps/place/Pantai+Naomi/data=!4m7!3m6!1s0x681fa7f51be031d1:0xc1ea582ad4d9d6a8!8m2!3d-3.3043875!4d135.5544531!16s%2Fg%2F11g0sqrych!19sChIJ0THgG_WnH2gRqNbZ1CpY6sE?authuser=0&hl=en&rclk=1,Pantai Naomi,4.2
https://www.google.com/maps/place/Parks+Nutrition+Nabire/data=!4m7!3m6!1s0x681fa246b627a7e3:0x75df3b404cfdf6aa!8m2!3d-3.3571757!4d135.5027968!16s%2Fg%2F11c2j0sh_1!19sChIJ46cntkaiH2gRqvb9TEA733U?authuser=0&hl=en&rclk=1,Parks Nutrition Nabire,3.8
https://www.google.com/maps/place/Tablanusu/data=!4m7!3m6!1s0x686cddf4b0489a7b:0xc1d2796a0f6d1ed6!8m2!3d-2.4624454!4d140.3437349!16s%2Fg%2F120mhz5m!19sChIJe5pIsPTdbGgR1h5tD2p50sE?authuser=0&hl=en&rclk=1,Tablanusu,4.4
https://www.google.com/maps/place/Monumen+Kapsul+Waktu/data=!4m7!3m6!1s0x69b515f49a991fa7:0x63ca51db6d66ee84!8m2!3d-8.5080639!4d140.4118485!16s%2Fg%2F11cn9fv_97!19sChIJpx-ZmvQVtWkRhO5mbdtRymM?authuser=0&hl=en&rclk=1,Monumen Kapsul Waktu,4.4
https://www.google.com/maps/place/Pantai+Erari/data=!4m7!3m6!1s0x681f0174446993fd:0xc6ef0642aa62ca02!8m2!3d-3.1649837!4d135.6448855!16s%2Fg%2F11jmxvxpnj!19sChIJ_ZNpRHQBH2gRAspiqkIG78Y?authuser=0&hl=en&rclk=1,Pantai Erari,4.3
https://www.google.com/maps/place/KOLAM+RENANG+CEMARA+KIMI/data=!4m7!3m6!1s0x681fa75d5687d483:0xa8ee970437d67952!8m2!3d-3.2802253!4d135.5874145!16s%2Fg%2F11tjyyn50z!19sChIJg9SHVl2nH2gRUnnWNwSX7qg?authuser=0&hl=en&rclk=1,KOLAM RENANG CEMARA KIMI,4.5
