lokasi,name,rating,
https://www.google.com/maps/place/Riau+Provincial+Tourism+Office/data=!4m7!3m6!1s0x31d5af2034371b11:0x97cf2f58f98326aa!8m2!3d0.4761859!4d101.4554227!16s%2Fg%2F11g691v285!19sChIJERs3NCCv1TERqiaD-Vgvz5c?authuser=0&hl=en&rclk=1,Riau Provincial Tourism Office,4.4,
https://www.google.com/maps/place/Cultural+Park+Riau+Province/data=!4m7!3m6!1s0x31d5aec0569a4555:0xce13ab247160115d!8m2!3d0.4953696!4d101.4545572!16s%2Fg%2F1hm5nw2ql!19sChIJVUWaVsCu1TERXRFgcSSrE84?authuser=0&hl=en&rclk=1,Cultural Park Riau Province,4.4,
https://www.google.com/maps/place/Rumah+Singgah+Tuan+Kadi/data=!4m7!3m6!1s0x31d5ac712c598155:0x5657647294fb9a10!8m2!3d0.5404269!4d101.4397555!16s%2Fg%2F11cs0vvmxl!19sChIJVYFZLHGs1TEREJr7lHJkV1Y?authuser=0&hl=en&rclk=1,Rumah Singgah Tuan Kadi,4.5,
https://www.google.com/maps/place/Danau+Raja+Rengat/data=!4m7!3m6!1s0x2e29bc016cc109a1:0x1212f4b646954ba9!8m2!3d-0.3683935!4d102.5260951!16s%2Fg%2F11gbk2s5wr!19sChIJoQnBbAG8KS4RqUuVRrb0EhI?authuser=0&hl=en&rclk=1,Danau Raja Rengat,4.3,
https://www.google.com/maps/place/Waterfalls+Bases+Cotton/data=!4m7!3m6!1s0x2e2aa85f4ae44e45:0x66c49e0cb3f0282!8m2!3d-0.0354206!4d100.7716874!16s%2Fg%2F11c1p12fw4!19sChIJRU7kSl-oKi4RggI_y-BJbAY?authuser=0&hl=en&rclk=1,Waterfalls Bases Cotton,4.4,
https://www.google.com/maps/place/Pulau+Cinta/data=!4m7!3m6!1s0x31d5a7f1b1e56c3d:0x4ff9505f15f27a2b!8m2!3d0.3861946!4d101.4109825!16s%2Fg%2F11pzg3gx1g!19sChIJPWzlsfGn1TERK3ryFV9Q-U8?authuser=0&hl=en&rclk=1,Pulau Cinta,4.3,
https://www.google.com/maps/place/Air+terjun+batu+dinding/data=!4m7!3m6!1s0x2e2a91633ff26863:0x10850875012bafeb!8m2!3d-0.1804507!4d101.0782189!16s%2Fg%2F11fqppf7wf!19sChIJY2jyP2ORKi4R668rAXUIhRA?authuser=0&hl=en&rclk=1,Air terjun batu dinding,4.6,
https://www.google.com/maps/place/Ulu+Kasok/data=!4m7!3m6!1s0x31d5384d00000001:0xf477be0421777f44!8m2!3d0.2958591!4d100.8566581!16s%2Fg%2F11c747hfl6!19sChIJAQAAAE041TERRH93IQS-d_Q?authuser=0&hl=en&rclk=1,Ulu Kasok,4.3,
https://www.google.com/maps/place/Kawasan+Bandar+Serai+%28Bandar+Seni+Raja+Ali+Haji%29/data=!4m7!3m6!1s0x31d5afe8e5684ea5:0x5ccb197595b9bb82!8m2!3d0.4779426!4d101.4550602!16s%2Fg%2F11k5w94sh3!19sChIJpU5o5eiv1TERgru5lXUZy1w?authuser=0&hl=en&rclk=1,Kawasan Bandar Serai (Bandar Seni Raja Ali Haji),3.7,
https://www.google.com/maps/place/Wisata+Alam+Pertamina+Lirik+Riau/data=!4m7!3m6!1s0x2e29ed5d35672f77:0x4ecd0f0db6d1ad0b!8m2!3d-0.3081746!4d102.3053996!16s%2Fg%2F11bxfjbz0w!19sChIJdy9nNV3tKS4RC63Rtg0PzU4?authuser=0&hl=en&rclk=1,Wisata Alam Pertamina Lirik Riau,4.2,
"https://www.google.com/maps/place/Pantai+Cinta,+Teluk+Jering+Tambang/data=!4m7!3m6!1s0x31d5a6eaad948359:0x7dbd5215415f6571!8m2!3d0.3861839!4d101.4109818!16s%2Fg%2F11f1sylhtp!19sChIJWYOUreqm1TERcWVfQRVSvX0?authuser=0&hl=en&rclk=1","Pantai Cinta, Teluk Jering Tambang",4.1,
https://www.google.com/maps/place/Taman+Wisata+Alam+Buluh+Cina/data=!4m7!3m6!1s0x31d5bb0395dc9a05:0x1e10038c6d269841!8m2!3d0.3742111!4d101.528542!16s%2Fg%2F11j136x3lv!19sChIJBZrclQO71TERQZgmbYwDEB4?authuser=0&hl=en&rclk=1,Taman Wisata Alam Buluh Cina,4.6,
https://www.google.com/maps/place/Wisata+Dakwah+Okura/data=!4m7!3m6!1s0x31d452b58f9103e1:0xecb9f2a9e89af4d9!8m2!3d0.5937041!4d101.5027197!16s%2Fg%2F11b7c0vwly!19sChIJ4QORj7VS1DER2fSa6Knyuew?authuser=0&hl=en&rclk=1,Wisata Dakwah Okura,4.3,
https://www.google.com/maps/place/Wisata+Danau+Khayangan/data=!4m7!3m6!1s0x31d5acd23dc42d1f:0x418d8c7555506abf!8m2!3d0.5856386!4d101.469531!16s%2Fg%2F11dybr3_46!19sChIJHy3EPdKs1TERv2pQVXWMjUE?authuser=0&hl=en&rclk=1,Wisata Danau Khayangan,3.8,
https://www.google.com/maps/place/TOBEK+PABOUN/data=!4m7!3m6!1s0x2e2bad61dfeab439:0x191bf00197b320d0!8m2!3d-0.6352591!4d101.4395828!16s%2Fg%2F11m43trt5d!19sChIJObTq32GtKy4R0CCzlwHwGxk?authuser=0&hl=en&rclk=1,TOBEK PABOUN,4.5,
https://www.google.com/maps/place/Badnur+Miniatur+Riau/data=!4m7!3m6!1s0x31d5a9a0cc1206fd:0xef80c1009f6ddd16!8m2!3d0.4968405!4d101.3806216!16s%2Fg%2F11k39kjps7!19sChIJ_QYSzKCp1TERFt1tnwDBgO8?authuser=0&hl=en&rclk=1,Badnur Miniatur Riau,4.3,
https://www.google.com/maps/place/Replika+Istana+Kerajaan+Indragiri/data=!4m7!3m6!1s0x2e29bc01dd0ac9d7:0x114996b03d56d006!8m2!3d-0.3663497!4d102.5255922!16s%2Fg%2F11g6bp0v2w!19sChIJ18kK3QG8KS4RBtBWPbCWSRE?authuser=0&hl=en&rclk=1,Replika Istana Kerajaan Indragiri,4.3,
https://www.google.com/maps/place/Puncak+Kompe/data=!4m7!3m6!1s0x31d37b61dd8baa4b:0xc874d124ed8af885!8m2!3d0.2974747!4d100.8541094!16s%2Fg%2F11hbhm1tgq!19sChIJS6qL3WF70zERhfiK7STRdMg?authuser=0&hl=en&rclk=1,Puncak Kompe,4.5,
https://www.google.com/maps/place/Kawah+Biru+Pekanbaru/data=!4m7!3m6!1s0x31d5afeb0f22e169:0x5cdb9ed4996f2850!8m2!3d0.4427863!4d101.4695921!16s%2Fg%2F11rmxc3ywt!19sChIJaeEiD-uv1TERUChvmdSe21w?authuser=0&hl=en&rclk=1,Kawah Biru Pekanbaru,3.5,
https://www.google.com/maps/place/RTH+Putri+Kaca+Mayang/data=!4m7!3m6!1s0x31d5aea7a802dd05:0xb401b0a809dc6695!8m2!3d0.513718!4d101.4483296!16s%2Fg%2F11g8tzkp4r!19sChIJBd0CqKeu1TERlWbcCaiwAbQ?authuser=0&hl=en&rclk=1,RTH Putri Kaca Mayang,4.3,
https://www.google.com/maps/place/Asia+Heritage/data=!4m7!3m6!1s0x31d4554314caade3:0xc93cbd1593c74ac4!8m2!3d0.6091098!4d101.4319761!16s%2Fg%2F11j8__lv6_!19sChIJ463KFENV1DERxErHkxW9PMk?authuser=0&hl=en&rclk=1,Asia Heritage,4.3,
https://www.google.com/maps/place/Air+Terjun+Tujuh+Tingkat/data=!4m7!3m6!1s0x2e2baa6555555555:0x4dfa1dc8e23bb8e8!8m2!3d-0.6174255!4d101.3224469!16s%2Fg%2F11c5s5vc_9!19sChIJVVVVVWWqKy4R6Lg74sgd-k0?authuser=0&hl=en&rclk=1,Air Terjun Tujuh Tingkat,4.2,
https://www.google.com/maps/place/Agro+Wisata+Bukit+Naang/data=!4m7!3m6!1s0x31d517b2fb65a8c7:0x508f7e7555a1af44!8m2!3d0.4066178!4d101.0119849!16s%2Fg%2F11bc7ss1sl!19sChIJx6hl-7IX1TERRK-hVXV-j1A?authuser=0&hl=en&rclk=1,Agro Wisata Bukit Naang,3.9,
