lokasi,name,rating,status
https://www.google.com/maps/place/Taman+Wisata+Bahari+Polewali+Mandar/data=!4m7!3m6!1s0x2d9488e0920fc239:0x9566d4da58d013b2!8m2!3d-3.4392793!4d119.3495065!16s%2Fg%2F11b7hjzs8_!19sChIJOcIPkuCIlC0RshPQWNrUZpU?authuser=0&hl=en&rclk=1,Taman Wisata Bahari Polewali Mandar,4.3,Open 24 hours
https://www.google.com/maps/place/Pantai+Dato+Majene/data=!4m7!3m6!1s0x2d94bf625060110f:0xb848969411c2777e!8m2!3d-3.5595037!4d118.9843342!16s%2Fg%2F11c0qfrhpw!19sChIJDxFgUGK_lC0RfnfCEZSWSLg?authuser=0&hl=en&rclk=1,Pantai Dato Majene,4.5,
https://www.google.com/maps/place/Air+Terjun+Tammasapi/data=!4m7!3m6!1s0x2d92d89a6636dd77:0x5faa258833ea5dfa!8m2!3d-2.7041408!4d118.921493!16s%2Fg%2F11dx92s0s2!19sChIJd902ZprYki0R-l3qM4glql8?authuser=0&hl=en&rclk=1,Air Terjun Tammasapi,4.3,
https://www.google.com/maps/place/Pantai+Mampie/data=!4m7!3m6!1s0x2d948e5815e81263:0x70c06be68e68d09a!8m2!3d-3.4541754!4d119.2801668!16s%2Fg%2F11b7h9gmbv!19sChIJYxLoFViOlC0RmtBojuZrwHA?authuser=0&hl=en&rclk=1,Pantai Mampie,4.1,Open
https://www.google.com/maps/place/Bukit+Jati+Gentungan+Mamuju/data=!4m7!3m6!1s0x2d92dd9bf8e63399:0xa89a04988dbe859f!8m2!3d-2.60853!4d119.0290023!16s%2Fg%2F11dfvpgnz1!19sChIJmTPm-Jvdki0Rn4W-jZgEmqg?authuser=0&hl=en&rclk=1,Bukit Jati Gentungan Mamuju,4.2,Open now
https://www.google.com/maps/place/Rawa+Bangun+Nature+Park/data=!4m7!3m6!1s0x2d9488179ccebba5:0x34bbf322fce4050b!8m2!3d-3.4197186!4d119.4057384!16s%2Fg%2F11csqcs42b!19sChIJpbvOnBeIlC0RCwXk_CLzuzQ?authuser=0&hl=en&rclk=1,Rawa Bangun Nature Park,4.3,Open 24 hours
https://www.google.com/maps/place/Negeri+Diatas+Awan+Buntu+Liarra/data=!4m7!3m6!1s0x2d937318f955f9a1:0x7e225fae55fe611b!8m2!3d-3.0028491!4d119.2869161!16s%2Fg%2F11fzf7thd8!19sChIJoflV-Rhzky0RG2H-Va5fIn4?authuser=0&hl=en&rclk=1,Negeri Diatas Awan Buntu Liarra,4.6,
https://www.google.com/maps/place/Pantai+Palippis/data=!4m7!3m6!1s0x2d94944dcd861f5f:0x5778f8e01f58bbb7!8m2!3d-3.5106073!4d119.0976082!16s%2Fg%2F11c55jj4q8!19sChIJXx-GzU2UlC0Rt7tYH-D4eFc?authuser=0&hl=en&rclk=1,Pantai Palippis,4.2,Open 24 hours
https://www.google.com/maps/place/AIR+TERJUN+LIMBONG+KAMANDANG/data=!4m7!3m6!1s0x2d94823ee9236ad5:0x6556e83c7119a79d!8m2!3d-3.2863709!4d119.3056521!16s%2Fg%2F11f03n00y6!19sChIJ1Woj6T6ClC0RnacZcTzoVmU?authuser=0&hl=en&rclk=1,AIR TERJUN LIMBONG KAMANDANG,4,
https://www.google.com/maps/place/Indo+Rannuang+Waterfall/data=!4m7!3m6!1s0x2d94873d7c087ab7:0x5783923a21674642!8m2!3d-3.3511631!4d119.3967559!16s%2Fg%2F11c1t5h61v!19sChIJt3oIfD2HlC0RQkZnITqSg1c?authuser=0&hl=en&rclk=1,Indo Rannuang Waterfall,4.9,
