lokasi,name,rating
https://www.google.com/maps/place/Sou+Raja/data=!4m7!3m6!1s0x2d8bedb5d65c5c15:0x91d24fd243131495!8m2!3d-0.8889713!4d119.855952!16s%2Fg%2F11fk420c26!19sChIJFVxc1rXtiy0RlRQTQ9JP0pE?authuser=0&hl=en&rclk=1,Sou Raja,4.3
https://www.google.com/maps/place/Air+Terjun+Saluopa/data=!4m7!3m6!1s0x2d8e42636e2cc011:0x76dd4b9ee4e8a9ce!8m2!3d-1.7520084!4d120.5409991!16s%2Fg%2F11c1xd27rb!19sChIJEcAsbmNCji0Rzqno5J5L3XY?authuser=0&hl=en&rclk=1,Air Terjun Saluopa,4.7
https://www.google.com/maps/place/Pusentasi/data=!4m7!3m6!1s0x2d8bbb9163f569cf:0xd9877dd7a6931459!8m2!3d-0.709634!4d119.6669413!16s%2Fg%2F11f3w6ktf_!19sChIJz2n1Y5G7iy0RWRSTptd9h9k?authuser=0&hl=en&rclk=1,Pusentasi,4.6
https://www.google.com/maps/place/Gong+Perdamaian+Palu/data=!4m7!3m6!1s0x2d8beecebd63231b:0x48d0bb0072bf37d4!8m2!3d-0.8556908!4d119.9122483!16s%2Fg%2F11cn6j1x3r!19sChIJGyNjvc7uiy0R1De_cgC70Eg?authuser=0&hl=en&rclk=1,Gong Perdamaian Palu,4.5
https://www.google.com/maps/place/Panorama+Tentena/data=!4m7!3m6!1s0x2d8e45388a24419d:0x8598f83df5df446e!8m2!3d-1.748783!4d120.6593366!16s%2Fg%2F11h6d5hx0g!19sChIJnUEkijhFji0RbkTf9T34mIU?authuser=0&hl=en&rclk=1,Panorama Tentena,4.6
https://www.google.com/maps/place/Monumen+Nosarara+Nosabatutu/data=!4m7!3m6!1s0x2d8beecebd80efd9:0xb0a0985a29131292!8m2!3d-0.8560709!4d119.9118816!16s%2Fg%2F11cn0t9_md!19sChIJ2e-Avc7uiy0RkhITKVqYoLA?authuser=0&hl=en&rclk=1,Monumen Nosarara Nosabatutu,4.5
https://www.google.com/maps/place/Wera+Waterfall/data=!4m7!3m6!1s0x2d8bf58e5a9bff61:0x693e1bfeb4ce1f9e!8m2!3d-1.0445177!4d119.8504168!16s%2Fg%2F11bbrlz36q!19sChIJYf-bWo71iy0Rnh_OtP4bPmk?authuser=0&hl=en&rclk=1,Wera Waterfall,4.4
https://www.google.com/maps/place/Kampung+Wisata+Alam+Bolopaniki/data=!4m7!3m6!1s0x2d86b981d5c5091b:0x579092a273d21b62!8m2!3d-0.8165876!4d122.8745132!16s%2Fg%2F11nn1g_yrh!19sChIJGwnF1YG5hi0RYhvSc6KSkFc?authuser=0&hl=en&rclk=1,Kampung Wisata Alam Bolopaniki,4.7
https://www.google.com/maps/place/Travel+Mangrove+Forest+Donggala/data=!4m7!3m6!1s0x2d8bb8c0be850cc3:0xec042aaa6d949b03!8m2!3d-0.7039665!4d119.7660296!16s%2Fg%2F11f2b6p50p!19sChIJwwyFvsC4iy0RA5uUbaoqBOw?authuser=0&hl=en&rclk=1,Travel Mangrove Forest Donggala,4.4
https://www.google.com/maps/place/Danau+Paisu+Pok+Luk+Panenteng/data=!4m7!3m6!1s0x2d840c1a30eec2e9:0xd7693729412d7934!8m2!3d-1.2175481!4d122.9728759!16s%2Fg%2F11g9jjmrhh!19sChIJ6cLuMBoMhC0RNHktQSk3adc?authuser=0&hl=en&rclk=1,Danau Paisu Pok Luk Panenteng,4.8
