lokasi,name,rating
https://www.google.com/maps/place/Puncak+Tetetana+Suluan/data=!4m7!3m6!1s0x32871297491e3ea9:0xbd5ddc1bbb20b0cc!8m2!3d1.3708998!4d124.8894221!16s%2Fg%2F11g9vthhxb!19sChIJqT4eSZcShzIRzLAguxvcXb0?authuser=0&hl=en&rclk=1,Puncak Tetetana Suluan,4.6
https://www.google.com/maps/place/Aer+Konde+Ratahan/data=!4m7!3m6!1s0x32874bb8e61d3aa7:0xad1e6957537b4dc1!8m2!3d1.0412594!4d124.8033742!16s%2Fg%2F11by_g9v2l!19sChIJpzod5rhLhzIRwU17U1dpHq0?authuser=0&hl=en&rclk=1,Aer Konde Ratahan,4.5
https://www.google.com/maps/place/Air+Terjun+Kima+Atas/data=!4m7!3m6!1s0x3287a1a3ffffffff:0xb30948ca3650e18e!8m2!3d1.5567479!4d124.897046!16s%2Fg%2F11c60b5bng!19sChIJ_____6OhhzIRjuFQNspICbM?authuser=0&hl=en&rclk=1,Air Terjun Kima Atas,4
https://www.google.com/maps/place/Pantai+Abadi/data=!4m7!3m6!1s0x3280833a8f25ed2b:0x803d3e446c054ad0!8m2!3d0.6119628!4d124.5662934!16s%2Fg%2F11f316wk17!19sChIJK-0ljzqDgDIR0EoFbEQ-PYA?authuser=0&hl=en&rclk=1,Pantai Abadi,4.6
https://www.google.com/maps/place/Darunu+Mangrove+Park/data=!4m7!3m6!1s0x3287bd631c2c742f:0xd9af7472296bddeb!8m2!3d1.6413391!4d124.9000167!16s%2Fg%2F11v9lf_wyh!19sChIJL3QsHGO9hzIR691rKXJ0r9k?authuser=0&hl=en&rclk=1,Darunu Mangrove Park,4.8
https://www.google.com/maps/place/Bukit+Kasih+Kanonang/data=!4m7!3m6!1s0x32874424f3dffd89:0x2ae951b91473ce1f!8m2!3d1.1653281!4d124.7659944!16s%2Fg%2F121lyk3k!19sChIJif3f8yREhzIRH85zFLlR6So?authuser=0&hl=en&rclk=1,Bukit Kasih Kanonang,4.3
https://www.google.com/maps/place/Taman+Hutan+Raya+Gunung+Tumpa+H.+V.+Worang/data=!4m7!3m6!1s0x32879f33708e3bc1:0x2412496e9a9ead5e!8m2!3d1.5628181!4d124.833402!16s%2Fg%2F11c0rn22c_!19sChIJwTuOcDOfhzIRXq2emm5JEiQ?authuser=0&hl=en&rclk=1,Taman Hutan Raya Gunung Tumpa H. V. Worang,4.5
https://www.google.com/maps/place/Temboan+Peak+Rurukan/data=!4m7!3m6!1s0x328713229d8cb1d9:0x1532774a1e9899d1!8m2!3d1.3364809!4d124.8844624!16s%2Fg%2F11c6sm7st9!19sChIJ2bGMnSIThzIR0ZmYHkp3MhU?authuser=0&hl=en&rclk=1,Temboan Peak Rurukan,4.6
https://www.google.com/maps/place/Benteng+Moraya/data=!4m7!3m6!1s0x328715674dc9331d:0xe4cb5d2772b1bdd1!8m2!3d1.2907294!4d124.9084092!16s%2Fg%2F11pd1pt23j!19sChIJHTPJTWcVhzIR0b2xciddy-Q?authuser=0&hl=en&rclk=1,Benteng Moraya,4.5
https://www.google.com/maps/place/Air+Terjun+Tumimperas/data=!4m7!3m6!1s0x32876bddc993ae2f:0xad80de2f2763c5ff!8m2!3d1.2952994!4d124.7808842!16s%2Fg%2F11bz_yl_ym!19sChIJL66Tyd1rhzIR_8VjJy_egK0?authuser=0&hl=en&rclk=1,Air Terjun Tumimperas,4.6
